Holding,Symbol,Weighting
Microsoft Corp,MSFT,20.22%
Apple Inc,AAPL,19.31%
Visa Inc,V,5.28%
Mastercard Inc,MA,4.47%
Intel Corp,INTC,4.17%
Cisco Systems Inc,CSCO,2.90%
Adobe Inc,ADBE,2.68%
NVIDIA Corp,NVDA,2.59%
Salesforce.Com Inc,CRM,2.56%
PayPal Holdings Inc,PYPL,2.12%
International Business Machines Corp,IBM,2.01%
Accenture PLC,ACN,2.01%
Broadcom Inc,AVGO,1.79%
Oracle Corp,ORCL,1.77%
Texas Instruments Inc,TXN,1.76%
Qualcomm Inc,QCOM,1.48%
Fidelity National Information Services Inc,FIS,1.44%
Automatic Data Processing Inc,ADP,1.17%
Intuit Inc,INTU,1.15%
Fiserv Inc,FISV,1.03%
ServiceNow Inc,NOW,0.97%
Micron Technology Inc,MU,0.94%
Global Payments Inc,GPN,0.93%
Advanced Micro Devices Inc,AMD,0.89%
Applied Materials Inc,AMAT,0.88%
Lam Research Corp,LRCX,0.67%
Analog Devices Inc,ADI,0.67%
Autodesk Inc,ADSK,0.66%
Cognizant Technology Solutions Corp,CTSH,0.57%
HP Inc,HPQ,0.51%
Motorola Solutions Inc,MSI,0.48%
TE Connectivity Ltd,TEL,0.46%
Amphenol Corp,APH,0.45%
Paychex Inc,PAYX,0.43%
Fleetcor Technologies Inc,FLT,0.40%
KLA Corp,KLAC,0.38%
Microchip Technology Inc,MCHP,0.37%
ANSYS Inc,ANSS,0.37%
Synopsys Inc,SNPS,0.34%
Xilinx Inc,XLNX,0.33%
Corning Inc,GLW,0.32%
Verisign Inc,VRSN,0.32%
Cadence Design Systems Inc,CDNS,0.31%
Skyworks Solutions Inc,SWKS,0.29%
Western Digital Corp,WDC,0.29%
CDW Corp,CDW,0.29%
Hewlett Packard Enterprise Co,HPE,0.28%
Keysight Technologies Inc,KEYS,0.27%
Maxim Integrated Products Inc,MXIM,0.25%
Akamai Technologies Inc,AKAM,0.24%
Fortinet Inc,FTNT,0.24%
Leidos Holdings Inc,LDOS,0.23%
Paycom Software Inc,PAYC,0.22%
Citrix Systems Inc,CTXS,0.21%
Broadridge Financial Solutions Inc,BR,0.21%
Gartner Inc,IT,0.21%
Jack Henry & Associates Inc,JKHY,0.20%
Zebra Technologies Corp,ZBRA,0.19%
Seagate Technology PLC,STX,0.19%
Arista Networks Inc,ANET,0.18%
NetApp Inc,NTAP,0.18%
NortonLifeLock Inc,NLOK,0.18%
Qorvo Inc,QRVO,0.17%
Western Union Co,WU,0.16%
F5 Networks Inc,FFIV,0.12%
Juniper Networks Inc,JNPR,0.12%
FLIR Systems Inc,FLIR,0.12%
DXC Technology Co,DXC,0.11%
Xerox Holdings Corp,XRX,0.10%
IPG Photonics Corp,IPGP,0.07%
Alliance Data Systems Corp,ADS,0.06%
Cash Component,CASH,0.03%
