t,t,AAPL,ACN,ADBE,ADI,ADP,ADS,ADSK,AKAM,AMAT,AMD,ANET,ANSS,APH,AVGO,BR,CDNS,CDW,CRM,CSCO,CTSH,CTXS,DXC,FFIV,FIS,FISV,FLIR,FLT,FTNT,GLW,GPN,HPE,HPQ,IBM,INTC,INTU,IPGP,IT,JKHY,JNPR,KEYS,KLAC,LDOS,LRCX,MA,MCHP,MSI,MU,MXIM,NLOK,NOW,NTAP,NVDA,ORCL,PAYC,PAYX,PYPL,QCOM,QRVO,SNPS,STX,SWKS,TEL,TXN,V,VRSN,WDC,WU,XLK,XLNX,XRX,ZBRA
8,0,270.8079775280899,166.78,319.93,101.65,153.96,63.0,165.0,85.5,54.73,44.2423076923077,179.81,233.39,87.33,257.32,93.71,61.49,101.36,153.43285714285713,38.165,55.58,112.0,18.18,112.61,130.12,99.0,39.6,228.98,95.42,23.5,172.1,11.5,20.5,123.98,53.445,264.54,116.0,120.14,155.01,20.5,86.98,150.2,104.48,280.0,268.2125,82.5,165.01,48.79785714285714,51.0001,17.75,300.6533333333333,43.61,250.23279069767443,45.42,250.0,74.75,105.145,73.76333333333334,90.0,125.3795,47.5,90.46666666666665,75.08,106.95,174.8083333333333,181.05,50.9,20.7006,85.0,75.91333333333334,29.02,188.4
8,1,270.16739130434786,166.78,319.95,101.65,153.96,71.0,165.0,85.5,54.73,44.11121212121212,179.81,233.39,87.33,257.32,93.71,61.49,101.36,153.43285714285713,38.00666666666667,55.58,112.0,18.18,112.61,130.12,99.0,39.6,228.98,95.42,23.5,172.1,11.5,20.5,122.5,53.445,264.54,116.0,120.14,155.01,20.5,86.98,150.2,104.48,280.0,272.0,82.5,165.01,48.53,51.0001,17.75,300.6533333333333,43.61,245.02812499999996,45.42,250.0,74.75,105.145,73.76333333333334,90.0,125.3795,47.5,90.0,75.08,106.95,174.0,181.05,50.9,20.7006,84.04249999999999,75.91333333333334,29.02,188.4
8,2,268.8525925925926,166.78,319.95,101.0,153.96,71.0,165.0,85.5,54.73,43.70562499999999,179.81,233.39,87.33,257.32,93.71,61.49,101.36,153.43285714285713,38.00666666666667,55.58,112.0,18.18,112.61,130.12,99.0,39.6,228.98,95.42,23.5,172.1,11.5,20.5,121.185,53.06714285714286,264.54,116.0,120.14,155.01,20.5,86.98,150.2,104.48,280.0,272.0,82.5,165.01,48.25600000000001,51.0001,17.75,300.6533333333333,43.61,242.555,45.42,250.0,74.75,104.33333333333333,73.76333333333334,90.0,125.3795,47.5,90.0,75.08,106.95,173.41857142857143,181.05,50.9,20.7006,84.04249999999999,75.91333333333334,29.02,188.4
8,3,268.64750000000004,166.78,319.95,101.0,153.96,71.0,165.0,85.5,54.10333333333333,43.582608695652155,179.81,233.39,87.33,257.32,93.71,61.49,101.36,153.43285714285713,38.00666666666667,55.58,112.0,18.18,112.61,130.12,99.0,39.6,228.98,95.42,23.5,172.1,11.5,20.5,121.185,52.833333333333336,264.54,116.0,120.14,155.01,20.5,86.98,150.2,104.48,280.0,265.335,82.5,165.01,47.885,51.0001,17.75,300.6533333333333,43.61,243.91909090909093,45.42,250.0,74.75,104.33333333333333,73.76333333333334,90.0,125.3795,47.5,90.0,75.08,106.95,173.56,181.05,50.9,20.7006,84.04249999999999,75.91333333333334,29.02,188.4
8,4,268.62205882352936,166.78,319.95,101.0,153.96,71.0,165.0,85.5,54.10333333333333,43.782,179.81,233.39,87.33,257.0,93.71,61.49,101.36,153.43285714285713,38.00666666666667,55.58,112.0,18.18,112.61,130.12,99.0,39.6,228.98,95.42,23.5,172.1,11.5,20.5,121.185,52.808181818181815,264.54,116.0,120.14,155.01,20.5,86.98,150.2,104.48,280.0,265.335,82.5,165.01,47.464285714285715,51.0001,17.75,300.6533333333333,43.61,245.0,45.42,250.0,74.75,104.33333333333333,73.76333333333334,90.0,125.3795,47.5,90.0,75.08,106.95,173.75,181.05,50.9,20.7006,84.76,75.91333333333334,29.02,188.4
8,5,268.7283333333333,170.0,319.07,101.0,153.96,71.0,165.0,85.5,54.10333333333333,44.09125,181.99,233.39,87.33,257.0,97.15,61.49,101.36,153.43285714285713,38.00666666666667,56.73,112.0,18.18,114.07,130.12,101.01,39.6,228.98,93.0,23.5,171.0,11.3,20.5,121.11,52.79,264.54,116.0,120.14,155.01,20.5,86.98,150.2,101.0,280.0,265.0,82.5,165.01,47.464285714285715,51.0001,17.75,300.6533333333333,43.61,245.0,45.0,250.0,75.0,104.33333333333333,73.76333333333334,90.0,131.89,46.86666666666667,90.09,75.08,106.95,175.0,181.05,50.9,20.7006,84.76,75.91333333333334,29.02,188.4
8,6,268.76193548387096,170.0,319.07,101.0,153.96,71.0,165.0,85.5,54.10333333333333,44.091052631578954,181.99,233.39,87.33,257.0,97.15,61.49,101.36,153.43285714285713,38.00666666666667,56.73,112.0,18.18,114.07,130.12,101.01,39.6,228.98,93.0,23.5,171.0,11.3,20.5,121.11,52.79333333333333,264.54,116.0,120.14,155.01,20.27,86.98,150.2,101.0,280.0,265.0,82.5,165.01,47.96,51.0001,17.75,300.6533333333333,43.61,243.11399999999998,45.0,250.0,75.0,104.0,73.088,90.0,131.89,46.86666666666667,90.09,75.08,106.34,173.46666666666667,181.05,50.9,20.7006,84.76,75.91333333333334,29.02,188.4
8,7,269.518,170.0,319.07,101.0,153.96,71.0,165.0,85.5,54.10333333333333,43.99857142857143,181.99,233.39,87.33,257.0,97.15,61.49,101.36,153.43285714285713,37.88,56.73,112.0,18.18,114.07,130.12,101.01,39.6,228.98,93.0,23.5,171.0,11.3,20.5,121.11,52.72,264.54,116.0,120.14,155.01,20.27,86.98,150.2,101.0,280.0,264.79200000000003,82.5,165.01,47.96,51.0001,17.75,300.6533333333333,43.61,243.99,45.0,250.0,75.0,104.0,73.088,90.0,131.89,46.86666666666667,90.09,75.08,106.34,172.43800000000002,181.05,50.9,20.7006,84.76,75.31666666666666,29.02,188.4
8,8,269.70809523809527,170.0,319.07,101.0,153.96,71.0,165.0,85.5,54.10333333333333,43.93999999999999,181.99,233.39,87.33,257.0,97.15,61.49,101.36,153.43285714285713,37.8,56.73,112.0,18.18,114.07,130.12,101.01,39.6,228.98,93.0,23.5,171.0,11.3,20.5,123.96,52.747499999999995,264.54,116.0,120.14,155.01,20.27,86.98,150.2,101.0,280.0,264.79200000000003,82.5,165.01,47.96,51.0001,17.75,300.6533333333333,43.61,243.99,45.0,250.0,75.0,104.0,73.088,90.0,131.89,46.86666666666667,90.09,75.08,106.34,174.41500000000002,181.05,49.965714285714284,20.7006,84.76,75.31666666666666,29.02,188.4
8,9,270.7092592592592,170.0,319.07,101.0,153.96,71.0,165.0,85.5,54.0,44.0,181.99,233.39,87.33,256.0,97.15,61.49,101.36,152.3422222222222,37.8,56.73,112.0,18.18,114.07,130.12,101.01,39.6,228.98,93.0,23.5,171.0,11.3,20.5,123.96,52.81,264.54,116.0,120.14,155.01,20.27,86.98,150.2,101.0,280.0,264.79200000000003,82.5,165.01,47.080625,51.0001,17.75,300.6533333333333,43.61,244.54299999999998,45.0,250.0,75.0,104.0,73.088,90.0,131.89,46.86666666666667,91.02666666666669,75.08,106.34,174.41500000000002,181.05,49.965714285714284,20.7006,84.76,75.31666666666666,29.02,188.4
