AMJ: JPMorgan Alerian MLP Index ETN
Inception Date: 2009-04-02
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2466120
Shares Outstanding: 119000000
Expense Ratio: 0.85%
Tracks This Index: Alerian MLP Index
ETFdb.com Category: MLPs
Issuer: J.P. Morgan
Structure: ETN
ETF Home Page: https://etfdb.com/etf/AMJ


Holding,Symbol,Weighting
Magellan Midstream Partners LP,MMP,10.06%
Enterprise Products Partners LP,EPD,10.02%
ETP Legacy LP,ETP,9.59%
Plains All American Pipeline LP,PAA,8.12%
MPLX LP,MPLX,7.72%
EQM Midstream Partners LP,EQM,3.28%
Andeavor Logistics LP,ANDX,3.1%
DCP Midstream LP,DCP,2.88%
Tallgrass Energy Partners LP,TEP,2.57%
Spectra Energy Partners LP,SEP,2.19%
Phillips 66 Partners LP,PSXP,1.99%
Antero Midstream Partners LP,AM,1.99%
Shell Midstream Partners LP,SHLX,1.97%
Genesis Energy LP,GEL,1.8%
Enbridge Energy Partners LP,EEP,1.75%
NuStar Energy LP,NS,1.6%
Crestwood Equity Partners LP,CEQP,1.31%
TC PipeLines LP,TCP,1.28%
Cheniere Energy Partners LP,CQP,1.12%
Enable Midstream Partners LP,ENBL,1.09%
Holly Energy Partners LP,HEP,1.05%
Sunoco LP,SUN,1.05%
Viper Energy Partners LP,VNOM,1.05%
NGL Energy Partners LP,NGL,1.04%
Suburban Propane Partners LP,SPH,1.03%
Alliance Resource Partners LP,ARLP,0.98%
Hi-Crush Inc,HCR,0.76%
Noble Midstream Partners LP,NBLX,0.74%
Bp Midstream Partners LP,BPMP,0.72%
Valero Energy Partners LP,VLP,0.65%
Teekay LNG Partners LP,TGP,0.63%
USA Compression Partners LP,USAC,0.6%
Dominion Energy Midstream Partners LP,DM,0.55%
GasLog Partners LP,GLOP,0.53%
Golar LNG Partners LP,GMLP,0.52%
Summit Midstream Partners LP,SMLP,0.49%
