AMZA: InfraCap MLP ETF
Inception Date: 2014-10-01
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	272015
Shares Outstanding: 67700000
Expense Ratio: 2.4%
Tracks This Index: n/a
ETFdb.com Category: MLPs
Issuer: Virtus
Structure: ETF
ETF Home Page: https://etfdb.com/etf/AMZA


Holding,Symbol,Weighting
Energy Transfer LP,ET,17.1428%
MPLX LP,MPLX,14.6886%
NuStar Energy LP,NS,13.4005%
Plains All American Pipeline LP,PAA,11.3749%
Enterprise Products Partners LP,EPD,9.7203%
Magellan Midstream Partners LP,MMP,8.7667%
DCP Midstream LP,DCP,8.3573%
Western Midstream Partners LP,WES,6.6186%
Bp Midstream Partners LP,BPMP,6.467%
Noble Midstream Partners LP,NBLX,5.9547%
Shell Midstream Partners LP,SHLX,4.9769%
Marathon Petroleum Corp,MPC,4.1106%
Genesis Energy LP,GEL,3.6864%
TC PipeLines LP,TCP,3.1486%
Phillips 66,PSX,2.9676%
NGL Energy Partners LP,NGL,2.8624%
Phillips 66 Partners LP,PSXP,2.5839%
EQM Midstream Partners LP,EQM,1.3091%
Williams Companies Inc,WMB,1.1636%
Targa Resources Corp,TRGP,1.1505%
Cheniere Energy Inc,LNG,0.7067%
Enable Midstream Partners LP,ENBL,0.1856%
Crestwood Equity Partners LP,CEQP,0.0944%
ONEOK Inc,OKE,0.075%
Cheniere Energy Partners LP,CQP,0.0556%
Kinder Morgan Inc,KMI,0.0105%
Cash Component,CASH,-31.5789%
