ARKG: ARK Genomic Revolution Multi-Sector ETF
Inception Date: 2014-10-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	514195
Shares Outstanding: 14805000
Expense Ratio: 0.75%
Tracks This Index: n/a
ETFdb.com Category: Health & Biotech Equities
Issuer: ARK Investment Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ARKG


Holding,Symbol,Weighting
Invitae Corp,NVTA,10.7261%
Illumina Inc,ILMN,9.3888%
CRISPR Therapeutics AG,CRSP,8.2673%
Intellia Therapeutics Inc,NTLA,5.6886%
Compugen Ltd,CGEN,5.6214%
Editas Medicine Inc,EDIT,4.8495%
Teladoc Health Inc,TDOC,4.0409%
Cellectis SA,CLLS,3.9786%
Iovance Biotherapeutics Inc,IOVA,3.5473%
Veracyte Inc,VCYT,3.3555%
Arcturus Therapeutics Ltd,ARCT,3.258%
NanoString Technologies Inc,NSTG,2.9332%
CareDx Inc,CDNA,2.9222%
Twist Bioscience Corp,TWST,2.7982%
Inovio Pharmaceuticals Inc,INO,2.7847%
Incyte Corp,INCY,2.6598%
Cerus Corp,CERS,2.4769%
Guardant Health Inc,GH,2.3591%
Fate Therapeutics Inc,FATE,2.3499%
Syros Pharmaceuticals Inc,SYRS,2.3063%
Ionis Pharmaceuticals Inc,IONS,2.1353%
Codexis Inc,CDXS,2.0337%
Personalis Inc,PSNL,1.4959%
Cellular Biomedicine Group Inc,CBMG,1.3705%
Pacific Biosciences of California Inc,PACB,1.3513%
Seres Therapeutics Inc,MCRB,1.2857%
Castle Biosciences Inc,CSTL,1.2631%
Rubius Therapeutics Inc,RUBY,0.8245%
Pluristem Therapeutics Inc,PSTI,0.4403%
Pure Storage Inc,PSTG,0.4141%
Organovo Holdings Inc,ONVO,0.3721%
Intrexon Corp,PGEN,0.3714%
AquaBounty Technologies Inc,AQB,0.1561%
Cash Component,CASH,0.1046%
Evogene Ltd,EVGN,0.0693%
