ARKK: ARK Innovation ETF
Inception Date: 2014-10-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2183659
Shares Outstanding: 39150000
Expense Ratio: 0.75%
Tracks This Index: n/a
ETFdb.com Category: All Cap Equities
Issuer: ARK Investment Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ARKK


Holding,Symbol,Weighting
Tesla Inc,TSLA,10.0052%
Square Inc,SQ,7.8695%
Illumina Inc,ILMN,6.5322%
Invitae Corp,NVTA,6.4704%
Stratasys Ltd,SSYS,4.8234%
CRISPR Therapeutics AG,CRSP,4.1761%
2U Inc,TWOU,4.1326%
Intellia Therapeutics Inc,NTLA,3.2584%
Roku Inc,ROKU,3.1499%
Editas Medicine Inc,EDIT,3.0358%
Zillow Group Inc,Z,3.0204%
NanoString Technologies Inc,NSTG,2.8928%
Proto Labs Inc,PRLB,2.6751%
Twitter Inc,TWTR,2.6357%
Xilinx Inc,XLNX,2.5605%
LendingTree Inc,TREE,2.377%
Netflix Inc,NFLX,2.2094%
Compugen Ltd,CGEN,2.1645%
Splunk Inc,SPLK,2.1333%
Salesforce.Com Inc,CRM,2.0178%
Tencent Holdings Ltd,TCEHY,1.9898%
Veracyte Inc,VCYT,1.9105%
Materialise NV,MTLS,1.7263%
Trade Desk Inc,TTD,1.5565%
Cerus Corp,CERS,1.5277%
Pinterest Inc,PINS,1.4476%
LendingClub Corp,LC,1.4126%
Teladoc Health Inc,TDOC,1.1082%
Autodesk Inc,ADSK,1.0912%
Mercadolibre Inc,MELI,1.0887%
Teradyne Inc,TER,1.021%
NVIDIA Corp,NVDA,1.0194%
Eventbrite Inc,EB,0.9774%
Syros Pharmaceuticals Inc,SYRS,0.9224%
Pure Storage Inc,PSTG,0.7201%
Seres Therapeutics Inc,MCRB,0.6913%
PayPal Holdings Inc,PYPL,0.4902%
ExOne Co,XONE,0.4192%
Iridium Communications Inc,IRDM,0.3215%
AeroVironment Inc,AVAV,0.2334%
Organovo Holdings Inc,ONVO,0.1871%
Cash Component,CASH,-0.0019%
