ARKW: ARK Web x.0 ETF
Inception Date: 2014-09-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	512552
Shares Outstanding: 7650000
Expense Ratio: 0.76%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
Issuer: ARK Investment Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ARKW


Holding,Symbol,Weighting
Tesla Inc,TSLA,9.2671%
Square Inc,SQ,8.3262%
Twitter Inc,TWTR,4.4414%
Roku Inc,ROKU,4.1837%
Netflix Inc,NFLX,3.5254%
Tencent Holdings Ltd,TCEHY,3.5034%
Pinterest Inc,PINS,3.2925%
Xilinx Inc,XLNX,3.159%
Splunk Inc,SPLK,3.1248%
Alibaba Group Holding Ltd,BABA,2.9668%
2U Inc,TWOU,2.7394%
Twilio Inc,TWLO,2.6631%
Mercadolibre Inc,MELI,2.5262%
Teladoc Health Inc,TDOC,2.3695%
Veracyte Inc,VCYT,2.3236%
Salesforce.Com Inc,CRM,2.1898%
Zillow Group Inc,Z,2.1266%
LendingClub Corp,LC,2.105%
LendingTree Inc,TREE,1.9882%
PayPal Holdings Inc,PYPL,1.9269%
Grayscale Bitcoin Trust (Btc),GBTC,1.9012%
Trade Desk Inc,TTD,1.8175%
Amazon.com Inc,AMZN,1.8%
HubSpot Inc,HUBS,1.784%
Snap Inc,SNAP,1.7677%
Pinduoduo Inc,PDD,1.6782%
Spotify Technology SA,SPOT,1.5916%
Eventbrite Inc,EB,1.5871%
NVIDIA Corp,NVDA,1.5471%
Sea Ltd,SE,1.4687%
Adobe Inc,ADBE,1.4644%
Alteryx Inc,AYX,1.3193%
HUYA Inc,HUYA,1.3061%
Pure Storage Inc,PSTG,1.3016%
Zscaler Inc,ZS,1.2428%
Shopify Inc,SHOP,1.1003%
Atlassian Corporation PLC,TEAM,1.0956%
Advanced Micro Devices Inc,AMD,1.008%
Workday Inc,WDAY,1.0034%
Cloudera Inc,CLDR,0.9636%
Synopsys Inc,SNPS,0.9533%
Baidu Inc,BIDU,0.9183%
Zoom Video Communications Inc,ZM,0.516%
Cash Component,CASH,0.116%
