ATMP: Barclays ETN+ Select MLP ETN
Inception Date: 2013-03-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	296218
Shares Outstanding: 17661000
Expense Ratio: 0.95%
Tracks This Index: Atlantic Trust Select MLP Index
ETFdb.com Category: MLPs
Issuer: Barclays Capital
Structure: ETN
ETF Home Page: https://etfdb.com/etf/ATMP


Holding,Symbol,Weighting
Kinder Morgan Energy Partners LP,KMP,9.1431%
Magellan Midstream Partners LP,MMP,7.839%
Plains All American Pipeline LP,PAA,7.8378%
Enterprise Products Partners LP,EPD,7.8042%
ETP Legacy LP,ETP,7.2177%
Kinder Morgan Inc,KMI,4.3411%
Enbridge Inc,ENB,4.1142%
TC Energy Corp,TRP,3.966%
Energy Transfer LP,ET,3.9393%
Williams Companies Inc,WMB,3.891%
ONEOK Partners LP,OKS,3.8837%
ONEOK Inc,OKE,3.7817%
Spectra Energy Corp,SE,3.7392%
Williams Partners LP,WPZ,3.6224%
Enbridge Energy Partners LP,EEP,3.2491%
El Paso Pipeline Partners LP,EPB,2.5065%
DCP Midstream LP,DCP,2.0725%
Plains GP Holdings LP,PAGP,1.917%
Spectra Energy Partners LP,SEP,1.1255%
TC PipeLines LP,TCP,1.062%
Boardwalk Pipeline Partners LP,BWP,1.0498%
EnLink Midstream LLC,ENLC,0.7767%
