BBH: VanEck Vectors Biotech ETF
Inception Date: 2011-12-20
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	357211
Shares Outstanding: 2546000
Expense Ratio: 0.35%
Tracks This Index: MVIS US Listed Biotech 25 Index
ETFdb.com Category: Health & Biotech Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BBH


Holding,Symbol,Weighting
Amgen Inc,AMGN,11.5715%
Gilead Sciences Inc,GILD,7.2073%
Allergan plc,AGN,6.1359%
Biogen Inc,BIIB,5.7273%
IQVIA Holdings Inc,IQV,5.3947%
Vertex Pharmaceuticals Inc,VRTX,5.3942%
Regeneron Pharmaceuticals Inc,REGN,5.0526%
Exact Sciences Corp,EXAS,4.9761%
Illumina Inc,ILMN,4.5359%
Biomarin Pharmaceutical Inc,BMRN,4.336%
Seattle Genetics Inc,SGEN,4.2084%
Alexion Pharmaceuticals Inc,ALXN,4.0848%
Alnylam Pharmaceuticals Inc,ALNY,3.9753%
Incyte Corp,INCY,3.4746%
Qiagen NV,QGEN,3.3179%
Charles River Laboratories International Inc,CRL,3.2671%
Sarepta Therapeutics Inc,SRPT,3.2665%
Neurocrine Biosciences Inc,NBIX,2.9784%
Grifols SA,GRFS,2.903%
Beigene Ltd,BGNE,2.2486%
Guardant Health Inc,GH,2.1338%
Ionis Pharmaceuticals Inc,IONS,1.7335%
United Therapeutics Corp,UTHR,1.4905%
bluebird bio Inc,BLUE,0.5789%
Cash Component,CASH,0.0073%
