BBRE: JPMorgan BetaBuilders MSCI US REIT ETF
Inception Date: 2018-06-15
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1249196
Shares Outstanding: 13700000
Expense Ratio: 0.11%
Tracks This Index: MSCI US REIT Index
ETFdb.com Category: Real Estate
Issuer: J.P. Morgan
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BBRE


Holding,Symbol,Weighting
Prologis Inc,PLD,6.6863%
Equinix Inc,EQIX,5.0114%
Simon Property Group Inc,SPG,4.2306%
Public Storage,PSA,3.4478%
Welltower Inc,WELL,3.3232%
Equity Residential,EQR,3.0445%
AvalonBay Communities Inc,AVB,2.979%
Digital Realty Trust Inc,DLR,2.5053%
Realty Income Corp,O,2.4657%
Boston Properties Inc,BXP,2.1469%
Ventas Inc,VTR,2.1415%
Essex Property Trust Inc,ESS,2.0217%
Alexandria Real Estate Equities Inc,ARE,1.8499%
Healthpeak Properties Inc,PEAK,1.7378%
Cash Component,CASH,1.7065%
Invitation Homes Inc,INVH,1.6508%
Mid-America Apartment Communities Inc,MAA,1.5713%
Sun Communities Inc,SUI,1.4357%
WP Carey Inc,WPC,1.4102%
UDR Inc,UDR,1.394%
Extra Space Storage Inc,EXR,1.3817%
Duke Realty Corp,DRE,1.2906%
Equity LifeStyle Properties Inc,ELS,1.2275%
Host Hotels & Resorts Inc,HST,1.1878%
Medical Properties Trust Inc,MPW,1.1572%
Vornado Realty Trust,VNO,1.1089%
Camden Property Trust,CPT,1.0674%
Regency Centers Corp,REG,1.0301%
VEREIT Inc,VER,1.0083%
Gaming and Leisure Properties Inc,GLPI,0.9466%
VICI Properties Inc,VICI,0.9454%
Federal Realty Investment Trust,FRT,0.9348%
Omega Healthcare Investors Inc,OHI,0.9061%
National Retail Properties Inc,NNN,0.9053%
Iron Mountain Inc,IRM,0.8905%
STORE Capital Corp,STOR,0.8517%
Kilroy Realty Corp,KRC,0.84%
Kimco Realty Corp,KIM,0.8069%
Apartment Investment and Management Co,AIV,0.7747%
SL Green Realty Corp,SLG,0.7576%
American Homes 4 Rent,AMH,0.7336%
Douglas Emmett Inc,DEI,0.6947%
CyrusOne Inc,CONE,0.6828%
Healthcare Trust Of America Inc,HTA,0.6403%
Americold Realty Trust,COLD,0.6222%
American Campus Communities Inc,ACC,0.6161%
Brixmor Property Group Inc,BRX,0.6062%
CubeSmart,CUBE,0.5936%
Cousins Properties Inc,CUZ,0.5817%
Hudson Pacific Properties Inc,HPP,0.5589%
Park Hotels & Resorts Inc,PK,0.5452%
EPR Properties,EPR,0.5373%
First Industrial Realty Trust Inc,FR,0.5358%
Rexford Industrial Realty Inc,REXR,0.5308%
Highwoods Properties Inc,HIW,0.5252%
Life Storage Inc,LSI,0.5166%
JBG SMITH Properties,JBGS,0.5106%
Eastgroup Properties Inc,EGP,0.5042%
Spirit Realty Capital Inc,SRC,0.4759%
Healthcare Realty Trust Inc,HR,0.4573%
Ryman Hospitality Properties Inc,RHP,0.4126%
CoreSite Realty Corp,COR,0.4062%
STAG Industrial Inc,STAG,0.4031%
Sabra Health Care REIT Inc,SBRA,0.397%
Equity Commonwealth,EQC,0.3892%
Terreno Realty Corp,TRNO,0.3756%
National Health Investors Inc,NHI,0.3659%
Physicians Realty Trust,DOC,0.3592%
Weingarten Realty Investors,WRI,0.3582%
Service Properties Trust,SVC,0.3575%
PS Business Parks Inc,PSB,0.3446%
Corporate Office Properties Trust,OFC,0.3216%
Pebblebrook Hotel Trust,PEB,0.3174%
Agree Realty Corp,ADC,0.3151%
Apple Hospitality REIT Inc,APLE,0.3135%
QTS Realty Trust Inc,QTS,0.3129%
Piedmont Office Realty Trust Inc,PDM,0.2937%
Sunstone Hotel Investors Inc,SHO,0.2865%
Brandywine Realty Trust,BDN,0.2733%
RLJ Lodging Trust,RLJ,0.2693%
Paramount Group Inc,PGRE,0.262%
Retail Properties of America Inc,RPAI,0.2563%
Columbia Property Trust Inc,CXP,0.2508%
Washington Real Estate Investment Trust,WRE,0.2421%
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,0.2311%
Lexington Realty Trust,LXP,0.2275%
American Assets Trust Inc,AAT,0.227%
Urban Edge Properties,UE,0.2213%
Colony Capital Inc,CLNY,0.2146%
Essential Properties Realty Trust Inc,EPRT,0.2137%
Xenia Hotels & Resorts Inc,XHR,0.2122%
CareTrust REIT Inc,CTRE,0.2117%
Acadia Realty Trust,AKR,0.2077%
Taubman Centers Inc,TCO,0.2074%
Four Corners Property Trust Inc,FCPT,0.2068%
National Storage Affiliates Trust,NSA,0.2062%
Empire State Realty Trust Inc,ESRT,0.1985%
DiamondRock Hospitality Co,DRH,0.1978%
Geo Group Inc,GEO,0.1976%
CoreCivic Inc,CXW,0.1927%
Mack-Cali Realty Corp,CLI,0.1891%
Retail Opportunity Investments Corp,ROIC,0.1869%
LTC Properties Inc,LTC,0.1832%
Site Centers Corp,SITC,0.182%
Diversified Healthcare Trust,DHC,0.1783%
Easterly Government Properties Inc,DEA,0.1709%
Global Net Lease Inc,GNL,0.1697%
Universal Health Realty Income Trust,UHT,0.1604%
Innovative Industrial Properties Inc,IIPR,0.1506%
Industrial Logistics Properties Trust,ILPT,0.1478%
Kite Realty Group Trust,KRG,0.1452%
Alexander & Baldwin Inc,ALEX,0.1438%
American Finance Trust Inc,AFIN,0.1363%
Independence Realty Trust Inc,IRT,0.1329%
Monmouth Real Estate Investment Corp,MNR,0.1323%
Seritage Growth Properties,SRG,0.1288%
Summit Hotel Properties Inc,INN,0.1194%
RPT Realty,RPT,0.113%
Getty Realty Corp,GTY,0.1083%
Armada Hoffler Properties Inc,AHH,0.0946%
iStar Inc,STAR,0.0917%
Investors Real Estate Trust,IRET,0.0908%
NexPoint Residential Trust Inc,NXRT,0.0907%
Community Healthcare Trust Inc,CHCT,0.0869%
Franklin Street Properties Corp,FSP,0.0813%
Chatham Lodging Trust,CLDT,0.078%
City Office REIT Inc,CIO,0.0727%
Alexander's Inc,ALX,0.0717%
Urstadt Biddle Properties Inc,UBA,0.0682%
Gladstone Commercial Corp,GOOD,0.0657%
Saul Centers Inc,BFS,0.0656%
New Senior Investment Group Inc,SNR,0.0626%
Global Medical REIT Inc,GMRE,0.0595%
UMH Properties Inc,UMH,0.0581%
Retail Value Inc,RVI,0.055%
Front Yard Residential Corp,RESI,0.0544%
Hersha Hospitality Trust,HT,0.0503%
Preferred Apartment Communities Inc,APTS,0.0502%
Whitestone REIT,WSR,0.0471%
Jernigan Capital Inc,JCAP,0.0442%
One Liberty Properties Inc,OLP,0.0405%
CorePoint Lodging Inc,CPLG,0.0377%
Pennsylvania Real Estate Investment Trust,PEI,0.0267%
Ashford Hospitality Trust Inc,AHT,0.0254%
Cedar Realty Trust Inc,CDR,0.0244%
Braemar Hotels & Resorts Inc,BHR,0.0218%
