BIZD: VanEck Vectors BDC Income ETF
Inception Date: 2013-02-11
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	261440
Shares Outstanding: 15350000
Expense Ratio: 9.62%
Tracks This Index: MVIS US Business Development Companies Index
ETFdb.com Category: Financials Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/BIZD


Holding,Symbol,Weighting
Ares Capital Corp,ARCC,20.0791%
FS KKR Capital Corp,FSK,7.9036%
Main Street Capital Corp,MAIN,6.968%
Hercules Capital Inc,HTGC,5.2364%
Golub Capital BDC Inc,GBDC,5.0781%
Prospect Capital Corp,PSEC,4.9932%
New Mountain Finance Corp,NMFC,4.6186%
TPG Specialty Lending Inc,TSLX,4.5218%
Apollo Investment Corp,AINV,4.4261%
BlackRock TCP Capital Corp,TCPC,3.5994%
TCG BDC Inc,CGBD,3.5714%
Goldman Sachs BDC Inc,GSBD,3.3107%
Bain Capital Specialty Finance Inc,BCSF,2.952%
Solar Capital Ltd,SLRC,2.9306%
Oaktree Specialty Lending Corp,OCSL,2.5137%
PennantPark Floating Rate Capital Ltd,PFLT,2.192%
Gladstone Investment Corp,GAIN,2.039%
PennantPark Investment Corp,PNNT,1.9433%
Newtek Business Services Corp,NEWT,1.8662%
Triplepoint Venture Growth BDC Corp,TPVG,1.7406%
Barings BDC Inc,BBDC,1.5722%
Fidus Investment Corp,FDUS,1.5469%
BlackRock Capital Investment Corp,BKCC,1.542%
Capital Southwest Corp,CSWC,1.4289%
Gladstone Capital Corp,GLAD,1.4277%
Cash Component,CASH,-0.0012%
