CGW: Invesco S&P Global Water Index ETF
Inception Date: 2007-05-14
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	750761
Shares Outstanding: 17640000
Expense Ratio: 0.62%
Tracks This Index: S&P Global Water Index
ETFdb.com Category: Water Equities 
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CGW


Holding,Symbol,Weighting
American Water Works Company Inc,AWK,9.2937%
Xylem Inc,XYL,6.7758%
Veolia Environnement SA,VIE,5.1556%
Danaher Corp,DHR,5.0962%
Geberit AG,GEBN,4.9838%
Halma PLC,HLMA,4.8231%
IDEX Corp,IEX,4.8062%
Aqua America Inc,WTRG,4.6489%
United Utilities Group PLC,UU.,3.5145%
Alfa Laval AB,ALFA,3.4952%
Pentair PLC,PNR,3.2783%
Severn Trent PLC,SVT,3.2075%
Algonquin Power & Utilities Corp,AQN,3.1201%
Suez SA,SEV,2.7832%
Pennon Group PLC,PNN,2.4286%
Guangdong Investment Ltd,270,2.3423%
Tetra Tech Inc,TTEK,2.0971%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBS,2.0063%
Aalberts NV,AALB,1.9511%
Georg Fischer AG,FI-N,1.7638%
Woongjin Coway Co Ltd,021240,1.7191%
Kurita Water Industries Ltd,6370,1.5228%
Hera SpA,HER,1.4858%
American States Water Co,AWR,1.3458%
Andritz AG,ANDR,1.2496%
Watts Water Technologies Inc,WTS,1.2377%
Beijing Enterprises Water Group Ltd,371,1.1938%
Olin Corp,OLN,1.1788%
Reliance Worldwide Corporation Ltd,RWC,1.1218%
California Water Service Group,CWT,1.0583%
Advanced Drainage Systems Inc,WMS,1.0389%
Franklin Electric Co Inc,FELE,1.0291%
Badger Meter Inc,BMI,0.8491%
Mueller Water Products Inc,MWA,0.8447%
Evoqua Water Technologies Corp,AQUA,0.7788%
SJW Group,SJW,0.7588%
Sembcorp Industries Ltd,U96,0.5384%
Lindsay Corp,LNN,0.5057%
Middlesex Water Co,MSEX,0.4569%
Acea SpA,ACE,0.4162%
China Water Affairs Group Ltd,855,0.2795%
Gorman-Rupp Co,GRC,0.2742%
Aegion Corp,AEGN,0.262%
York Water Co,YORW,0.2539%
AquaVenture Holdings Ltd,WAAS,0.2182%
Metawater Co Ltd,9551,0.1899%
Organo Corp,6368,0.1822%
Select Energy Services Inc,WTTR,0.18%
Energy Recovery Inc,ERII,0.1535%
Forterra Inc,FRTA,0.1097%
Cash Component,CASH,-0.0045%
