CLOU: Global X Cloud Computing ETF
Inception Date: 2019-04-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	459601
Shares Outstanding: 26300000
Expense Ratio: 0.68%
Tracks This Index: Indxx Global Cloud Computing Index
ETFdb.com Category: Technology Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/CLOU


Holding,Symbol,Weighting
Shopify Inc,SHOP,5.1503%
Paycom Software Inc,PAYC,4.7036%
Paylocity Holding Corp,PCTY,4.6212%
Zscaler Inc,ZS,4.5358%
Netflix Inc,NFLX,4.3239%
Anaplan Inc,PLAN,4.2898%
Twilio Inc,TWLO,4.2803%
Xero Ltd,XRO,4.1074%
Salesforce.Com Inc,CRM,4.0176%
Workday Inc,WDAY,4.0013%
Coupa Software Inc,COUP,3.8852%
LogMeIn Inc,LOGM,3.8295%
Akamai Technologies Inc,AKAM,3.7626%
Proofpoint Inc,PFPT,3.7119%
RealPage Inc,RP,3.3664%
Digital Realty Trust Inc,DLR,3.2877%
Cornerstone OnDemand Inc,CSOD,3.2458%
Qualys Inc,QLYS,3.1832%
Dropbox Inc,DBX,3.091%
Mimecast Ltd,MIME,3.0043%
Everbridge Inc,EVBG,2.8493%
Microsoft Corp,MSFT,2.1679%
Box Inc,BOX,2.092%
Amazon.com Inc,AMZN,1.9039%
SPS Commerce Inc,SPSC,1.8541%
Alibaba Group Holding Ltd,BABA,1.6853%
Workiva Inc,WK,1.6149%
2U Inc,TWOU,1.4699%
Alphabet Inc,GOOGL,1.3544%
CyrusOne Inc,CONE,1.1679%
21Vianet Group Inc,VNET,0.9199%
CoreSite Realty Corp,COR,0.696%
Benefitfocus Inc,BNFT,0.5455%
QTS Realty Trust Inc,QTS,0.5338%
Kingsoft Corp Ltd,3888,0.4274%
International Business Machines Corp,IBM,0.4039%
Cash Component,CASH,-0.0852%
