DUST: Direxion Daily Gold Miners Bear 3X Shares
Inception Date: 2010-12-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	331777
Shares Outstanding: 52618000
Expense Ratio: 1.05%
Tracks This Index: NYSE Arca Gold Miners Index (-300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/DUST


Holding,Symbol,Weighting
Newmont Corporation,NEM,12.5335%
Barrick Gold Corp,GOLD,11.2318%
Franco-Nevada Corp,FNV,7.3972%
Newcrest Mining Ltd,NCM,5.1652%
Kirkland Lake Gold Ltd,KL,5.0366%
Wheaton Precious Metals Corp,WPM,4.974%
Agnico Eagle Mines Ltd,AEM,4.8438%
AngloGold Ashanti Ltd,AU,4.0259%
Royal Gold Inc,RGLD,3.5241%
Kinross Gold Corp,KGC,3.1398%
Northern Star Resources Ltd,NST,2.9613%
Gold Fields Ltd,GFI,2.7407%
Pan American Silver Corp,PAAS,2.3739%
B2Gold Corp,BTG,2.1783%
Evolution Mining Ltd,EVN,2.1745%
Yamana Gold Inc,AUY,1.8544%
Compania de Minas Buenaventura SAA,BVN,1.6191%
Saracen Mineral Holdings Ltd,SAR,1.5142%
Zijin Mining Group Co Ltd,2899,1.305%
Alamos Gold Inc,AGI,1.2144%
Centerra Gold Inc,CG,1.1665%
SSR Mining Inc,SSRM,1.1041%
Endeavour Mining Corp,EDV,1.0431%
Centamin PLC,CEY,0.9998%
First Majestic Silver Corp,AG,0.9959%
Pretium Resources Inc,PVG,0.9231%
Hecla Mining Co,HL,0.8637%
Harmony Gold Mining Company Ltd,HMY,0.821%
Osisko Gold Royalties Ltd,OR,0.7695%
Regis Resources Ltd,RRL,0.7441%
Coeur Mining Inc,CDE,0.7404%
Iamgold Corp,IAG,0.6872%
Alacer Gold Corp,ASR,0.6738%
St Barbara Ltd,SBM,0.6423%
Sandstorm Gold Ltd,SAND,0.596%
Torex Gold Resources Inc,TXG,0.5914%
OceanaGold Corp,OGC,0.5866%
Zhaojin Mining Industry Co Ltd,1818,0.5758%
Eldorado Gold Corp,EGO,0.5379%
Highland Gold Mining Ltd,HGM,0.5014%
Perseus Mining Ltd,PRU,0.4434%
Wesdome Gold Mines Ltd,WDO,0.4357%
Semafo Inc,SMF,0.3983%
Dundee Precious Metals Inc,DPM,0.3829%
Silvercorp Metals Inc,SVM,0.346%
Resolute Mining Ltd,RSG,0.3368%
New Gold Inc,NGD,0.2857%
