ECON: Columbia Emerging Markets Consumer ETF
Inception Date: 2010-09-14
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	235143
Shares Outstanding: 9950000
Expense Ratio: 0.59%
Tracks This Index: Dow Jones Emerging Market Consumer Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Columbia Threadneedle Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ECON


Holding,Symbol,Weighting
Tencent Holdings Ltd,700,5.6777%
China Mobile Ltd,941,5.3716%
Hindustan Unilever Ltd,HUVR,5.0804%
Alibaba Group Holding Ltd,BABA,5.0423%
Baidu Inc,BIDU,4.4231%
JD.com Inc,JD,4.2972%
iShares MSCI Saudi Arabia ETF,KSA,3.298%
Chunghwa Telecom Co Ltd,2412,3.2739%
Uni-President Enterprises Corp,1216,2.974%
NetEase Inc,NTES,2.877%
Yandex NV,YNDX,2.8661%
Maruti Suzuki India Ltd,MSIL,2.8156%
TAL Education Group,TAL,2.6608%
Lojas Renner SA,LREN3,2.4398%
ITC Ltd,ITC,2.0793%
Vodacom Group Ltd,VOD,2.0664%
Yum China Holdings Inc,YUMC,1.9783%
New Oriental Education & Technology Group Inc,EDU,1.9692%
Hotai Motor Co Ltd,2207,1.8216%
Raia Drogasil SA,RADL3,1.736%
Trip.com Group Ltd,TCOM,1.7065%
Taiwan Mobile Co Ltd,3045,1.3847%
Telefonica Brasil SA,VIVT4,1.3664%
Shoprite Holdings Ltd,SHP,1.3592%
President Chain Store Corp,2912,1.349%
China Mengniu Dairy Co Ltd,2319,1.3381%
CP All PCL,CPALL,1.3195%
Telekomunikasi Indonesia (Persero) Tbk PT,TLKM,1.2791%
China Tower Corp Ltd,788,1.2717%
Fomento Economico Mexicano SAB de CV,FEMSAUBD,1.2384%
Magnit PAO,MGNT,1.1664%
Mahindra and Mahindra Ltd,MM,1.1552%
Petrobras Distribuidora SA,BRDT3,1.1498%
Geely Automobile Holdings Ltd,175,1.0958%
ANTA Sports Products Ltd,2020,1.0932%
Wal Mart de Mexico SAB de CV,WALMEX*,1.0736%
Emirates Telecommunications Group Co PJSC,ETISALAT,1.0169%
X5 Retail Group NV,FIVE,0.9264%
Astra International Tbk PT,ASII,0.9195%
Advanced Info Service PCL,ADVANC,0.8633%
China Resources Beer Holdings Co Ltd,291,0.8149%
Hero MotoCorp Ltd,HEROMOTOCO,0.7987%
TIM Participacoes SA,TIMP3,0.7347%
Companhia Brasileira de Distribuicao,PCAR4,0.7084%
China Telecom Corp Ltd,728,0.695%
Hengan International Group Company Ltd,1044,0.6824%
Thai Beverage PCL,Y92,0.6671%
58.Com Inc,WUBA,0.6632%
Want Want China Holdings Ltd,151,0.6442%
China Unicom Hong Kong Ltd,762,0.6367%
Falabella SA,FALABELLA,0.6008%
Autohome Inc,ATHM,0.5571%
Haier Electronics Group Co Ltd,1169,0.4437%
Byd Co Ltd,1211,0.4435%
Grupo Televisa SAB,TLEVISACPO,0.384%
Guangzhou Automobile Group Co Ltd,2238,0.3838%
Cencosud SA,CENCOSUD,0.3623%
Unilever Indonesia Tbk PT,UNVR,0.3209%
Dongfeng Motor Group Co Ltd,489,0.2439%
Coca-Cola Femsa SAB de CV,KOFUBL,0.2394%
Cash Component,CASH,0.1547%
