ERUS: iShares MSCI Russia ETF
Inception Date: 2010-11-09
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	624894
Shares Outstanding: 15050000
Expense Ratio: 0.59%
Tracks This Index: MSCI Russia 25/50 Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ERUS


Holding,Symbol,Weighting
Cash Component,CASH,24.0566%
NK Lukoil PAO,LKOH,12.2998%
Sberbank Rossii PAO,SBER,11.5907%
Gazprom PAO,GAZP,11.3466%
GMK Noril'skiy Nikel' PAO,GMKN,4.2184%
Tatneft' PAO,TATN,3.3693%
Novatek PAO,NVTK,2.798%
Mobil'nye Telesistemy PAO,MBT,2.7877%
Magnit PAO,MGNT,2.4152%
X5 Retail Group NV,FIVE,2.3436%
Inter RAO EES PAO,IRAO,2.228%
Polyus PAO,PLZL,2.159%
AK Alrosa PAO,ALRS,2.0156%
Surgutneftegaz PAO,SNGS,1.8781%
Severstal' PAO,CHMF,1.8742%
Moskovskaya Birzha MMVB-RTS PAO,MOEX,1.8024%
Novolipetsk Steel PAO,NLMK,1.7669%
NK Rosneft' PAO,ROSN,1.6121%
Magnitogorskiy Metallurgicheskiy Kombinat PAO,MAGN,1.4955%
Surgutneftegaz PAO,SNGSP,1.4124%
PhosAgro PAO,PHOR,1.2817%
Bank VTB PAO,VTBR,0.9911%
Transneft' PAO,TRNFP,0.5723%
