ERX: Direxion Daily Energy Bull 3X Shares
Inception Date: 2008-11-06
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	273980
Shares Outstanding: 22050000
Expense Ratio: 1.09%
Tracks This Index: Energy Select Sector Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ERX


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,22.3292%
Chevron Corp,CVX,20.8472%
EOG Resources Inc,EOG,4.6549%
ConocoPhillips,COP,4.5546%
Kinder Morgan Inc,KMI,4.4257%
Schlumberger NV,SLB,4.3432%
Occidental Petroleum Corp,OXY,4.025%
Phillips 66,PSX,3.9398%
Marathon Petroleum Corp,MPC,3.8201%
Valero Energy Corp,VLO,3.7061%
ONEOK Inc,OKE,3.3476%
Williams Companies Inc,WMB,2.7455%
Pioneer Natural Resources Co,PXD,2.4621%
Halliburton Co,HAL,2.0596%
Concho Resources Inc,CXO,1.7057%
Baker Hughes Co,BKR,1.5681%
Hess Corp,HES,1.5439%
Diamondback Energy Inc,FANG,1.2904%
Apache Corp,APA,1.1356%
Noble Energy Inc,NBL,1.0326%
Marathon Oil Corp,MRO,1.0057%
National Oilwell Varco Inc,NOV,1.004%
Devon Energy Corp,DVN,0.9575%
TechnipFMC PLC,FTI,0.7701%
HollyFrontier Corp,HFC,0.6934%
Cabot Oil & Gas Corp,COG,0.6433%
Helmerich and Payne Inc,HP,0.4942%
Cimarex Energy Co,XEC,0.4713%
Cash Component,CASH,-1.5764%
