EUFN: iShares MSCI Europe Financials ETF
Inception Date: 2010-01-20
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	849251
Shares Outstanding: 43850000
Expense Ratio: 0.48%
Tracks This Index: MSCI Europe Financials Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EUFN


Holding,Symbol,Weighting
HSBC Holdings PLC,HSBA,8.9135%
Allianz SE,ALV,6.1955%
Banco Santander SA,SAN,4.1323%
Zurich Insurance Group AG,ZURN,3.7616%
BNP Paribas SA,BNP,3.7612%
AXA SA,CS,3.0889%
Lloyds Banking Group PLC,LLOY,3.0297%
UBS Group AG,UBSG,2.9494%
Prudential PLC,PRU,2.8832%
ING Groep NV,INGA,2.6539%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,2.5689%
Intesa Sanpaolo SpA,ISP,2.3851%
Barclays PLC,BARC,2.3197%
Banco Bilbao Vizcaya Argentaria SA,BBVA,2.2458%
Swiss Re AG,SREN,1.9969%
Credit Suisse Group AG,CSGN,1.972%
London Stock Exchange Group PLC,LSE,1.9582%
Deutsche Boerse AG,DB1,1.8532%
UniCredit SpA,UCG,1.8115%
Nordea Bank Abp,NDA.SE,1.6749%
Societe Generale SA,GLE,1.5957%
Investor AB,INVE.B,1.5366%
Legal & General Group PLC,LGEN,1.4004%
Standard Chartered PLC,STAN,1.3178%
Assicurazioni Generali SpA,G,1.3067%
Aviva PLC,AV.,1.2125%
Deutsche Bank AG,DBK,1.1998%
Sampo plc,SAMPO,1.1918%
KBC Groep NV,KBC,1.1463%
Dnb ASA,DNB,1.0489%
Partners Group Holding AG,PGHN,1.033%
Svenska Handelsbanken AB,SHB.A,1.0268%
Swiss Life Holding AG,SLHN,1.0233%
Credit Agricole SA,ACA,0.9993%
Skandinaviska Enskilda Banken AB,SEB.A,0.983%
Cash Component,CASH,0.9576%
Swedbank AB,SWED.A,0.85%
3i Group PLC,III,0.8429%
Royal Bank of Scotland Group PLC,RBS,0.8202%
Hannover Rueck SE,HNR1,0.7208%
Erste Group Bank AG,EBS,0.6875%
Caixabank SA,CABK,0.6764%
Danske Bank A/S,DANSKE,0.6606%
NN Group NV,NN,0.6395%
Julius Baer Gruppe AG,BAER,0.6388%
Ageas SA,AGS,0.5926%
Standard Life Aberdeen PLC,SLA,0.5774%
Baloise Holding AG,BALN,0.5317%
Exor NV,EXO,0.5004%
Groep Brussel Lambert NV,GBLB,0.484%
St. James's Place PLC,STJ,0.4782%
M&G PLC,MNG,0.4676%
ABN Amro Bank NV,ABN,0.4571%
Aegon NV,AGN,0.4471%
RSA Insurance Group PLC,RSA,0.4425%
Mediobanca Banca di Credito Finanziario SpA,MB,0.3929%
FinecoBank Banca Fineco SpA,FBK,0.3865%
Scor SE,SCR,0.3832%
Poste Italiane SpA,PST,0.3777%
Commerzbank AG,CBK,0.3762%
Direct Line Insurance Group PLC,DLG,0.3595%
Hargreaves Lansdown PLC,HL.,0.3478%
Kinnevik AB,KINV.B,0.3321%
Admiral Group PLC,ADM,0.328%
Schroders PLC,SDR,0.3214%
Banco de Sabadell SA,SAB,0.3126%
Amundi SA,AMUN,0.3015%
Bankinter SA,BKT,0.268%
Bank of Ireland Group PLC,BIRG,0.2674%
Natixis SA,KN,0.2635%
Gjensidige Forsikring ASA,GJF,0.2587%
Industrivarden AB,INDU.C,0.2423%
Tryg A/S,TRYG,0.2159%
Wendel SE,MF,0.2147%
Raiffeisen Bank International AG,RBI,0.2131%
L E Lundbergforetagen AB (publ),LUND.B,0.2034%
Pargesa Holding SA,PARG,0.1868%
CNP Assurances SA,CNP,0.1854%
Eurazeo SE,RF,0.1711%
Mapfre SA,MAP,0.1682%
Bankia SA,BKIA,0.1389%
AIB Group plc,A5G,0.1328%
