EXI: iShares S&P Global Industrials ETF
Inception Date: 2006-09-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	257690
Shares Outstanding: 2600000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Industrials Index
ETFdb.com Category: Industrials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EXI


Holding,Symbol,Weighting
Boeing Co,BA,3.7057%
Union Pacific Corp,UNP,2.6311%
United Technologies Corp,UTX,2.6151%
Honeywell International Inc,HON,2.5776%
General Electric Co,GE,2.3058%
Lockheed Martin Corp,LMT,2.24%
Cash Component,CASH,2.1077%
Siemens AG,SIE,1.9625%
3M Co,MMM,1.8958%
Airbus SE,AIR,1.8565%
Caterpillar Inc,CAT,1.519%
United Parcel Service Inc,UPS,1.4893%
Canadian National Railway Co,CNR,1.395%
Recruit Holdings Co Ltd,6098,1.3736%
Raytheon Co,RTN,1.3177%
CSX Corp,CSX,1.25%
Schneider Electric SE,SU,1.1917%
Vinci SA,DG,1.187%
Northrop Grumman Corp,NOC,1.1626%
Safran SA,SAF,1.1354%
Norfolk Southern Corp,NSC,1.1346%
Relx PLC,REL,1.1157%
Illinois Tool Works Inc,ITW,1.1068%
Deere & Co,DE,1.085%
L3Harris Technologies Inc,LHX,1.0396%
Waste Management Inc,WM,0.991%
Abb Ltd,ABBN,0.9703%
Emerson Electric Co,EMR,0.9211%
General Dynamics Corp,GD,0.888%
Daikin Industries Ltd,6367,0.8866%
Eaton Corporation PLC,ETN,0.8664%
Mitsubishi Corp,8058,0.864%
Central Japan Railway Co,9022,0.8473%
Roper Technologies Inc,ROP,0.8258%
Itochu Corp,8001,0.7897%
FedEx Corp,FDX,0.7692%
Nidec Corp,6594,0.7613%
Canadian Pacific Railway Ltd,CP,0.7572%
Fanuc Corp,6954,0.7556%
Deutsche Post AG,DPW,0.7171%
East Japan Railway Co,9020,0.7051%
Ingersoll-Rand PLC,IR,0.7035%
Delta Air Lines Inc,DAL,0.692%
Experian PLC,EXPN,0.6719%
SMC Corp,6273,0.6705%
IHS Markit Ltd,INFO,0.664%
Mitsubishi Electric Corp,6503,0.656%
Mitsui & Co Ltd,8031,0.6509%
TransDigm Group Inc,TDG,0.6425%
Johnson Controls International PLC,JCI,0.6326%
Volvo AB,VOLV.B,0.6065%
Transurban Group,TCL,0.5807%
Verisk Analytics Inc,VRSK,0.5693%
Southwest Airlines Co,LUV,0.5589%
BAE Systems PLC,BA.,0.5559%
Parker-Hannifin Corp,PH,0.5488%
Waste Connections Inc,WCN,0.541%
Kone Oyj,KNEBV,0.5386%
Paccar Inc,PCAR,0.5372%
Atlas Copco AB,ATCO.A,0.5236%
Stanley Black & Decker Inc,SWK,0.513%
Cummins Inc,CMI,0.5077%
CK Hutchison Holdings Ltd,1,0.5043%
Cintas Corp,CTAS,0.5034%
DSV Panalpina A/S,DSV,0.4889%
Rockwell Automation Inc,ROK,0.4867%
Assa Abloy AB,ASSA.B,0.4863%
Fortive Corp,FTV,0.4789%
Ametek Inc,AME,0.4625%
Ferguson PLC,FERG,0.4572%
Fastenal Co,FAST,0.4388%
Komatsu Ltd,6301,0.4362%
Wolters Kluwer NV,WKL,0.4354%
Copart Inc,CPRT,0.4338%
Compagnie de Saint Gobain SA,SGO,0.4317%
Legrand SA,LR,0.431%
Sandvik AB,SAND,0.4281%
Vestas Wind Systems A/S,VWS,0.427%
Republic Services Inc,RSG,0.4185%
Geberit AG,GEBN,0.4035%
Sumitomo Corp,8053,0.3997%
