FAS: Direxion Daily Financial Bull 3X Shares
Inception Date: 2008-11-06
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1610004
Shares Outstanding: 15949000
Expense Ratio: 1.0%
Tracks This Index: Russell 1000 Financial Services Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FAS


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,7.1892%
JPMorgan Chase & Co,JPM,6.9119%
Visa Inc,V,5.6144%
Mastercard Inc,MA,4.6865%
Bank of America Corp,BAC,4.5514%
Wells Fargo & Co,WFC,2.9464%
Citigroup Inc,C,2.775%
PayPal Holdings Inc,PYPL,2.2576%
American Tower Corp,AMT,1.6943%
Fidelity National Information Services Inc,FIS,1.4429%
American Express Co,AXP,1.4267%
U.S. Bancorp,USB,1.2625%
Goldman Sachs Group Inc,GS,1.2266%
CME Group Inc,CME,1.2214%
Chubb Ltd,CB,1.1839%
Truist Financial Corp,TFC,1.1737%
S&P Global Inc,SPGI,1.1715%
Fiserv Inc,FISV,1.1112%
Prologis Inc,PLD,1.1022%
PNC Financial Services Group Inc,PNC,1.0852%
BlackRock Inc,BLK,1.0686%
Morgan Stanley,MS,1.0352%
Crown Castle International Corp,CCI,1.0083%
Global Payments Inc,GPN,0.9672%
Marsh & McLennan Companies Inc,MMC,0.9552%
Charles Schwab Corp,SCHW,0.8778%
Aon PLC,AON,0.8713%
Equinix Inc,EQIX,0.8289%
Intercontinental Exchange Inc,ICE,0.8226%
Progressive Corp,PGR,0.784%
Capital One Financial Corp,COF,0.7688%
American International Group Inc,AIG,0.7513%
Moody's Corp,MCO,0.7105%
Simon Property Group Inc,SPG,0.6989%
Allstate Corp,ALL,0.6487%
MetLife Inc,MET,0.6482%
Bank of New York Mellon Corp,BK,0.6257%
Aflac Inc,AFL,0.6211%
Prudential Financial Inc,PRU,0.6193%
Travelers Companies Inc,TRV,0.5662%
Welltower Inc,WELL,0.5503%
Public Storage,PSA,0.5402%
T. Rowe Price Group Inc,TROW,0.5097%
Equity Residential,EQR,0.4974%
AvalonBay Communities Inc,AVB,0.4909%
SBA Communications Corp,SBAC,0.4669%
State Street Corp,STT,0.4644%
Square Inc,SQ,0.4377%
Willis Towers Watson PLC,WLTW,0.4376%
Fleetcor Technologies Inc,FLT,0.4196%
Realty Income Corp,O,0.4177%
Digital Realty Trust Inc,DLR,0.413%
MSCI Inc,MSCI,0.3956%
Discover Financial Services,DFS,0.3806%
M&T Bank Corp,MTB,0.3605%
Ameriprise Financial Inc,AMP,0.358%
Boston Properties Inc,BXP,0.3564%
Ventas Inc,VTR,0.354%
Hartford Financial Services Group Inc,HIG,0.3474%
Synchrony Financial,SYF,0.3461%
CBRE Group Inc,CBRE,0.3452%
Weyerhaeuser Co,WY,0.3433%
Fifth Third Bancorp,FITB,0.3373%
Essex Property Trust Inc,ESS,0.3307%
Northern Trust Corp,NTRS,0.3192%
Arthur J Gallagher & Co,AJG,0.312%
KeyCorp,KEY,0.31%
Alexandria Real Estate Equities Inc,ARE,0.3089%
First Republic Bank,FRC,0.3078%
Equifax Inc,EFX,0.3023%
Healthpeak Properties Inc,PEAK,0.2879%
TransUnion,TRU,0.286%
Arch Capital Group Ltd,ACGL,0.2854%
Markel Corp,MKL,0.2843%
Cincinnati Financial Corp,CINF,0.2773%
Invitation Homes Inc,INVH,0.2717%
Citizens Financial Group Inc,CFG,0.2696%
Mid-America Apartment Communities Inc,MAA,0.2575%
Regions Financial Corp,RF,0.254%
Principal Financial Group Inc,PFG,0.2479%
Sun Communities Inc,SUI,0.2382%
WP Carey Inc,WPC,0.2337%
Huntington Bancshares Inc,HBAN,0.2316%
Annaly Capital Management Inc,NLY,0.2301%
UDR Inc,UDR,0.2284%
Extra Space Storage Inc,EXR,0.2228%
Loews Corp,L,0.2196%
Cboe Global Markets Inc,CBOE,0.2186%
Broadridge Financial Solutions Inc,BR,0.2173%
Duke Realty Corp,DRE,0.2171%
SVB Financial Group,SIVB,0.2141%
TD Ameritrade Holding Corp,AMTD,0.2121%
Nasdaq Inc,NDAQ,0.2108%
Jack Henry & Associates Inc,JKHY,0.2064%
Marketaxess Holdings Inc,MKTX,0.2047%
Equity LifeStyle Properties Inc,ELS,0.2036%
Ally Financial Inc,ALLY,0.2001%
Fidelity National Financial Inc,FNF,0.196%
Medical Properties Trust Inc,MPW,0.1929%
Host Hotels & Resorts Inc,HST,0.1917%
Lincoln National Corp,LNC,0.1909%
Fair Isaac Corp,FICO,0.1904%
Raymond James Financial Inc,RJF,0.1883%
Globe Life Inc,GL,0.1873%
Western Union Co,WU,0.1869%
Vornado Realty Trust,VNO,0.1854%
Everest Re Group Ltd,RE,0.1849%
W. R. Berkley Corp,WRB,0.1805%
Alleghany Corp,Y,0.1787%
Brown & Brown Inc,BRO,0.1779%
Factset Research Systems Inc,FDS,0.176%
Equitable Holdings Inc,EQH,0.1715%
Camden Property Trust,CPT,0.17%
Regency Centers Corp,REG,0.1689%
VEREIT Inc,VER,0.1688%
AGNC Investment Corp,AGNC,0.1674%
E*TRADE Financial Corp,ETFC,0.1591%
VICI Properties Inc,VICI,0.1569%
National Retail Properties Inc,NNN,0.1566%
Gaming and Leisure Properties Inc,GLPI,0.1557%
Reinsurance Group of America Inc,RGA,0.1553%
Federal Realty Investment Trust,FRT,0.1548%
Omega Healthcare Investors Inc,OHI,0.1493%
WEX Inc,WEX,0.1473%
Iron Mountain Inc,IRM,0.1464%
Comerica Inc,CMA,0.1439%
Jones Lang LaSalle Inc,JLL,0.1438%
Kilroy Realty Corp,KRC,0.1436%
SEI Investments Co,SEIC,0.139%
STORE Capital Corp,STOR,0.1374%
Renaissancere Holdings Ltd,RNR,0.1372%
Voya Financial Inc,VOYA,0.1347%
American Financial Group Inc,AFG,0.1347%
Assurant Inc,AIZ,0.1324%
Euronet Worldwide Inc,EEFT,0.1289%
Lamar Advertising Co,LAMR,0.1284%
Kimco Realty Corp,KIM,0.1276%
Apartment Investment and Management Co,AIV,0.127%
Zions Bancorporation NA,ZION,0.1255%
Signature Bank,SBNY,0.1218%
LPL Financial Holdings Inc,LPLA,0.1217%
SL Green Realty Corp,SLG,0.1213%
American Homes 4 Rent,AMH,0.1155%
New Residential Investment Corp,NRZ,0.1152%
Commerce Bancshares Inc,CBSH,0.1146%
Starwood Property Trust Inc,STWD,0.1145%
Douglas Emmett Inc,DEI,0.1145%
Franklin Resources Inc,BEN,0.1142%
People's United Financial Inc,PBCT,0.1134%
Invesco Ltd,IVZ,0.112%
CyrusOne Inc,CONE,0.1116%
East West Bancorp Inc,EWBC,0.1115%
Americold Realty Trust,COLD,0.1085%
First American Financial Corp,FAF,0.1075%
Athene Holding Ltd,ATH,0.107%
Prosperity Bancshares Inc,PB,0.1062%
Healthcare Trust Of America Inc,HTA,0.1059%
TCF Financial Corp,TCF,0.1048%
Old Republic International Corp,ORI,0.1046%
Zillow Group Inc,Z,0.1014%
American Campus Communities Inc,ACC,0.1014%
Brixmor Property Group Inc,BRX,0.0998%
Jefferies Financial Group Inc,JEF,0.0983%
Unum Group,UNM,0.0981%
CubeSmart,CUBE,0.098%
Cousins Properties Inc,CUZ,0.0961%
Hudson Pacific Properties Inc,HPP,0.0913%
