FBT: First Trust Amex Biotechnology Index
Inception Date: 2006-06-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1790913
Shares Outstanding: 11950000
Expense Ratio: 0.57%
Tracks This Index: NYSE Arca Biotechnology Index
ETFdb.com Category: Health & Biotech Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FBT


Holding,Symbol,Weighting
Biogen Inc,BIIB,4.0137%
Gilead Sciences Inc,GILD,3.6965%
Exact Sciences Corp,EXAS,3.6569%
United Therapeutics Corp,UTHR,3.6487%
Seattle Genetics Inc,SGEN,3.6413%
Alnylam Pharmaceuticals Inc,ALNY,3.5684%
Vertex Pharmaceuticals Inc,VRTX,3.4439%
Ionis Pharmaceuticals Inc,IONS,3.4009%
Nektar Therapeutics,NKTR,3.4002%
Ultragenyx Pharmaceutical Inc,RARE,3.3863%
Neurocrine Biosciences Inc,NBIX,3.358%
Qiagen NV,QGEN,3.3536%
Regeneron Pharmaceuticals Inc,REGN,3.343%
Alkermes Plc,ALKS,3.3313%
Grifols SA,GRFS,3.3274%
Biomarin Pharmaceutical Inc,BMRN,3.3156%
Charles River Laboratories International Inc,CRL,3.3015%
FibroGen Inc,FGEN,3.2983%
IQVIA Holdings Inc,IQV,3.2873%
Exelixis Inc,EXEL,3.2441%
ACADIA Pharmaceuticals Inc,ACAD,3.2436%
Amgen Inc,AMGN,3.2073%
Sarepta Therapeutics Inc,SRPT,3.1316%
Incyte Corp,INCY,3.1126%
Bio-Techne Corp,TECH,3.0829%
Agios Pharmaceuticals Inc,AGIO,3.0817%
Illumina Inc,ILMN,3.0595%
bluebird bio Inc,BLUE,3.0569%
Intercept Pharmaceuticals Inc,ICPT,3.0329%
Alexion Pharmaceuticals Inc,ALXN,3.0006%
Cash Component,CASH,-0.0266%
