FCOM: Fidelity MSCI Communication Services Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	512731
Shares Outstanding: 13800000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Telecommunication Services 25/50 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FCOM


Holding,Symbol,Weighting
Facebook Inc,FB,14.9508%
Alphabet Inc,GOOG,12.1039%
Alphabet Inc,GOOGL,11.4659%
AT&T Inc,T,7.2445%
Netflix Inc,NFLX,5.2914%
Verizon Communications Inc,VZ,4.2302%
Comcast Corp,CMCSA,4.1209%
Walt Disney Co,DIS,4.0083%
Charter Communications Inc,CHTR,3.0253%
Activision Blizzard Inc,ATVI,1.8251%
T-Mobile US Inc,TMUS,1.6972%
Electronic Arts Inc,EA,1.3213%
Twitter Inc,TWTR,1.0944%
ViacomCBS Inc,VIAC,1.0482%
Zayo Group Holdings Inc,ZAYO,0.9378%
Centurylink Inc,CTL,0.9253%
IAC/InterActiveCorp,IAC,0.8292%
Omnicom Group Inc,OMC,0.7625%
Liberty Broadband Corp,LBRDK,0.7596%
Snap Inc,SNAP,0.7045%
Fox Corp,FOXA,0.6692%
Sirius XM Holdings Inc,SIRI,0.6583%
Take-Two Interactive Software Inc,TTWO,0.6425%
Live Nation Entertainment Inc,LYV,0.5907%
DISH Network Corp,DISH,0.5801%
Discovery Inc,DISCK,0.5738%
Liberty Media Corp,FWONK,0.5725%
Cable ONE Inc,CABO,0.5492%
Liberty Media Corp,LSXMK,0.5469%
Interpublic Group of Companies Inc,IPG,0.544%
Zillow Group Inc,Z,0.5294%
Roku Inc,ROKU,0.5217%
Sprint Corp,S,0.5106%
GCI Liberty Inc,GLIBA,0.5035%
Altice USA Inc,ATUS,0.4928%
Nexstar Media Group Inc,NXST,0.4737%
New York Times Co,NYT,0.4714%
Fox Corp,FOX,0.4464%
News Corp,NWSA,0.4438%
Zynga Inc,ZNGA,0.4418%
Liberty Global PLC,LBTYK,0.4316%
Cogent Communications Holdings Inc,CCOI,0.4246%
Liberty Media Corp,LSXMA,0.4139%
Tegna Inc,TGNA,0.3935%
Cash Component,CASH,0.3902%
Discovery Inc,DISCA,0.3897%
Iridium Communications Inc,IRDM,0.3889%
Madison Square Garden Co,MSG,0.379%
Pinterest Inc,PINS,0.3269%
Match Group Inc,MTCH,0.3223%
CarGurus Inc,CARG,0.3159%
Telephone and Data Systems Inc,TDS,0.3097%
Yelp Inc,YELP,0.3044%
Cinemark Holdings Inc,CNK,0.3001%
Liberty Global PLC,LBTYA,0.2788%
Vonage Holdings Corp,VG,0.2727%
TripAdvisor Inc,TRIP,0.269%
Liberty Latin America Ltd,LILAK,0.2563%
Gray Television Inc,GTN,0.2551%
Shenandoah Telecommunications Co,SHEN,0.2548%
John Wiley & Sons Inc,JW.A,0.2476%
Cardlytics Inc,CDLX,0.2268%
Sinclair Broadcast Group Inc,SBGI,0.2111%
AMC Networks Inc,AMCX,0.209%
World Wrestling Entertainment Inc,WWE,0.1969%
Meredith Corp,MDP,0.164%
Lions Gate Entertainment Corp,LGF.B,0.1429%
Bandwidth Inc,BAND,0.1417%
Liberty Media Corp,BATRK,0.132%
Scholastic Corp,SCHL,0.1317%
Clear Channel Outdoor Holdings Inc,CCO,0.1258%
iHeartMedia Inc,IHTM,0.1248%
Imax Corp,IMAX,0.1192%
Eventbrite Inc,EB,0.1142%
Glu Mobile Inc,GLUU,0.108%
Cars.com Inc,CARS,0.1029%
Liberty Latin America Ltd,LILA,0.0943%
MSG Networks Inc,MSGN,0.087%
Quinstreet Inc,QNST,0.0862%
Gannett Co Inc,GCI,0.0858%
ANGI Homeservices Inc,ANGI,0.0855%
ATN International Inc,ATNI,0.0823%
TechTarget Inc,TTGT,0.0783%
E. W. Scripps Co,SSP,0.0779%
Lions Gate Entertainment Corp,LGF.A,0.0776%
Anterix Inc,ATEX,0.0765%
Marcus Corp,MCS,0.0762%
Entercom Communications Corp,ETM,0.0696%
Boingo Wireless Inc,WIFI,0.0659%
National CineMedia Inc,NCMI,0.0609%
Liberty Tripadvisor Holdings Inc,LTRPA,0.0579%
United States Cellular Corp,USM,0.0573%
Loral Space & Communications Inc,LORL,0.0503%
Consolidated Communications Holdings Inc,CNSL,0.047%
AMC Entertainment Holdings Inc,AMC,0.0434%
TrueCar Inc,TRUE,0.0408%
EverQuote Inc,EVER,0.0399%
ORBCOMM Inc,ORBC,0.0366%
Gogo Inc,GOGO,0.0366%
Globalstar Inc,GSAT,0.035%
Emerald Expositions Events Inc,EEX,0.0335%
Liberty Media Corp,BATRA,0.0314%
Hemisphere Media Group Inc,HMTV,0.0301%
Tribune Publishing Co,TPCO,0.0251%
WideOpenWest Inc,WOW,0.0243%
Boston Omaha Corp,BOMN,0.0222%
