FDIS: Fidelity MSCI Consumer Discretionary Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	790067
Shares Outstanding: 15750000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Consumer Discretionary Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FDIS


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,25.948%
Home Depot Inc,HD,7.7203%
Mcdonald's Corp,MCD,4.7753%
Nike Inc,NKE,3.699%
Starbucks Corp,SBUX,3.0734%
Tesla Inc,TSLA,2.9826%
Lowe's Companies Inc,LOW,2.7995%
Booking Holdings Inc,BKNG,2.3602%
TJX Companies Inc,TJX,2.2049%
Target Corp,TGT,1.7562%
General Motors Co,GM,1.2845%
Ross Stores Inc,ROST,1.2735%
Marriott International Inc,MAR,1.1948%
Dollar General Corp,DG,1.1801%
Ford Motor Co,F,0.9448%
Yum! Brands Inc,YUM,0.9194%
Hilton Worldwide Holdings Inc,HLT,0.8971%
O'Reilly Automotive Inc,ORLY,0.8811%
eBay Inc,EBAY,0.8573%
Mercadolibre Inc,MELI,0.85%
VF Corp,VFC,0.8335%
Lululemon Athletica Inc,LULU,0.7961%
Autozone Inc,AZO,0.7599%
Cash Component,CASH,0.7415%
Las Vegas Sands Corp,LVS,0.6871%
Aptiv PLC,APTV,0.6635%
Chipotle Mexican Grill Inc,CMG,0.6547%
D.R. Horton Inc,DHI,0.6341%
Best Buy Co Inc,BBY,0.621%
Dollar Tree Inc,DLTR,0.6115%
Royal Caribbean Cruises Ltd,RCL,0.5871%
Lennar Corp,LEN,0.5831%
Carnival Corp,CCL,0.5283%
Ulta Beauty Inc,ULTA,0.4838%
Carmax Inc,KMX,0.4723%
MGM Resorts International,MGM,0.4614%
Expedia Group Inc,EXPE,0.4565%
Burlington Stores Inc,BURL,0.449%
Darden Restaurants Inc,DRI,0.438%
Tiffany & Co,TIF,0.4331%
Genuine Parts Co,GPC,0.4107%
Garmin Ltd,GRMN,0.3797%
Hasbro Inc,HAS,0.3778%
Wynn Resorts Ltd,WYNN,0.3643%
PulteGroup Inc,PHM,0.3566%
Tractor Supply Co,TSCO,0.3388%
Norwegian Cruise Line Holdings Ltd,NCLH,0.3369%
Domino's Pizza Inc,DPZ,0.3186%
NVR Inc,NVR,0.3127%
LKQ Corp,LKQ,0.3007%
Aramark,ARMK,0.2991%
Bright Horizons Family Solutions Inc,BFAM,0.2876%
Advance Auto Parts Inc,AAP,0.2809%
Whirlpool Corp,WHR,0.2796%
Vail Resorts Inc,MTN,0.2728%
Pool Corp,POOL,0.2624%
Service Corporation International,SCI,0.255%
Newell Brands Inc,NWL,0.2399%
Tapestry Inc,TPR,0.2375%
Mohawk Industries Inc,MHK,0.2279%
Gentex Corp,GNTX,0.2243%
Caesars Entertainment Corp,CZR,0.2242%
Kohls Corp,KSS,0.2096%
Lear Corp,LEA,0.2087%
BorgWarner Inc,BWA,0.2061%
Planet Fitness Inc,PLNT,0.2041%
Toll Brothers Inc,TOL,0.1931%
PVH Corp,PVH,0.1896%
Five Below Inc,FIVE,0.1864%
Dunkin' Brands Group Inc,DNKN,0.1835%
Autoliv Inc,ALV,0.1828%
Ralph Lauren Corp,RL,0.1827%
Wayfair Inc,W,0.1782%
Leggett & Platt Inc,LEG,0.1762%
Etsy Inc,ETSY,0.1761%
Wyndham Hotels & Resorts Inc,WH,0.1665%
L Brands Inc,LB,0.1645%
Williams-Sonoma Inc,WSM,0.1643%
Churchill Downs Inc,CHDN,0.1604%
Deckers Outdoor Corp,DECK,0.1602%
Harley-Davidson Inc,HOG,0.1566%
Skechers USA Inc,SKX,0.156%
Polaris Inc,PII,0.1549%
Brunswick Corp,BC,0.1546%
HanesBrands Inc,HBI,0.1523%
Macy's Inc,M,0.1504%
Mattel Inc,MAT,0.1443%
Servicemaster Global Holdings Inc,SERV,0.1412%
Carter's Inc,CRI,0.1402%
Helen of Troy Ltd,HELE,0.1386%
Capri Holdings Ltd,CPRI,0.1374%
GrubHub Inc,GRUB,0.1371%
Chegg Inc,CHGG,0.1362%
Thor Industries Inc,THO,0.1328%
H & R Block Inc,HRB,0.1325%
Foot Locker Inc,FL,0.1307%
Wyndham Destinations Inc,WYND,0.1297%
