FENY: Fidelity MSCI Energy Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	399564
Shares Outstanding: 28050000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Energy Index
ETFdb.com Category: Energy Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FENY


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,22.3256%
Chevron Corp,CVX,17.7567%
ConocoPhillips,COP,5.528%
Schlumberger NV,SLB,4.0881%
EOG Resources Inc,EOG,3.7055%
Kinder Morgan Inc,KMI,3.6945%
Phillips 66,PSX,3.4748%
Occidental Petroleum Corp,OXY,3.2169%
Marathon Petroleum Corp,MPC,3.0943%
Valero Energy Corp,VLO,2.985%
ONEOK Inc,OKE,2.6767%
Williams Companies Inc,WMB,2.1909%
Pioneer Natural Resources Co,PXD,1.9736%
Halliburton Co,HAL,1.6405%
Concho Resources Inc,CXO,1.3657%
Hess Corp,HES,1.3078%
Baker Hughes Co,BKR,1.2166%
Cheniere Energy Inc,LNG,1.1242%
Diamondback Energy Inc,FANG,0.9902%
Apache Corp,APA,0.9077%
Noble Energy Inc,NBL,0.8219%
Marathon Oil Corp,MRO,0.8068%
National Oilwell Varco Inc,NOV,0.8011%
Devon Energy Corp,DVN,0.7965%
Targa Resources Corp,TRGP,0.7432%
TechnipFMC PLC,FTI,0.6215%
HollyFrontier Corp,HFC,0.5865%
Cabot Oil & Gas Corp,COG,0.5262%
Texas Pacific Land Trust,TPL,0.4504%
Parsley Energy Inc,PE,0.4397%
WPX Energy Inc,WPX,0.4376%
Cash Component,CASH,0.4187%
Helmerich and Payne Inc,HP,0.4012%
Cimarex Energy Co,XEC,0.3748%
Tallgrass Energy LP,TGE,0.3098%
Murphy Oil Corp,MUR,0.2897%
PBF Energy Inc,PBF,0.2682%
Plains GP Holdings LP,PAGP,0.2467%
World Fuel Services Corp,INT,0.221%
Continental Resources Inc,CLR,0.2149%
Transocean Ltd,RIG,0.2121%
PDC Energy Inc,PDCE,0.193%
Delek US Holdings Inc,DK,0.1826%
Apergy Corp,APY,0.1794%
Equitrans Midstream Corp,ETRN,0.1779%
Core Laboratories NV,CLB,0.1314%
Dril-Quip Inc,DRQ,0.1305%
Matador Resources Co,MTDR,0.1304%
Kosmos Energy Ltd,KOS,0.1292%
Patterson-UTI Energy Inc,PTEN,0.1285%
CNX Resources Corp,CNX,0.1186%
Viper Energy Partners LP,VNOM,0.118%
Cactus Inc,WHD,0.1172%
EQT Corp,EQT,0.1168%
EnLink Midstream LLC,ENLC,0.1133%
Oceaneering International Inc,OII,0.1081%
Magnolia Oil & Gas Corp,MGY,0.1026%
Callon Petroleum Co,CPE,0.1023%
Helix Energy Solutions Group Inc,HLX,0.1009%
Antero Midstream Corp,AM,0.0962%
Archrock Inc,AROC,0.0906%
Renewable Energy Group Inc,REGI,0.0905%
CVR Energy Inc,CVI,0.0857%
SM Energy Co,SM,0.0854%
Southwestern Energy Co,SWN,0.0769%
Nextier Oilfield Solutions Inc,NEX,0.0709%
Arch Coal Inc,ARCH,0.0704%
ProPetro Holding Corp,PUMP,0.0702%
SEACOR Holdings Inc,CKH,0.0669%
Nabors Industries Ltd,NBR,0.0643%
QEP Resources Inc,QEP,0.0592%
Oasis Petroleum Inc,OAS,0.0589%
Range Resources Corp,RRC,0.0584%
Rattler Midstream LP,RTLR,0.0573%
Tellurian Inc,TELL,0.0569%
Oil States International Inc,OIS,0.0529%
Peabody Energy Corp,BTU,0.0525%
DMC Global Inc,BOOM,0.0504%
Chesapeake Energy Corp,CHK,0.05%
Tidewater Inc,TDW,0.0486%
Centennial Resource Development Inc,CDEV,0.0471%
Brigham Minerals Inc,MNRL,0.0431%
Berry Petroleum Corp,BRY,0.0412%
Denbury Resources Inc,DNR,0.0397%
Antero Resources Corp,AR,0.0393%
Green Plains Inc,GPRE,0.0383%
Liberty Oilfield Services Inc,LBRT,0.037%
Select Energy Services Inc,WTTR,0.0369%
U.S. Silica Holdings Inc,SLCA,0.0354%
Newpark Resources Inc,NR,0.0346%
International Seaways Inc,INSW,0.0345%
W&T Offshore Inc,WTI,0.0342%
Talos Energy Inc,TALO,0.034%
Whiting Petroleum Corp,WLL,0.0322%
Solaris Oilfield Infrastructure Inc,SOI,0.0318%
REX American Resources Corp,REX,0.0315%
Northern Oil and Gas Inc,NOG,0.0312%
Matrix Service Co,MTRX,0.0288%
Gran Tierra Energy Inc,GTE,0.0286%
Franks International NV,FI,0.0281%
California Resources Corp,CRC,0.0272%
Diamond Offshore Drilling Inc,DO,0.0259%
Bonanza Creek Energy Inc,BCEI,0.0241%
Laredo Petroleum Inc,LPI,0.0224%
CONSOL Energy Inc,CEIX,0.0224%
RPC Inc,RES,0.0216%
Diamond S Shipping Inc,DSSI,0.0187%
Noble Corporation PLC,NE,0.0178%
Gulfport Energy Corp,GPOR,0.0176%
Penn Virginia Corp,PVAC,0.0167%
Exterran Corp,EXTN,0.0129%
Contura Energy Inc,CTRA,0.0108%
Extraction Oil & Gas Inc,XOG,0.0088%
