FHLC: Fidelity MSCI Health Care Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1797258
Shares Outstanding: 35700000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Health Care Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FHLC


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,8.8812%
UnitedHealth Group Inc,UNH,6.0701%
Merck & Co Inc,MRK,4.826%
Pfizer Inc,PFE,4.6629%
Medtronic PLC,MDT,3.5367%
Bristol-Myers Squibb Co,BMY,3.4419%
Abbott Laboratories,ABT,3.4404%
Amgen Inc,AMGN,3.0447%
Abbvie Inc,ABBV,3.0228%
Thermo Fisher Scientific Inc,TMO,2.8916%
Eli Lilly and Co,LLY,2.8168%
Danaher Corp,DHR,2.2408%
CVS Health Corp,CVS,2.0622%
Gilead Sciences Inc,GILD,1.9327%
Cigna Corp,CI,1.7439%
Stryker Corp,SYK,1.6053%
Anthem Inc,ANTM,1.5716%
Intuitive Surgical Inc,ISRG,1.4741%
Becton Dickinson and Co,BDX,1.4722%
Zoetis Inc,ZTS,1.4686%
Allergan plc,AGN,1.4334%
Biogen Inc,BIIB,1.3867%
Vertex Pharmaceuticals Inc,VRTX,1.3645%
Boston Scientific Corp,BSX,1.3014%
Edwards Lifesciences Corp,EW,1.0716%
Humana Inc,HUM,1.0531%
Baxter International Inc,BAX,0.9793%
Illumina Inc,ILMN,0.9593%
HCA Healthcare Inc,HCA,0.8817%
Centene Corp,CNC,0.8159%
Zimmer Biomet Holdings Inc,ZBH,0.7087%
Regeneron Pharmaceuticals Inc,REGN,0.6831%
McKesson Corp,MCK,0.64%
IQVIA Holdings Inc,IQV,0.5804%
Agilent Technologies Inc,A,0.5719%
Cerner Corp,CERN,0.5553%
Resmed Inc,RMD,0.5452%
IDEXX Laboratories Inc,IDXX,0.5312%
Alexion Pharmaceuticals Inc,ALXN,0.4997%
DexCom Inc,DXCM,0.487%
Veeva Systems Inc,VEEV,0.44%
Mettler-Toledo International Inc,MTD,0.438%
Align Technology Inc,ALGN,0.4318%
Cash Component,CASH,0.4055%
