FIDU: Fidelity MSCI Industrials Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	475481
Shares Outstanding: 11050000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Industrials Index
ETFdb.com Category: Industrials Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FIDU


Holding,Symbol,Weighting
Boeing Co,BA,5.7442%
Union Pacific Corp,UNP,4.1269%
United Technologies Corp,UTX,4.0966%
Honeywell International Inc,HON,4.0246%
General Electric Co,GE,3.5708%
Lockheed Martin Corp,LMT,3.5517%
3M Co,MMM,2.939%
Caterpillar Inc,CAT,2.3928%
United Parcel Service Inc,UPS,2.2958%
Raytheon Co,RTN,2.0472%
Illinois Tool Works Inc,ITW,1.8938%
CSX Corp,CSX,1.8821%
Northrop Grumman Corp,NOC,1.8478%
Norfolk Southern Corp,NSC,1.7682%
Waste Management Inc,WM,1.6759%
L3Harris Technologies Inc,LHX,1.6346%
Deere & Co,DE,1.5955%
General Dynamics Corp,GD,1.4582%
Emerson Electric Co,EMR,1.4469%
Eaton Corporation PLC,ETN,1.3648%
Roper Technologies Inc,ROP,1.272%
FedEx Corp,FDX,1.2299%
Ingersoll-Rand PLC,IR,1.0941%
Johnson Controls International PLC,JCI,1.0103%
IHS Markit Ltd,INFO,0.9756%
TransDigm Group Inc,TDG,0.9733%
Parker-Hannifin Corp,PH,0.85%
Verisk Analytics Inc,VRSK,0.8411%
Waste Connections Inc,WCN,0.8382%
Paccar Inc,PCAR,0.8342%
Cintas Corp,CTAS,0.8131%
Stanley Black & Decker Inc,SWK,0.7882%
CoStar Group Inc,CSGP,0.7744%
Cummins Inc,CMI,0.7698%
Fortive Corp,FTV,0.7603%
Rockwell Automation Inc,ROK,0.7538%
Ametek Inc,AME,0.7173%
Cash Component,CASH,0.7056%
Republic Services Inc,RSG,0.6953%
Fastenal Co,FAST,0.6822%
Copart Inc,CPRT,0.6723%
Equifax Inc,EFX,0.6003%
TransUnion,TRU,0.5692%
Kansas City Southern,KSU,0.5512%
Dover Corp,DOV,0.5452%
Xylem Inc,XYL,0.4853%
Masco Corp,MAS,0.4515%
Old Dominion Freight Line Inc,ODFL,0.4511%
Westinghouse Air Brake Technologies Corp,WAB,0.4499%
Teledyne Technologies Inc,TDY,0.4465%
W W Grainger Inc,GWW,0.4458%
IDEX Corp,IEX,0.4141%
Jacobs Engineering Group Inc,J,0.414%
Expeditors International of Washington Inc,EXPD,0.3988%
Allegion PLC,ALLE,0.3987%
Arconic Inc,ARNC,0.3957%
Textron Inc,TXT,0.3727%
United Rentals Inc,URI,0.3689%
Huntington Ingalls Industries Inc,HII,0.3503%
C.H. Robinson Worldwide Inc,CHRW,0.3215%
Fortune Brands Home & Security Inc,FBHS,0.3157%
J B Hunt Transport Services Inc,JBHT,0.3086%
Delta Air Lines Inc,DAL,0.3015%
Carlisle Companies Inc,CSL,0.295%
Nordson Corp,NDSN,0.2932%
Graco Inc,GGG,0.2902%
Toro Co,TTC,0.2769%
Snap-On Inc,SNA,0.2751%
XPO Logistics Inc,XPO,0.2729%
Lennox International Inc,LII,0.2626%
Hubbell Inc,HUBB,0.2501%
Sensata Technologies Holding PLC,ST,0.2452%
Southwest Airlines Co,LUV,0.2448%
HEICO Corp,HEI.A,0.2441%
Uber Technologies Inc,UBER,0.2417%
Nielsen Holdings PLC,NLSN,0.2414%
AECOM,ACM,0.2364%
Spirit AeroSystems Holdings Inc,SPR,0.2287%
HD Supply Holdings Inc,HDS,0.2258%
Robert Half International Inc,RHI,0.223%
WABCO Holdings Inc,WBC,0.2212%
Pentair PLC,PNR,0.2211%
Owens Corning,OC,0.2146%
Donaldson Company Inc,DCI,0.2131%
