FINX: Global X FinTech Thematic ETF
Inception Date: 2016-09-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	486095
Shares Outstanding: 14900000
Expense Ratio: 0.68%
Tracks This Index: Indxx Global FinTech Thematic Index
ETFdb.com Category: Technology Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FINX


Holding,Symbol,Weighting
Fiserv Inc,FISV,13.0754%
Adyen NV,ADYEN,6.02%
Fidelity National Information Services Inc,FIS,5.7685%
Intuit Inc,INTU,5.3879%
Square Inc,SQ,5.1669%
PayPal Holdings Inc,PYPL,4.8791%
Guidewire Software Inc,GWRE,4.8498%
Xero Ltd,XRO,4.7581%
Black Knight Inc,BKI,4.608%
Nexi SpA,NEXI,4.4765%
SS&C Technologies Holdings Inc,SSNC,4.3882%
Wirecard AG,WDI,4.3453%
Afterpay Ltd,APT,3.8906%
Temenos AG,TEMN,3.7729%
StoneCo Ltd,STNE,3.46%
PagSeguro Digital Ltd,PAGS,3.0577%
HealthEquity Inc,HQY,2.6143%
Envestnet Inc,ENV,2.4677%
Simcorp A/S,SIM,2.4371%
LendingTree Inc,TREE,2.3707%
Hypoport AG,HYQ,1.3309%
Bottomline Technologies (DE) Inc,EPAY,1.2516%
Virtu Financial Inc,VIRT,1.0628%
Iress Ltd,IRE,0.9721%
Blucora Inc,BCOR,0.6583%
LendingClub Corp,LC,0.6079%
Zip Co Ltd,Z1P,0.5706%
Leonteq AG,LEON,0.4355%
GreenSky Inc,GSKY,0.328%
Hub24 Ltd,HUB,0.2684%
On Deck Capital Inc,ONDK,0.2503%
Mitek Systems Inc,MITK,0.2471%
Metaps Inc,6172,0.2069%
Yiren Digital Ltd,YRD,0.1564%
Cash Component,CASH,-0.1414%
