FIVG: Defiance Next Gen Connectivity ETF
Inception Date: 2019-03-04
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	239923
Shares Outstanding: 9150000
Expense Ratio: 0.3%
Tracks This Index: BlueStar 5G Communications Index
ETFdb.com Category: Technology Equities
"Issuer: Defiance ETFs, LLC"
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FIVG


Holding,Symbol,Weighting
Nokia Oyj,NOK,5.8278%
NXP Semiconductors NV,NXPI,5.3366%
Qualcomm Inc,QCOM,5.0009%
Analog Devices Inc,ADI,4.6756%
Telefonaktiebolaget LM Ericsson,ERIC,4.536%
Xilinx Inc,XLNX,3.6114%
Akamai Technologies Inc,AKAM,3.2332%
American Tower Corp,AMT,3.1686%
AT&T Inc,T,2.8536%
Verizon Communications Inc,VZ,2.7934%
Skyworks Solutions Inc,SWKS,2.7376%
Keysight Technologies Inc,KEYS,2.6597%
Marvell Technology Group Ltd,MRVL,2.5778%
Charter Communications Inc,CHTR,2.3635%
Crown Castle International Corp,CCI,2.0432%
Amdocs Ltd,DOX,1.8857%
Vodafone Group PLC,VOD,1.8067%
China Mobile Ltd,CHL,1.6696%
Equinix Inc,EQIX,1.6178%
F5 Networks Inc,FFIV,1.5082%
Qorvo Inc,QRVO,1.4356%
Ciena Corp,CIEN,1.3757%
Arista Networks Inc,ANET,1.1314%
Apple Inc,AAPL,1.1229%
Intel Corp,INTC,1.1129%
Amazon.com Inc,AMZN,1.1102%
Cisco Systems Inc,CSCO,1.0391%
VMware Inc,VMW,0.9893%
Orange SA,ORAN,0.9878%
InterXion Holding NV,INXN,0.9553%
Broadcom Inc,AVGO,0.9377%
Juniper Networks Inc,JNPR,0.9333%
SBA Communications Corp,SBAC,0.9278%
Digital Realty Trust Inc,DLR,0.9215%
National Instruments Corp,NATI,0.8869%
T-Mobile US Inc,TMUS,0.8863%
Hewlett Packard Enterprise Co,HPE,0.8747%
Maxar Technologies Inc,MAXR,0.8296%
Corning Inc,GLW,0.7221%
Viavi Solutions Inc,VIAV,0.6844%
GDS Holdings Ltd,GDS,0.6467%
Lattice Semiconductor Corp,LSCC,0.6411%
Infinera Corp,INFN,0.6399%
Centurylink Inc,CTL,0.6306%
Lumentum Holdings Inc,LITE,0.6193%
MACOM Technology Solutions Holdings Inc,MTSI,0.604%
II-VI Inc,IIVI,0.6033%
InterDigital Wireless Inc,IDCC,0.5994%
Netscout Systems Inc,NTCT,0.5831%
CEVA Inc,CEVA,0.5701%
Inseego Corp,INSG,0.5673%
A10 Networks Inc,ATEN,0.5572%
QTS Realty Trust Inc,QTS,0.547%
CyrusOne Inc,CONE,0.5377%
Radware Ltd,RDWR,0.536%
CommScope Holding Company Inc,COMM,0.5357%
Ceragon Networks Ltd,CRNT,0.5337%
SK Telecom Co Ltd,SKM,0.5308%
Sierra Wireless Inc,SWIR,0.529%
CoreSite Realty Corp,COR,0.5154%
Acacia Communications Inc,ACIA,0.5142%
Ribbon Communications Inc,RBBN,0.5103%
Casa Systems Inc,CASA,0.4903%
IPG Photonics Corp,IPGP,0.4889%
KT Corp,KT,0.4854%
ADTRAN Inc,ADTN,0.4753%
NeoPhotonics Corp,NPTN,0.4735%
Sprint Corp,S,0.4667%
CSG Systems International Inc,CSGS,0.4389%
Extreme Networks Inc,EXTR,0.4291%
Cash Component,CASH,0.4268%
Comtech Telecommunications Corp,CMTL,0.4144%
Intelsat SA,I,0.3856%
Ubiquiti Inc,UI,0.3759%
Allot Ltd,ALLT,0.326%
