FIW: First Trust ISE Water Index Fund
Inception Date: 2007-05-11
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	578828
Shares Outstanding: 9300000
Expense Ratio: 0.55%
Tracks This Index: ISE Water Index
ETFdb.com Category: Water Equities 
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FIW


Holding,Symbol,Weighting
Aqua America Inc,WTRG,4.2189%
Agilent Technologies Inc,A,4.1077%
AECOM,ACM,4.0788%
Danaher Corp,DHR,4.0029%
Xylem Inc,XYL,3.8582%
Pentair PLC,PNR,3.7329%
American Water Works Company Inc,AWK,3.7068%
Roper Technologies Inc,ROP,3.6909%
IDEX Corp,IEX,3.6505%
Tetra Tech Inc,TTEK,3.5885%
Ecolab Inc,ECL,3.5022%
Rexnord Corp,RXN,3.3966%
Flowserve Corp,FLS,3.3873%
IDEXX Laboratories Inc,IDXX,3.3726%
A. O. Smith Corp,AOS,3.1695%
Itron Inc,ITRI,3.113%
American States Water Co,AWR,2.9967%
Watts Water Technologies Inc,WTS,2.8793%
Valmont Industries Inc,VMI,2.8234%
Evoqua Water Technologies Corp,AQUA,2.747%
Advanced Drainage Systems Inc,WMS,2.5606%
California Water Service Group,CWT,2.533%
Franklin Electric Co Inc,FELE,2.2917%
Badger Meter Inc,BMI,2.2184%
Mueller Industries Inc,MLI,2.1809%
Lindsay Corp,LNN,2.0859%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBS,2.0566%
Mueller Water Products Inc,MWA,2.0161%
Middlesex Water Co,MSEX,1.96%
SJW Group,SJW,1.8635%
AquaVenture Holdings Ltd,WAAS,1.6756%
York Water Co,YORW,1.4186%
Primo Water Corp,PRMW,1.3727%
Gorman-Rupp Co,GRC,1.2877%
Energy Recovery Inc,ERII,1.1826%
Aegion Corp,AEGN,1.1657%
Cash Component,CASH,0.1066%
