FMAT: Fidelity MSCI Materials Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	226643
Shares Outstanding: 6800000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Materials Index
ETFdb.com Category: Materials
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FMAT


Holding,Symbol,Weighting
Linde PLC,LIN,12.8895%
Air Products and Chemicals Inc,APD,6.1337%
Ecolab Inc,ECL,5.9354%
Sherwin-Williams Co,SHW,5.2909%
Dupont De Nemours Inc,DD,4.3642%
Newmont Corporation,NEM,4.0203%
Dow Inc,DOW,3.9744%
PPG Industries Inc,PPG,3.2299%
Ball Corp,BLL,2.7002%
Corteva Inc,CTVA,2.589%
LyondellBasell Industries NV,LYB,2.4534%
Vulcan Materials Co,VMC,2.1806%
Amcor PLC,AMCR,1.9562%
Martin Marietta Materials Inc,MLM,1.9079%
Freeport-McMoRan Inc,FCX,1.9068%
International Paper Co,IP,1.8114%
Nucor Corp,NUE,1.6189%
International Flavors & Fragrances Inc,IFF,1.5794%
FMC Corp,FMC,1.5268%
Celanese Corp,CE,1.4987%
Avery Dennison Corp,AVY,1.2753%
Crown Holdings Inc,CCK,1.1884%
Westrock Co,WRK,1.1823%
Eastman Chemical Co,EMN,1.1032%
RPM International Inc,RPM,1.0889%
Packaging Corp of America,PKG,1.0707%
CF Industries Holdings Inc,CF,1.0248%
Albemarle Corp,ALB,0.9757%
Reliance Steel & Aluminum Co,RS,0.8636%
Aptargroup Inc,ATR,0.8333%
Mosaic Co,MOS,0.8263%
Royal Gold Inc,RGLD,0.7735%
Steel Dynamics Inc,STLD,0.7105%
Axalta Coating Systems Ltd,AXTA,0.6857%
Sonoco Products Co,SON,0.6466%
Sealed Air Corp,SEE,0.636%
Berry Global Group Inc,BERY,0.6167%
Scotts Miracle-Gro Co,SMG,0.5681%
Ashland Global Holdings Inc,ASH,0.5356%
Graphic Packaging Holding Co,GPK,0.5196%
Huntsman Corp,HUN,0.4835%
Valvoline Inc,VVV,0.4769%
Louisiana-Pacific Corp,LPX,0.4375%
NewMarket Corp,NEU,0.4343%
W. R. Grace & Co,GRA,0.4076%
Eagle Materials Inc,EXP,0.4041%
Balchem Corp,BCPC,0.3984%
PolyOne Corp,POL,0.3221%
Alcoa Corp,AA,0.321%
Ingevity Corp,NGVT,0.3128%
Element Solutions Inc,ESI,0.311%
Summit Materials Inc,SUM,0.3005%
Olin Corp,OLN,0.2937%
Cash Component,CASH,0.2914%
Sensient Technologies Corp,SXT,0.2847%
Innospec Inc,IOSP,0.2771%
Commercial Metals Co,CMC,0.2765%
Allegheny Technologies Inc,ATI,0.2738%
Silgan Holdings Inc,SLGN,0.2727%
Westlake Chemical Corp,WLK,0.27%
Cabot Corp,CBT,0.269%
HB Fuller Co,FUL,0.2673%
Quaker Chemical Corp,KWR,0.2649%
Chemours Co,CC,0.2553%
Domtar Corp,UFS,0.2355%
O-I Glass Inc,OI,0.2339%
Stepan Co,SCL,0.2299%
Carpenter Technology Corp,CRS,0.2278%
Cleveland-Cliffs Inc,CLF,0.2274%
Compass Minerals International Inc,CMP,0.2226%
Minerals Technologies Inc,MTX,0.2171%
Hecla Mining Co,HL,0.1877%
Kaiser Aluminum Corp,KALU,0.1873%
United States Steel Corp,X,0.1729%
GCP Applied Technologies Inc,GCP,0.1719%
Worthington Industries Inc,WOR,0.1678%
Boise Cascade Co,BCC,0.1617%
Livent Corp,LTHM,0.1603%
Coeur Mining Inc,CDE,0.1502%
Trinseo SA,TSE,0.133%
Neenah Inc,NP,0.1305%
Materion Corp,MTRN,0.1284%
Ferro Corp,FOE,0.1245%
Schweitzer-Mauduit International Inc,SWM,0.122%
Greif Inc,GEF,0.121%
AK Steel Holding Corp,AKS,0.1051%
Warrior Met Coal Inc,HCC,0.1038%
P H Glatfelter Co,GLT,0.0854%
Tronox Holdings PLC,TROX,0.0818%
Chase Corp,CCF,0.0815%
Koppers Holdings Inc,KOP,0.0748%
PQ Group Holdings Inc,PQG,0.074%
Verso Corp,VRS,0.0684%
US Concrete Inc,USCR,0.0669%
Tredegar Corp,TG,0.062%
SunCoke Energy Inc,SXC,0.0603%
Myers Industries Inc,MYE,0.0588%
AdvanSix Inc,ASIX,0.0586%
Kraton Corp,KRA,0.0584%
American Vanguard Corp,AVD,0.0559%
Clearwater Paper Corp,CLW,0.0522%
OMNOVA Solutions Inc,OMN,0.0504%
Schnitzer Steel Industries Inc,SCHN,0.0502%
Mercer International Inc,MERC,0.0497%
Hawkins Inc,HWKN,0.0452%
McEwen Mining Inc,MUX,0.0407%
Haynes International Inc,HAYN,0.0397%
FutureFuel Corp,FF,0.0336%
Century Aluminum Co,CENX,0.0335%
Kronos Worldwide Inc,KRO,0.0283%
TimkenSteel Corp,TMST,0.0255%
Intrepid Potash Inc,IPI,0.024%
Greif Inc,GEF.B,0.0235%
Rayonier Advanced Materials Inc,RYAM,0.0209%
United States Lime & Minerals Inc,USLM,0.0206%
Amyris Inc,AMRS,0.0191%
Ryerson Holding Corp,RYI,0.0182%
Venator Materials PLC,VNTR,0.017%
