FNCL: Fidelity MSCI Financials Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1097087
Shares Outstanding: 24550000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Financials Index
ETFdb.com Category: Financials Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FNCL


Holding,Symbol,Weighting
JPMorgan Chase & Co,JPM,10.2031%
Bank of America Corp,BAC,7.1176%
Berkshire Hathaway Inc,BRK.B,6.9607%
Wells Fargo & Co,WFC,4.6569%
Citigroup Inc,C,4.1346%
Cash Component,CASH,2.3534%
American Express Co,AXP,2.1593%
U.S. Bancorp,USB,1.9018%
Goldman Sachs Group Inc,GS,1.7895%
CME Group Inc,CME,1.7748%
Chubb Ltd,CB,1.7261%
Truist Financial Corp,TFC,1.6929%
S&P Global Inc,SPGI,1.6927%
PNC Financial Services Group Inc,PNC,1.5923%
Morgan Stanley,MS,1.5861%
BlackRock Inc,BLK,1.4923%
Marsh & McLennan Companies Inc,MMC,1.3734%
Charles Schwab Corp,SCHW,1.2937%
Aon PLC,AON,1.2668%
Intercontinental Exchange Inc,ICE,1.2064%
Progressive Corp,PGR,1.1328%
Capital One Financial Corp,COF,1.1117%
American International Group Inc,AIG,1.0815%
Moody's Corp,MCO,1.0535%
Blackstone Group Inc,BX,0.9662%
MetLife Inc,MET,0.9557%
Allstate Corp,ALL,0.9523%
Bank of New York Mellon Corp,BK,0.9326%
Aflac Inc,AFL,0.912%
Prudential Financial Inc,PRU,0.8855%
Travelers Companies Inc,TRV,0.8218%
T. Rowe Price Group Inc,TROW,0.7548%
State Street Corp,STT,0.6871%
Willis Towers Watson PLC,WLTW,0.6305%
MSCI Inc,MSCI,0.5865%
Discover Financial Services,DFS,0.556%
Ameriprise Financial Inc,AMP,0.5336%
Hartford Financial Services Group Inc,HIG,0.5032%
M&T Bank Corp,MTB,0.502%
Fifth Third Bancorp,FITB,0.4989%
Northern Trust Corp,NTRS,0.4804%
Synchrony Financial,SYF,0.4605%
KeyCorp,KEY,0.457%
Arthur J Gallagher & Co,AJG,0.4555%
First Republic Bank,FRC,0.4478%
Arch Capital Group Ltd,ACGL,0.4358%
Cincinnati Financial Corp,CINF,0.409%
Markel Corp,MKL,0.4084%
Citizens Financial Group Inc,CFG,0.3989%
KKR & Co Inc,KKR,0.3818%
Regions Financial Corp,RF,0.3783%
Principal Financial Group Inc,PFG,0.3608%
Annaly Capital Management Inc,NLY,0.339%
Huntington Bancshares Inc,HBAN,0.3368%
Loews Corp,L,0.336%
Cboe Global Markets Inc,CBOE,0.3181%
TD Ameritrade Holding Corp,AMTD,0.3156%
SVB Financial Group,SIVB,0.3107%
Marketaxess Holdings Inc,MKTX,0.3082%
Nasdaq Inc,NDAQ,0.307%
Ally Financial Inc,ALLY,0.2959%
Fidelity National Financial Inc,FNF,0.2943%
Lincoln National Corp,LNC,0.2768%
Raymond James Financial Inc,RJF,0.2736%
W. R. Berkley Corp,WRB,0.2681%
Everest Re Group Ltd,RE,0.2656%
Globe Life Inc,GL,0.2624%
Brown & Brown Inc,BRO,0.2594%
Alleghany Corp,Y,0.2568%
Factset Research Systems Inc,FDS,0.2564%
Equitable Holdings Inc,EQH,0.2516%
AGNC Investment Corp,AGNC,0.2448%
E*TRADE Financial Corp,ETFC,0.244%
Reinsurance Group of America Inc,RGA,0.2268%
Comerica Inc,CMA,0.2166%
SEI Investments Co,SEIC,0.2041%
Voya Financial Inc,VOYA,0.2037%
Renaissancere Holdings Ltd,RNR,0.2035%
American Financial Group Inc,AFG,0.2028%
Assurant Inc,AIZ,0.1953%
Zions Bancorporation NA,ZION,0.1904%
Signature Bank,SBNY,0.1855%
LPL Financial Holdings Inc,LPLA,0.1818%
Franklin Resources Inc,BEN,0.1799%
Starwood Property Trust Inc,STWD,0.17%
Invesco Ltd,IVZ,0.1696%
Commerce Bancshares Inc,CBSH,0.1684%
New Residential Investment Corp,NRZ,0.1674%
Athene Holding Ltd,ATH,0.1652%
People's United Financial Inc,PBCT,0.1648%
East West Bancorp Inc,EWBC,0.1621%
Prosperity Bancshares Inc,PB,0.1588%
First American Financial Corp,FAF,0.1581%
Old Republic International Corp,ORI,0.1547%
TCF Financial Corp,TCF,0.1539%
Unum Group,UNM,0.1424%
Jefferies Financial Group Inc,JEF,0.1373%
Hanover Insurance Group Inc,THG,0.1302%
Synovus Financial Corp,SNV,0.1302%
Western Alliance Bancorp,WAL,0.1292%
Eaton Vance Corp,EV,0.1288%
Cullen/Frost Bankers Inc,CFR,0.1274%
Popular Inc,BPOP,0.1256%
Primerica Inc,PRI,0.1215%
First Horizon National Corp,FHN,0.12%
MGIC Investment Corp,MTG,0.118%
Radian Group Inc,RDN,0.1166%
Blackstone Mortgage Trust Inc,BXMT,0.115%
Essent Group Ltd,ESNT,0.1138%
SLM Corp,SLM,0.1122%
Brighthouse Financial Inc,BHF,0.1096%
Stifel Financial Corp,SF,0.1089%
Kemper Corp,KMPR,0.1074%
Assured Guaranty Ltd,AGO,0.107%
CIT Group Inc,CIT,0.1032%
White Mountains Insurance Group Ltd,WTM,0.1028%
Pinnacle Financial Partners Inc,PNFP,0.1026%
Webster Financial Corp,WBS,0.1009%
Credit Acceptance Corp,CACC,0.1%
Valley National Bancorp,VLY,0.0991%
PacWest Bancorp,PACW,0.0988%
First Financial Bankshares Inc,FFIN,0.0986%
Sterling Bancorp,STL,0.0975%
Two Harbors Investment Corp,TWO,0.097%
Janus Henderson Group PLC,0RPW,0.0964%
Erie Indemnity Co,ERIE,0.0951%
Affiliated Managers Group Inc,AMG,0.0949%
Selective Insurance Group Inc,SIGI,0.0948%
Chimera Investment Corp,CIM,0.0935%
First Hawaiian Inc,FHB,0.0917%
IBERIABANK Corp,IBKC,0.0904%
F.N.B. Corp,FNB,0.0902%
Umpqua Holdings Corp,UMPQ,0.0894%
Interactive Brokers Group Inc,IBKR,0.088%
Glacier Bancorp Inc,GBCI,0.0879%
Rli Corp,RLI,0.0863%
Wintrust Financial Corp,WTFC,0.0862%
Hancock Whitney Corp,HWC,0.0852%
Bank of Hawaii Corp,BOH,0.0846%
FirstCash Inc,FCFS,0.0836%
United Bankshares Inc,UBSI,0.0829%
MFA Financial Inc,MFA,0.0828%
OneMain Holdings Inc,OMF,0.0822%
Federated Investors Inc,FHI,0.0812%
Legg Mason Inc,LM,0.0799%
Associated Banc-Corp,ASB,0.0762%
Evercore Inc,EVR,0.0755%
BankUnited Inc,BKU,0.0741%
UMB Financial Corp,UMBF,0.073%
Ares Management Corp,ARES,0.0723%
Home BancShares Inc,HOMB,0.0723%
First Citizens BancShares Inc (Delaware),FCNCA,0.0706%
Morningstar Inc,MORN,0.0704%
BancorpSouth Bank,BXS,0.0684%
CNO Financial Group Inc,CNO,0.068%
Navient Corp,NAVI,0.0677%
Tradeweb Markets Inc,TW,0.0664%
Investors Bancorp Inc,ISBC,0.0664%
Cathay General Bancorp,CATY,0.0659%
Texas Capital Bancshares Inc,TCBI,0.0657%
CenterState Bank Corp,CSFL,0.0656%
Fulton Financial Corp,FULT,0.0653%
South State Corp,SSB,0.0632%
Washington Federal Inc,WAFD,0.0632%
Apollo Commercial Real Estate Finance Inc,ARI,0.0629%
Ameris Bancorp,ABCB,0.0626%
Atlantic Union Bankshares Corp,AUB,0.0609%
BOK Financial Corp,BOKF,0.0606%
Cannae Holdings Inc,CNNE,0.0572%
LendingTree Inc,TREE,0.0562%
eHealth Inc,EHTH,0.056%
CVB Financial Corp,CVBF,0.0556%
Simmons First National Corp,SFNC,0.0544%
Argo Group International Holdings Ltd,ARGO,0.0542%
Kinsale Capital Group Inc,KNSL,0.0541%
Enstar Group Ltd,ESGR,0.0538%
NMI Holdings Inc,NMIH,0.0529%
Houlihan Lokey Inc,HLI,0.0529%
International Bancshares Corp,IBOC,0.0526%
WesBanco Inc,WSBC,0.0524%
Walker & Dunlop Inc,WD,0.0514%
WSFS Financial Corp,WSFS,0.0503%
First Merchants Corp,FRME,0.0483%
PennyMac Mortgage Investment Trust,PMT,0.0475%
New York Mortgage Trust Inc,NYMT,0.0474%
Towne Bank,TOWN,0.0468%
FGL Holdings Inc,FG,0.0468%
Trustmark Corp,TRMK,0.0461%
Moelis & Co,MC,0.0455%
Artisan Partners Asset Management Inc,APAM,0.0453%
Redwood Trust Inc,RWT,0.045%
