FREL: Fidelity MSCI Real Estate Index ETF
Inception Date: 2015-02-02
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1074705
Shares Outstanding: 37500000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Real Estate Index
ETFdb.com Category: Real Estate
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FREL


Holding,Symbol,Weighting
American Tower Corp,AMT,8.0647%
Prologis Inc,PLD,5.2371%
Crown Castle International Corp,CCI,4.7782%
Equinix Inc,EQIX,3.9414%
Simon Property Group Inc,SPG,3.3137%
Public Storage,PSA,2.6935%
Welltower Inc,WELL,2.6006%
Equity Residential,EQR,2.3849%
AvalonBay Communities Inc,AVB,2.3298%
SBA Communications Corp,SBAC,2.2264%
Digital Realty Trust Inc,DLR,1.9571%
Realty Income Corp,O,1.9295%
Boston Properties Inc,BXP,1.6867%
Ventas Inc,VTR,1.6735%
Weyerhaeuser Co,WY,1.625%
Essex Property Trust Inc,ESS,1.5851%
CBRE Group Inc,CBRE,1.5628%
Alexandria Real Estate Equities Inc,ARE,1.453%
Healthpeak Properties Inc,PEAK,1.3611%
Invitation Homes Inc,INVH,1.2936%
Mid-America Apartment Communities Inc,MAA,1.2244%
Sun Communities Inc,SUI,1.1243%
WP Carey Inc,WPC,1.1032%
UDR Inc,UDR,1.0894%
Extra Space Storage Inc,EXR,1.0791%
Duke Realty Corp,DRE,1.0093%
Equity LifeStyle Properties Inc,ELS,0.9631%
Host Hotels & Resorts Inc,HST,0.9297%
Medical Properties Trust Inc,MPW,0.9052%
Vornado Realty Trust,VNO,0.8676%
Camden Property Trust,CPT,0.8367%
Regency Centers Corp,REG,0.8078%
VEREIT Inc,VER,0.7889%
Gaming and Leisure Properties Inc,GLPI,0.7425%
VICI Properties Inc,VICI,0.7405%
Federal Realty Investment Trust,FRT,0.7342%
Omega Healthcare Investors Inc,OHI,0.7084%
National Retail Properties Inc,NNN,0.7077%
Iron Mountain Inc,IRM,0.6968%
Jones Lang LaSalle Inc,JLL,0.6765%
STORE Capital Corp,STOR,0.6659%
Kilroy Realty Corp,KRC,0.6558%
Cash Component,CASH,0.6448%
Kimco Realty Corp,KIM,0.6326%
Lamar Advertising Co,LAMR,0.6173%
Apartment Investment and Management Co,AIV,0.6047%
SL Green Realty Corp,SLG,0.5923%
American Homes 4 Rent,AMH,0.5734%
Douglas Emmett Inc,DEI,0.5448%
CyrusOne Inc,CONE,0.5363%
Healthcare Trust Of America Inc,HTA,0.5011%
Americold Realty Trust,COLD,0.4885%
American Campus Communities Inc,ACC,0.4833%
Brixmor Property Group Inc,BRX,0.4746%
CubeSmart,CUBE,0.4653%
Cousins Properties Inc,CUZ,0.4567%
Hudson Pacific Properties Inc,HPP,0.4365%
Park Hotels & Resorts Inc,PK,0.4277%
EPR Properties,EPR,0.4222%
First Industrial Realty Trust Inc,FR,0.4198%
Rexford Industrial Realty Inc,REXR,0.4168%
Highwoods Properties Inc,HIW,0.4102%
