FSTA: Fidelity MSCI Consumer Staples Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	621106
Shares Outstanding: 16200000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Consumer Staples Index
ETFdb.com Category: Consumer Staples Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FSTA


Holding,Symbol,Weighting
Procter & Gamble Co,PG,14.9034%
Coca-Cola Co,KO,11.3564%
PepsiCo Inc,PEP,9.6004%
Walmart Inc,WMT,7.8484%
Costco Wholesale Corp,COST,6.5115%
Philip Morris International Inc,PM,6.4276%
Altria Group Inc,MO,4.0771%
Mondelez International Inc,MDLZ,3.9964%
Colgate-Palmolive Co,CL,2.927%
Kimberly-Clark Corp,KMB,2.357%
Estee Lauder Companies Inc,EL,2.1801%
Walgreens Boots Alliance Inc,WBA,1.9302%
Sysco Corp,SYY,1.7796%
Constellation Brands Inc,STZ,1.5781%
General Mills Inc,GIS,1.4782%
Monster Beverage Corp,MNST,1.3299%
Archer Daniels Midland Co,ADM,1.2018%
Tyson Foods Inc,TSN,1.1191%
Hershey Co,HSY,1.0989%
Kroger Co,KR,1.0545%
Brown-Forman Corp,BF.B,1.0013%
Clorox Co,CLX,0.9885%
McCormick & Company Inc,MKC,0.9445%
Kraft Heinz Co,KHC,0.9354%
Church & Dwight Co Inc,CHD,0.8704%
Kellogg Co,K,0.7733%
Conagra Brands Inc,CAG,0.735%
Hormel Foods Corp,HRL,0.6534%
Lamb Weston Holdings Inc,LW,0.6504%
J M Smucker Co,SJM,0.5815%
Molson Coors Beverage Co,TAP,0.5184%
Cash Component,CASH,0.4941%
US Foods Holding Corp,USFD,0.4184%
Campbell Soup Co,CPB,0.3825%
Bunge Ltd,BG,0.3611%
Post Holdings Inc,POST,0.3353%
Caseys General Stores Inc,CASY,0.2832%
Ingredion Inc,INGR,0.2815%
Performance Food Group Co,PFGC,0.2628%
Darling Ingredients Inc,DAR,0.2192%
Herbalife Nutrition Ltd,HLF,0.2047%
Flowers Foods Inc,FLO,0.2001%
Energizer Holdings Inc,ENR,0.1629%
Boston Beer Company Inc,SAM,0.1517%
Lancaster Colony Corp,LANC,0.1375%
Sanderson Farms Inc,SAFM,0.1279%
Spectrum Brands Holdings Inc,SPB,0.1239%
J & J Snack Foods Corp,JJSF,0.1237%
TreeHouse Foods Inc,THS,0.1222%
Hain Celestial Group Inc,HAIN,0.1207%
BJ's Wholesale Club Holdings Inc,BJ,0.1159%
WD-40 Co,WDFC,0.1157%
Freshpet Inc,FRPT,0.1002%
Simply Good Foods Co,SMPL,0.0941%
NU Skin Enterprises Inc,NUS,0.0919%
Beyond Meat Inc,BYND,0.085%
Sprouts Farmers Market Inc,SFM,0.0833%
Edgewell Personal Care Co,EPC,0.0779%
Grocery Outlet Holding Corp,GO,0.0775%
Pilgrims Pride Corp,PPC,0.0772%
Vector Group Ltd,VGR,0.0754%
Hostess Brands Inc,TWNK,0.0747%
Coca-Cola Consolidated Inc,COKE,0.0729%
PriceSmart Inc,PSMT,0.068%
Universal Corp,UVV,0.0613%
Calavo Growers Inc,CVGW,0.0587%
Medifast Inc,MED,0.0577%
Inter Parfums Inc,IPAR,0.0577%
Central Garden & Pet Co,CENTA,0.0561%
Cal-Maine Foods Inc,CALM,0.0537%
USANA Health Sciences Inc,USNA,0.0505%
Fresh Del Monte Produce Inc,FDP,0.0482%
Chefs' Warehouse Inc,CHEF,0.0468%
B&G Foods Inc,BGS,0.0444%
Andersons Inc,ANDE,0.0352%
John B Sanfilippo & Son Inc,JBSS,0.0322%
Weis Markets Inc,WMK,0.0299%
Tootsie Roll Industries Inc,TR,0.0276%
National Beverage Corp,FIZZ,0.0246%
Primo Water Corp,PRMW,0.0239%
Ingles Markets Inc,IMKTA,0.0232%
SpartanNash Co,SPTN,0.0215%
MGP Ingredients Inc,MGPI,0.0214%
e.l.f. Beauty Inc,ELF,0.0198%
United Natural Foods Inc,UNFI,0.0191%
Central Garden & Pet Co,CENT,0.0155%
Landec Corp,LNDC,0.0145%
Village Super Market Inc,VLGEA,0.0095%
Turning Point Brands Inc,TPB,0.009%
Farmer Bros Co,FARM,0.0071%
