FUTY: Fidelity MSCI Utilities Index ETF
Inception Date: 2013-10-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1025737
Shares Outstanding: 22950000
Expense Ratio: 0.084%
Tracks This Index: MSCI USA IMI Utilities Index
ETFdb.com Category: Utilities Equities
Issuer: Fidelity
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FUTY


Holding,Symbol,Weighting
Nextera Energy Inc,NEE,11.977%
Southern Co,SO,6.6308%
Duke Energy Corp,DUK,6.505%
Dominion Energy Inc,D,6.4669%
American Electric Power Company Inc,AEP,4.6436%
Exelon Corp,EXC,4.343%
Sempra Energy,SRE,4.038%
Xcel Energy Inc,XEL,3.2837%
WEC Energy Group Inc,WEC,2.9192%
Consolidated Edison Inc,ED,2.8606%
Eversource Energy,ES,2.7198%
Public Service Enterprise Group Inc,PEG,2.7059%
FirstEnergy Corp,FE,2.5653%
Edison International,EIX,2.5566%
Entergy Corp,ETR,2.4325%
PPL Corp,PPL,2.4129%
DTE Energy Co,DTE,2.272%
American Water Works Company Inc,AWK,2.2501%
Ameren Corp,AEE,1.9079%
CMS Energy Corp,CMS,1.7666%
Evergy Inc,EVRG,1.5476%
Atmos Energy Corp,ATO,1.2892%
Alliant Energy Corp,LNT,1.2842%
AES Corp,AES,1.2623%
CenterPoint Energy Inc,CNP,1.2447%
Aqua America Inc,WTRG,1.0622%
NiSource Inc,NI,1.0321%
Pinnacle West Capital Corp,PNW,1.0224%
NRG Energy Inc,NRG,0.8882%
OGE Energy Corp,OGE,0.8533%
UGI Corp,UGI,0.8198%
Vistra Energy Corp,VST,0.7624%
MDU Resources Group Inc,MDU,0.5727%
Idacorp Inc,IDA,0.5102%
Portland General Electric Co,POR,0.5021%
Hawaiian Electric Industries Inc,HE,0.4868%
Black Hills Corp,BKH,0.4769%
ONE Gas Inc,OGS,0.4609%
Spire Inc,SR,0.4048%
PNM Resources Inc,PNM,0.4023%
ALLETE Inc,ALE,0.3928%
Southwest Gas Holdings Inc,SWX,0.3903%
NorthWestern Corp,NWE,0.3609%
New Jersey Resources Corp,NJR,0.3555%
Avista Corp,AVA,0.3137%
National Fuel Gas Co,NFG,0.3072%
American States Water Co,AWR,0.307%
Nextera Energy Partners LP,NEP,0.3002%
Ormat Technologies Inc,ORA,0.2988%
South Jersey Industries Inc,SJI,0.2699%
El Paso Electric Co,EE,0.2595%
MGE Energy Inc,MGEE,0.2589%
California Water Service Group,CWT,0.2429%
Cash Component,CASH,0.2201%
Pattern Energy Group Inc,PEGI,0.2197%
Northwest Natural Holding Co,NWN,0.2077%
Otter Tail Corp,OTTR,0.1786%
SJW Group,SJW,0.1622%
Chesapeake Utilities Corp,CPK,0.1489%
Clearway Energy Inc,CWEN,0.1467%
TerraForm Power Inc,TERP,0.1119%
Middlesex Water Co,MSEX,0.1037%
Unitil Corp,UTL,0.0869%
Clearway Energy Inc,CWEN.A,0.0672%
York Water Co,YORW,0.0583%
AquaVenture Holdings Ltd,WAAS,0.0483%
Star Group LP,SGU,0.0396%
