FXD: First Trust Consumer Discretionary AlphaDEX Fund
Inception Date: 2007-05-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	293417
Shares Outstanding: 6600000
Expense Ratio: 0.64%
Tracks This Index: StrataQuant Consumer Discretionary Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FXD


Holding,Symbol,Weighting
Tesla Inc,TSLA,2.6249%
Lennar Corp,LEN,1.828%
Toll Brothers Inc,TOL,1.7929%
Lululemon Athletica Inc,LULU,1.5556%
Tempur Sealy International Inc,TPX,1.5347%
Foot Locker Inc,FL,1.5333%
Gap Inc,GPS,1.4912%
Best Buy Co Inc,BBY,1.4641%
Carvana Co,CVNA,1.4271%
Macy's Inc,M,1.4246%
MGM Resorts International,MGM,1.3924%
Urban Outfitters Inc,URBN,1.3788%
Mohawk Industries Inc,MHK,1.377%
Roku Inc,ROKU,1.3694%
LKQ Corp,LKQ,1.3629%
General Motors Co,GM,1.3571%
Skechers USA Inc,SKX,1.3508%
PulteGroup Inc,PHM,1.3459%
Target Corp,TGT,1.3314%
Lear Corp,LEA,1.3087%
D.R. Horton Inc,DHI,1.3025%
Trade Desk Inc,TTD,1.2713%
Kohls Corp,KSS,1.2689%
Charter Communications Inc,CHTR,1.2286%
Carnival Corp,CCL,1.2264%
Fortune Brands Home & Security Inc,FBHS,1.2254%
ViacomCBS Inc,VIAC,1.2211%
Nexstar Media Group Inc,NXST,1.182%
DISH Network Corp,DISH,1.1748%
Tapestry Inc,TPR,1.174%
Whirlpool Corp,WHR,1.1478%
BorgWarner Inc,BWA,1.1432%
Burlington Stores Inc,BURL,1.1373%
Penske Automotive Group Inc,PAG,1.1337%
Hilton Worldwide Holdings Inc,HLT,1.1319%
Floor & Decor Holdings Inc,FND,1.107%
Williams-Sonoma Inc,WSM,1.0965%
Wyndham Hotels & Resorts Inc,WH,1.0613%
Discovery Inc,DISCA,1.0306%
Norwegian Cruise Line Holdings Ltd,NCLH,1.0239%
AutoNation Inc,AN,1.0109%
Polaris Inc,PII,1.0043%
Cable ONE Inc,CABO,0.9944%
Extended Stay America Inc,STAY,0.9876%
Goodyear Tire & Rubber Co,GT,0.9775%
Graham Holdings Co,GHC,0.9632%
Costco Wholesale Corp,COST,0.9453%
Royal Caribbean Cruises Ltd,RCL,0.9434%
PVH Corp,PVH,0.9295%
Mattel Inc,MAT,0.921%
Gentex Corp,GNTX,0.9058%
Live Nation Entertainment Inc,LYV,0.8963%
TJX Companies Inc,TJX,0.8919%
KAR Auction Services Inc,KAR,0.891%
Fox Corp,FOXA,0.8838%
Choice Hotels International Inc,CHH,0.8824%
Comcast Corp,CMCSA,0.8816%
Sirius XM Holdings Inc,SIRI,0.8812%
Wendys Co,WEN,0.8755%
Hyatt Hotels Corp,H,0.871%
Carter's Inc,CRI,0.8626%
HanesBrands Inc,HBI,0.8471%
Amerco,UHAL,0.8132%
Aptiv PLC,APTV,0.8114%
John Wiley & Sons Inc,JW.A,0.8%
Dick's Sporting Goods Inc,DKS,0.7917%
Sinclair Broadcast Group Inc,SBGI,0.7779%
Ford Motor Co,F,0.7727%
Grand Canyon Education Inc,LOPE,0.7471%
Capri Holdings Ltd,CPRI,0.708%
Planet Fitness Inc,PLNT,0.6241%
Thor Industries Inc,THO,0.6176%
Pool Corp,POOL,0.6023%
Spotify Technology SA,SPOT,0.584%
Chipotle Mexican Grill Inc,CMG,0.5832%
Ralph Lauren Corp,RL,0.5803%
Lowe's Companies Inc,LOW,0.5738%
Estee Lauder Companies Inc,EL,0.5734%
Ross Stores Inc,ROST,0.5705%
Dollar General Corp,DG,0.5647%
Nike Inc,NKE,0.5547%
Las Vegas Sands Corp,LVS,0.5469%
H & R Block Inc,HRB,0.538%
Marriott International Inc,MAR,0.5379%
International Game Technology PLC,IGT,0.5335%
NVR Inc,NVR,0.5293%
Cinemark Holdings Inc,CNK,0.5272%
Nordstrom Inc,JWN,0.5265%
Autozone Inc,AZO,0.524%
Wynn Resorts Ltd,WYNN,0.5195%
Harley-Davidson Inc,HOG,0.515%
Hilton Grand Vacations Inc,HGV,0.5137%
O'Reilly Automotive Inc,ORLY,0.5058%
VF Corp,VFC,0.4702%
Netflix Inc,NFLX,0.33%
New York Times Co,NYT,0.3299%
Carmax Inc,KMX,0.3119%
Henry Schein Inc,HSIC,0.2959%
Altice USA Inc,ATUS,0.287%
News Corp,NWSA,0.2841%
Interpublic Group of Companies Inc,IPG,0.2817%
WABCO Holdings Inc,WBC,0.2813%
Qurate Retail Inc,QRTEA,0.2809%
Amazon.com Inc,AMZN,0.2806%
Walmart Inc,WMT,0.2776%
Garmin Ltd,GRMN,0.277%
Walt Disney Co,DIS,0.2728%
TripAdvisor Inc,TRIP,0.2689%
Aramark,ARMK,0.2659%
Omnicom Group Inc,OMC,0.2658%
Domino's Pizza Inc,DPZ,0.2603%
Columbia Sportswear Co,COLM,0.2563%
Genuine Parts Co,GPC,0.2532%
Yum China Holdings Inc,YUMC,0.2517%
Leggett & Platt Inc,LEG,0.2515%
Five Below Inc,FIVE,0.2513%
Six Flags Entertainment Corp,SIX,0.2385%
Advance Auto Parts Inc,AAP,0.2332%
Cash Component,CASH,0.1879%
