FXG: First Trust Consumer Staples AlphaDEX Fund
Inception Date: 2007-05-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	320371
Shares Outstanding: 6600000
Expense Ratio: 0.64%
Tracks This Index: StrataQuant Consumer Staples Index
ETFdb.com Category: Consumer Staples Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FXG


Holding,Symbol,Weighting
Campbell Soup Co,CPB,4.8656%
Ingredion Inc,INGR,4.7581%
Kroger Co,KR,4.7439%
Sysco Corp,SYY,4.4495%
Walgreens Boots Alliance Inc,WBA,4.442%
Tyson Foods Inc,TSN,4.3401%
Lamb Weston Holdings Inc,LW,4.3195%
Molson Coors Beverage Co,TAP,4.2185%
J M Smucker Co,SJM,4.0891%
Pilgrims Pride Corp,PPC,3.9721%
Archer Daniels Midland Co,ADM,3.8796%
CVS Health Corp,CVS,3.7916%
NU Skin Enterprises Inc,NUS,3.383%
Mondelez International Inc,MDLZ,3.1419%
PepsiCo Inc,PEP,3.1385%
Caseys General Stores Inc,CASY,3.0499%
Sprouts Farmers Market Inc,SFM,3.0363%
Brown-Forman Corp,BF.B,3.0047%
General Mills Inc,GIS,2.859%
US Foods Holding Corp,USFD,2.8541%
Kellogg Co,K,2.7391%
Corteva Inc,CTVA,2.0654%
Hormel Foods Corp,HRL,2.0546%
Philip Morris International Inc,PM,2.0213%
Flowers Foods Inc,FLO,2.0177%
Procter & Gamble Co,PG,1.9844%
Conagra Brands Inc,CAG,1.8364%
Herbalife Nutrition Ltd,HLF,1.6873%
Colgate-Palmolive Co,CL,0.9492%
Monster Beverage Corp,MNST,0.934%
Clorox Co,CLX,0.9315%
Hershey Co,HSY,0.913%
Kimberly-Clark Corp,KMB,0.907%
Keurig Dr Pepper Inc,KDP,0.8499%
McCormick & Company Inc,MKC,0.8266%
Post Holdings Inc,POST,0.8028%
Cash Component,CASH,0.1429%
