FXH: First Trust Health Care AlphaDEX Fund
Inception Date: 2007-05-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1143798
Shares Outstanding: 13300000
Expense Ratio: 0.62%
Tracks This Index: StrataQuant Health Care Index
ETFdb.com Category: Health & Biotech Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FXH


Holding,Symbol,Weighting
Centene Corp,CNC,3.6074%
Biogen Inc,BIIB,2.4969%
DexCom Inc,DXCM,2.4022%
Alnylam Pharmaceuticals Inc,ALNY,2.3841%
Exelixis Inc,EXEL,2.3624%
Seattle Genetics Inc,SGEN,2.2499%
Cigna Corp,CI,2.2349%
Envista Holdings Corp,NVST,2.1531%
UnitedHealth Group Inc,UNH,2.1523%
Horizon Therapeutics PLC,HZNP,2.136%
Neurocrine Biosciences Inc,NBIX,2.1158%
Humana Inc,HUM,2.1113%
Jazz Pharmaceuticals PLC,JAZZ,2.0883%
Insulet Corp,PODD,2.0468%
Alexion Pharmaceuticals Inc,ALXN,2.0346%
Perrigo Company PLC,PRGO,2.0299%
Mylan NV,MYL,1.9831%
Resmed Inc,RMD,1.9379%
Chemed Corp,CHE,1.9281%
Vertex Pharmaceuticals Inc,VRTX,1.9204%
Bristol-Myers Squibb Co,BMY,1.8072%
Charles River Laboratories International Inc,CRL,1.7884%
Edwards Lifesciences Corp,EW,1.7457%
HCA Healthcare Inc,HCA,1.7274%
Bruker Corp,BRKR,1.7092%
Pfizer Inc,PFE,1.6998%
Universal Health Services Inc,UHS,1.6864%
Molina Healthcare Inc,MOH,1.6521%
Anthem Inc,ANTM,1.601%
Encompass Health Corp,EHC,1.4141%
Laboratory Corporation of America Holdings,LH,1.3272%
Penumbra Inc,PEN,1.3206%
West Pharmaceutical Services Inc,WST,1.3023%
Zoetis Inc,ZTS,1.2921%
Quest Diagnostics Inc,DGX,1.2855%
Regeneron Pharmaceuticals Inc,REGN,1.2522%
Thermo Fisher Scientific Inc,TMO,1.2365%
Guardant Health Inc,GH,1.2356%
Teleflex Inc,TFX,1.2299%
Varian Medical Systems Inc,VAR,1.2214%
PRA Health Sciences Inc,PRAH,1.1792%
Amgen Inc,AMGN,1.1733%
Align Technology Inc,ALGN,1.1429%
Bio-Techne Corp,TECH,1.1269%
Incyte Corp,INCY,1.0448%
McKesson Corp,MCK,0.9888%
Eli Lilly and Co,LLY,0.9738%
Masimo Corp,MASI,0.9705%
Baxter International Inc,BAX,0.9549%
DaVita Inc,DVA,0.9496%
AmerisourceBergen Corp,ABC,0.9472%
Danaher Corp,DHR,0.923%
Abbvie Inc,ABBV,0.9122%
Bio Rad Laboratories Inc,BIO,0.8784%
Steris plc,STE,0.8781%
Intuitive Surgical Inc,ISRG,0.8624%
Agilent Technologies Inc,A,0.853%
PerkinElmer Inc,PKI,0.8398%
Hill-Rom Holdings Inc,HRC,0.8355%
Merck & Co Inc,MRK,0.8191%
Moderna Inc,MRNA,0.4875%
ICU Medical Inc,ICUI,0.4607%
Cooper Companies Inc,COO,0.4454%
Cerner Corp,CERN,0.4405%
Gilead Sciences Inc,GILD,0.4356%
Medtronic PLC,MDT,0.4315%
Johnson & Johnson,JNJ,0.4274%
Exact Sciences Corp,EXAS,0.4232%
Stryker Corp,SYK,0.4196%
Hologic Inc,HOLX,0.4179%
IQVIA Holdings Inc,IQV,0.4162%
Agios Pharmaceuticals Inc,AGIO,0.4136%
Boston Scientific Corp,BSX,0.3826%
Sarepta Therapeutics Inc,SRPT,0.3774%
Becton Dickinson and Co,BDX,0.3732%
Premier Inc,PINC,0.3419%
Cash Component,CASH,0.1423%
