FXL: First Trust Technology AlphaDEX Fund
Inception Date: 2007-05-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2477116
Shares Outstanding: 33005000
Expense Ratio: 0.61%
Tracks This Index: StrataQuant Technology Index
ETFdb.com Category: Technology Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FXL


Holding,Symbol,Weighting
RingCentral Inc,RNG,1.9737%
DocuSign Inc,DOCU,1.7994%
ANSYS Inc,ANSS,1.7761%
Paycom Software Inc,PAYC,1.7756%
Intel Corp,INTC,1.7698%
Tyler Technologies Inc,TYL,1.7661%
Epam Systems Inc,EPAM,1.7635%
Fortinet Inc,FTNT,1.7601%
Splunk Inc,SPLK,1.7413%
Micron Technology Inc,MU,1.6961%
Teradyne Inc,TER,1.6341%
Microchip Technology Inc,MCHP,1.6274%
Ceridian HCM Holding Inc,CDAY,1.5815%
Match Group Inc,MTCH,1.5187%
NCR Corp,NCR,1.5146%
Jabil Inc,JBL,1.5045%
Microsoft Corp,MSFT,1.4946%
Hewlett Packard Enterprise Co,HPE,1.491%
CDW Corp,CDW,1.4883%
KLA Corp,KLAC,1.487%
Autodesk Inc,ADSK,1.4508%
Cognizant Technology Solutions Corp,CTSH,1.4409%
Adobe Inc,ADBE,1.4243%
Entegris Inc,ENTG,1.4238%
Apple Inc,AAPL,1.3986%
Advanced Micro Devices Inc,AMD,1.3914%
Lam Research Corp,LRCX,1.3868%
Coupa Software Inc,COUP,1.3841%
SYNNEX Corp,SNX,1.3794%
IHS Markit Ltd,INFO,1.3694%
Facebook Inc,FB,1.3296%
SS&C Technologies Holdings Inc,SSNC,1.3051%
Electronic Arts Inc,EA,1.3023%
Monolithic Power Systems Inc,MPWR,1.3014%
Applied Materials Inc,AMAT,1.2974%
IAC/InterActiveCorp,IAC,1.2378%
Ubiquiti Inc,UI,1.2322%
Corning Inc,GLW,1.2207%
Skyworks Solutions Inc,SWKS,1.2084%
Avalara Inc,AVLR,1.1801%
ServiceNow Inc,NOW,1.1633%
L3Harris Technologies Inc,LHX,1.1209%
Okta Inc,OKTA,1.1076%
Universal Display Corp,OLED,1.1049%
Anaplan Inc,PLAN,1.0992%
Pegasystems Inc,PEGA,1.0713%
Alphabet Inc,GOOG,1.0643%
Zynga Inc,ZNGA,1.0459%
Smartsheet Inc,SMAR,1.0335%
NVIDIA Corp,NVDA,1.0325%
Palo Alto Networks Inc,PANW,1.0219%
HP Inc,HPQ,1.018%
Dolby Laboratories Inc,DLB,0.9905%
Amdocs Ltd,DOX,0.9833%
Cypress Semiconductor Corp,CY,0.9661%
Juniper Networks Inc,JNPR,0.9288%
Amphenol Corp,APH,0.9199%
F5 Networks Inc,FFIV,0.8529%
Avnet Inc,AVT,0.8157%
ON Semiconductor Corp,ON,0.8076%
MongoDB Inc,MDB,0.8003%
International Business Machines Corp,IBM,0.7358%
Salesforce.Com Inc,CRM,0.7324%
Leidos Holdings Inc,LDOS,0.7218%
Akamai Technologies Inc,AKAM,0.7146%
Synopsys Inc,SNPS,0.7112%
CACI International Inc,CACI,0.6958%
Pure Storage Inc,PSTG,0.6895%
Activision Blizzard Inc,ATVI,0.664%
Maxim Integrated Products Inc,MXIM,0.6532%
Ciena Corp,CIEN,0.6408%
LogMeIn Inc,LOGM,0.6407%
Broadcom Inc,AVGO,0.6384%
Qualcomm Inc,QCOM,0.636%
Sabre Corp,SABR,0.6219%
Manhattan Associates Inc,MANH,0.617%
Cognex Corp,CGNX,0.6015%
IPG Photonics Corp,IPGP,0.5908%
FireEye Inc,FEYE,0.5855%
DXC Technology Co,DXC,0.5585%
Alteryx Inc,AYX,0.4219%
Nuance Communications Inc,NUAN,0.3744%
Zendesk Inc,ZEN,0.3475%
Intuit Inc,INTU,0.3455%
HubSpot Inc,HUBS,0.3443%
Nutanix Inc,NTNX,0.3424%
Motorola Solutions Inc,MSI,0.3395%
Proofpoint Inc,PFPT,0.3376%
Citrix Systems Inc,CTXS,0.3323%
Aspen Technology Inc,AZPN,0.3268%
Black Knight Inc,BKI,0.326%
Cadence Design Systems Inc,CDNS,0.3234%
Dell Technologies Inc,DELL,0.3067%
MKS Instruments Inc,MKSI,0.3057%
Gartner Inc,IT,0.3009%
CDK Global Inc,CDK,0.2999%
Analog Devices Inc,ADI,0.2872%
Take-Two Interactive Software Inc,TTWO,0.282%
Qorvo Inc,QRVO,0.2774%
ViaSat Inc,VSAT,0.2742%
EchoStar Corp,SATS,0.2731%
Cash Component,CASH,0.0058%
