FXU: First Trust Utilities AlphaDEX Fund
Inception Date: 2007-05-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1250779
Shares Outstanding: 41750000
Expense Ratio: 0.63%
Tracks This Index: StrataQuant Utilities Index
ETFdb.com Category: Utilities Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FXU


Holding,Symbol,Weighting
Exelon Corp,EXC,5.7392%
GCI Liberty Inc,GLIBA,5.6888%
Vistra Energy Corp,VST,5.2655%
Telephone and Data Systems Inc,TDS,5.1371%
AT&T Inc,T,4.764%
National Fuel Gas Co,NFG,4.6569%
Pinnacle West Capital Corp,PNW,4.0586%
T-Mobile US Inc,TMUS,4.0553%
Southern Co,SO,3.9942%
Duke Energy Corp,DUK,3.9267%
Avangrid Inc,AGR,3.8296%
PPL Corp,PPL,3.7367%
Sprint Corp,S,3.5222%
Evergy Inc,EVRG,3.0374%
NiSource Inc,NI,2.988%
OGE Energy Corp,OGE,2.8834%
Consolidated Edison Inc,ED,2.8615%
CenterPoint Energy Inc,CNP,2.7345%
Public Service Enterprise Group Inc,PEG,2.7271%
Verizon Communications Inc,VZ,2.725%
Entergy Corp,ETR,2.0522%
Ameren Corp,AEE,2.0259%
Xcel Energy Inc,XEL,2.0136%
American Electric Power Company Inc,AEP,1.9957%
Atmos Energy Corp,ATO,1.9546%
Sempra Energy,SRE,1.948%
DTE Energy Co,DTE,1.9177%
WEC Energy Group Inc,WEC,1.0055%
Cash Component,CASH,1.0028%
Alliant Energy Corp,LNT,0.993%
Eversource Energy,ES,0.9917%
FirstEnergy Corp,FE,0.9815%
Idacorp Inc,IDA,0.9586%
Hawaiian Electric Industries Inc,HE,0.9545%
UGI Corp,UGI,0.8728%
