GDXJ: VanEck Vectors Junior Gold Miners ETF
Inception Date: 2009-11-10
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	4693156
Shares Outstanding: 116637000
Expense Ratio: 0.54%
Tracks This Index: MVIS Global Junior Gold Miners Index
ETFdb.com Category: Materials
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GDXJ


Holding,Symbol,Weighting
Northern Star Resources Ltd,NST,6.7763%
Kinross Gold Corp,KGC,6.023%
Sibanye Gold Ltd,SBGL,5.8787%
Pan American Silver Corp,PAAS,5.4893%
Gold Fields Ltd,GFI,4.8258%
Yamana Gold Inc,AUY,4.2884%
Evolution Mining Ltd,EVN,4.1143%
B2Gold Corp,BTG,3.7212%
Saracen Mineral Holdings Ltd,SAR,3.0521%
Compania de Minas Buenaventura SAA,BVN,2.9964%
SSR Mining Inc,SSRM,2.5537%
NovaGold Resources Inc,NG,2.2909%
Alamos Gold Inc,AGI,2.0426%
First Majestic Silver Corp,AG,2.0187%
Harmony Gold Mining Company Ltd,HMY,1.8556%
Industrias Penoles SAB de CV,PE&OLES*,1.701%
Centamin PLC,CEY,1.629%
Centerra Gold Inc,CG,1.6248%
Pretium Resources Inc,PVG,1.6247%
Regis Resources Ltd,RRL,1.6036%
Hecla Mining Co,HL,1.5205%
Iamgold Corp,IAG,1.4447%
St Barbara Ltd,SBM,1.401%
Coeur Mining Inc,CDE,1.3623%
Alacer Gold Corp,ASR,1.3456%
Sandstorm Gold Ltd,SAND,1.3048%
Endeavour Mining Corp,EDV,1.2893%
Eldorado Gold Corp,EGO,1.2608%
Osisko Gold Royalties Ltd,OR,1.1523%
Wesdome Gold Mines Ltd,WDO,1.0759%
OceanaGold Corp,OGC,1.0638%
Perseus Mining Ltd,PRU,1.0022%
Silver Lake Resources Ltd,SLR,0.9876%
Gold Road Resources Ltd,GOR,0.9402%
Torex Gold Resources Inc,TXG,0.933%
Silvercorp Metals Inc,SVM,0.8465%
Zhaojin Mining Industry Co Ltd,1818,0.826%
Seabridge Gold Inc,SA,0.8144%
Highland Gold Mining Ltd,HGM,0.7907%
Koza Altin Isletmeleri AS,KOZAL,0.7895%
Continental Gold Inc,CNL,0.7551%
MAG Silver Corp,MAG,0.7518%
Semafo Inc,SMF,0.7014%
Hochschild Mining PLC,HOC,0.6912%
Dundee Precious Metals Inc,DPM,0.6735%
Fortuna Silver Mines Inc,FSM,0.6644%
Ramelius Resources Ltd,RMS,0.6606%
Resolute Mining Ltd,RSG,0.6497%
Westgold Resources Ltd,WGX,0.6004%
New Gold Inc,NGD,0.5429%
Osisko Mining Inc,OSK,0.5331%
Teranga Gold Corp,TGZ,0.527%
Novo Resources Corp,NVO,0.4128%
McEwen Mining Inc,MUX,0.4082%
Gold Resource Corp,GORO,0.3799%
Endeavour Silver Corp,EXK,0.3512%
Roxgold Inc,ROXG,0.2898%
Dacian Gold Ltd,DCN,0.2699%
China Gold International Resources Corp Ltd,CGG,0.2523%
Aurelia Metals Ltd,AMI,0.2451%
Golden Star Resources Ltd,GSS,0.2403%
Argonaut Gold Inc,AR,0.2376%
Great Panther Mining Ltd,GPL,0.2257%
Royal Nickel Corp,RNX,0.2221%
Premier Gold Mines Ltd,PG,0.221%
Gold Standard Ventures Corp,GSV,0.1544%
Hengxing Gold Holding Co Ltd,2303,0.0763%
Cash Component,CASH,0.0013%
