GII: SPDR S&P Global Infrastructure ETF
Inception Date: 2007-01-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	440995
Shares Outstanding: 7850000
Expense Ratio: 0.4%
Tracks This Index: Macquarie Global Infrastructure 100 Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GII


Holding,Symbol,Weighting
Nextera Energy Inc,NEE,5.3896%
Enbridge Inc,ENB,5.2739%
Transurban Group,TCL,5.028%
Aena SME SA,AENA,4.8095%
Atlantia SpA,ATL,4.1439%
TC Energy Corp,TRP,3.3246%
Southern Co,SO,2.9222%
Duke Energy Corp,DUK,2.8686%
Dominion Energy Inc,D,2.8505%
Enel SpA,ENEL,2.8235%
Iberdrola SA,IBE,2.7488%
Getlink SE,GET,2.6718%
Kinder Morgan Inc,KMI,2.6633%
Sydney Airport Holdings Pty Ltd,SYD,2.2464%
Aeroports de Paris SA,ADP,2.1875%
American Electric Power Company Inc,AEP,2.0444%
National Grid PLC,NG.,2.0222%
ONEOK Inc,OKE,2.0145%
Exelon Corp,EXC,1.9134%
Auckland International Airport Ltd,AIA,1.871%
Sempra Energy,SRE,1.7806%
Grupo Aeroportuario del Pacifico SAB de CV,PAC,1.7152%
Williams Companies Inc,WMB,1.6529%
Xcel Energy Inc,XEL,1.4718%
Grupo Aeroportuario del Sureste SAB de CV,ASR,1.4035%
Qube Holdings Ltd,QUB,1.3053%
Pembina Pipeline Corp,PPL,1.3012%
Atlas Arteria Group,ALX,1.296%
WEC Energy Group Inc,WEC,1.287%
Engie SA,ENGI,1.2822%
Consolidated Edison Inc,ED,1.2599%
Macquarie Infrastructure Corp,MIC,1.2122%
Eversource Energy,ES,1.1978%
Public Service Enterprise Group Inc,PEG,1.1928%
Flughafen Zuerich AG,FHZN,1.1679%
FirstEnergy Corp,FE,1.1303%
Edison International,EIX,1.128%
Signature Aviation PLC,SIG,1.0097%
DTE Energy Co,DTE,1.0001%
Fraport AG Frankfurt Airport Services Worldwide,FRA,0.9927%
American Water Works Company Inc,AWK,0.992%
Grupo Aeroportuario del Centro Norte SAB de CV,OMAB,0.9372%
Cheniere Energy Inc,LNG,0.8603%
Shenzhen International Holdings Ltd,152,0.702%
China Merchants Port Holdings Co Ltd,144,0.6972%
Enav SpA,ENAV,0.5906%
Jiangsu Expressway Co Ltd,177,0.5706%
Targa Resources Corp,TRGP,0.5621%
Beijing Capital International Airport Co Ltd,694,0.4957%
Zhejiang Expressway Co Ltd,576,0.4369%
Inter Pipeline Ltd,IPL,0.4315%
COSCO SHIPPING Ports Ltd,1199,0.4215%
ASTM SpA,AT,0.3848%
Keyera Corp,KEY,0.3699%
China Gas Holdings Ltd,384,0.3238%
Hutchison Port Holdings Trust,NS8U,0.3078%
Enel Americas SA,ENIA,0.2937%
Guangdong Investment Ltd,270,0.2868%
Ultrapar Participacoes SA,UGP,0.276%
Koninklijke Vopak NV,VPK,0.2299%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBS,0.2016%
Cash Component,CASH,0.1986%
Gibson Energy Inc,GEI,0.1911%
Hamburger Hafen und Logistik AG,HHFA,0.1818%
Westshore Terminals Investment Corp,WTE,0.1817%
SIA Engineering Company Ltd,S59,0.1607%
Gaztransport et Technigaz SA,GTT,0.1467%
Companhia Energetica de Minas Gerais CEMIG,CIG,0.1378%
Equitrans Midstream Corp,ETRN,0.1253%
Kunlun Energy Company Ltd,135,0.1155%
Beijing Enterprises Water Group Ltd,371,0.1049%
CGN Power Co Ltd,1816,0.1%
Centrais Eletricas Brasileiras SA,EBRYY,0.0712%
Corporacion America Airports SA,CAAP,0.0557%
