GNR: SPDR S&P Global Natural Resources ETF
Inception Date: 2010-09-13
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1062371
Shares Outstanding: 24600000
Expense Ratio: 0.4%
Tracks This Index: S&P Global Natural Resources Index
ETFdb.com Category: Commodity Producers Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GNR


Holding,Symbol,Weighting
BHP Group Ltd,BHP,5.1636%
Exxon Mobil Corp,XOM,4.0049%
Nutrien Ltd,NTR,3.9268%
Total SA,FP,3.2223%
Chevron Corp,CVX,3.1915%
BP PLC,BP.,3.1568%
UPM-Kymmene Oyj,UPM,2.9412%
Royal Dutch Shell PLC,RDSA,2.8353%
Vale SA,VALE,2.6014%
Anglo American PLC,AAL,2.4698%
Glencore PLC,GLEN,2.2409%
Barrick Gold Corp,GOLD,2.182%
Archer Daniels Midland Co,ADM,1.884%
Mondi PLC,MNDI,1.7823%
Corteva Inc,CTVA,1.7211%
Rio Tinto Ltd,RIO,1.6629%
Weyerhaeuser Co,WY,1.5768%
Smurfit Kappa Group PLC,SK3,1.5467%
Wilmar International Ltd,F34,1.5281%
Newmont Corporation,NEM,1.4971%
Franco-Nevada Corp,FNV,1.4396%
Stora Enso Oyj,STERV,1.4051%
GMK Noril'skiy Nikel' PAO,MNOD,1.3643%
International Paper Co,IP,1.2681%
Yara International ASA,YAR,1.2375%
Freeport-McMoRan Inc,FCX,1.169%
Suncor Energy Inc,SU,1.1625%
NK Lukoil PAO,LKOD,1.1509%
DS Smith PLC,SMDS,1.1175%
Gazprom PAO,OGZD,1.1034%
Svenska Cellulosa SCA AB,SCA.B,1.0586%
FMC Corp,FMC,1.0105%
Newcrest Mining Ltd,NCM,1.0082%
Nucor Corp,NUE,0.992%
ConocoPhillips,COP,0.9914%
Oji Holdings Corp,3861,0.981%
Newmont Corporation,NGT,0.9629%
Agnico Eagle Mines Ltd,AEM,0.9444%
Eni SpA,ENI,0.9254%
Nippon Steel Corp,5401,0.9151%
Canadian Natural Resources Ltd,CNQ,0.8835%
Posco,PKX,0.8804%
Wheaton Precious Metals Corp,WPM,0.8673%
Avery Dennison Corp,AVY,0.8436%
Fortescue Metals Group Ltd,FMG,0.8416%
Westrock Co,WRK,0.7847%
ArcelorMittal SA,MT,0.7771%
Schlumberger NV,SLB,0.7316%
Packaging Corp of America,PKG,0.712%
Amcor PLC,AMC,0.6834%
CF Industries Holdings Inc,CF,0.6781%
EOG Resources Inc,EOG,0.6596%
Phillips 66,PSX,0.6261%
Amcor PLC,AMCR,0.619%
South32 Ltd,S32,0.6113%
CNOOC Ltd,883,0.5836%
Occidental Petroleum Corp,OXY,0.5729%
Bunge Ltd,BG,0.5648%
Sociedad Quimica y Minera de Chile SA,SQM,0.561%
Marathon Petroleum Corp,MPC,0.5509%
Repsol SA,REP,0.5431%
Woodside Petroleum Ltd,WPL,0.5427%
Sumitomo Metal Mining Co Ltd,5713,0.5416%
Valero Energy Corp,VLO,0.5359%
Mosaic Co,MOS,0.5334%
Israel Chemicals Ltd,ICL,0.5057%
Petroleo Brasileiro SA Petrobras,PBR,0.5012%
Tatneft' PAO,ATAD,0.492%
Equinor ASA,EQNR,0.4878%
Neste Oyj,NESTE,0.4757%
Kirkland Lake Gold Ltd,KL,0.4615%
JFE Holdings Inc,5411,0.4542%
Teck Resources Ltd,TECK.B,0.4444%
Cash Component,CASH,0.4443%
Ingredion Inc,INGR,0.4405%
Novatek PAO,NVTK,0.4321%
Sealed Air Corp,SEE,0.4198%
Pioneer Natural Resources Co,PXD,0.3566%
Korea Zinc Inc,010130,0.3359%
K&S AG,SDF,0.3317%
thyssenkrupp AG,TKA,0.328%
Halliburton Co,HAL,0.2921%
Norsk Hydro ASA,NHY,0.2764%
Rayonier Inc,RYN,0.2712%
Nine Dragons Paper (Holdings) Ltd,2689,0.2702%
Antofagasta PLC,ANTO,0.2569%
Southern Copper Corp,SCCO,0.225%
NK Rosneft' PAO,ROSN,0.2179%
OCI NV,OCI,0.2023%
EVRAZ plc,EVR,0.1889%
Novolipetsk Steel PAO,NLMK,0.17%
Imperial Oil Ltd,IMO,0.1452%
Ecopetrol SA,EC,0.1247%
Barrick Gold Corp,ABX,0.0202%
