GQRE: FlexShares Global Quality Real Estate Index Fund
Inception Date: 2013-11-05
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	429649
Shares Outstanding: 6500000
Expense Ratio: 0.45%
Tracks This Index: Northern Trust Global Quality Real Estate Index
ETFdb.com Category: Global Real Estate
Issuer: FlexShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GQRE


Holding,Symbol,Weighting
Prologis Inc,PLD,5.7294%
Welltower Inc,WELL,4.4826%
Equity Residential,EQR,4.2357%
AvalonBay Communities Inc,AVB,4.1411%
Public Storage,PSA,3.4072%
Link Real Estate Investment Trust,823,2.9654%
Essex Property Trust Inc,ESS,2.8114%
Cash Component,CASH,2.2754%
WP Carey Inc,WPC,1.9374%
Duke Realty Corp,DRE,1.7937%
Sumitomo Realty & Development Co Ltd,8830,1.748%
SEGRO PLC,SGRO,1.7258%
Equity LifeStyle Properties Inc,ELS,1.7087%
Host Hotels & Resorts Inc,HST,1.6781%
Goodman Group,GMG,1.6158%
CK Asset Holdings Ltd,1113,1.5035%
Camden Property Trust,CPT,1.4811%
Regency Centers Corp,REG,1.3652%
National Retail Properties Inc,NNN,1.2607%
Omega Healthcare Investors Inc,OHI,1.2373%
VICI Properties Inc,VICI,1.2079%
Mirvac Group,MGR,1.1985%
STORE Capital Corp,STOR,1.1231%
Kimco Realty Corp,KIM,1.1223%
Medical Properties Trust Inc,MPW,1.1166%
Apartment Investment and Management Co,AIV,1.0749%
Aroundtown SA,AT1,1.03%
American Homes 4 Rent,AMH,1.0201%
LendLease Group,LLC,0.9208%
Castellum AB,CAST,0.8778%
Hongkong Land Holdings Ltd,H78,0.8609%
Henderson Land Development Co Ltd,12,0.8578%
Brixmor Property Group Inc,BRX,0.8423%
PSP Swiss Property AG,PSPN,0.8347%
Derwent London PLC,DLN,0.7672%
First Industrial Realty Trust Inc,FR,0.744%
Spirit Realty Capital Inc,SRC,0.7263%
Nippon Building Fund Inc,8951,0.7226%
Life Storage Inc,LSI,0.7205%
Eastgroup Properties Inc,EGP,0.7047%
MERLIN Properties SOCIMI SA,MRL,0.6716%
Fabege AB,FABG,0.6297%
Unite Group PLC,UTG,0.6159%
Vonovia SE,VNA,0.589%
Swire Pacific Ltd,19,0.5629%
Equity Commonwealth,EQC,0.5395%
Sabra Health Care REIT Inc,SBRA,0.5229%
National Health Investors Inc,NHI,0.5053%
Swire Properties Ltd,1972,0.5014%
Weingarten Realty Investors,WRI,0.4993%
Terreno Realty Corp,TRNO,0.4937%
Wharf Real Estate Investment Company Ltd,1997,0.4882%
City Developments Ltd,C09,0.4828%
PS Business Parks Inc,PSB,0.4759%
TAG Immobilien AG,TEG,0.4757%
Inmobiliaria Colonial SOCIMI SA,COL,0.4756%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,0.4613%
Mapletree Commercial Trust,N2IU,0.4487%
Tokyo Tatemono Co Ltd,8804,0.4455%
Charter Hall Group,CHC,0.4207%
RioCan Real Estate Investment Trust,REI.UN,0.4157%
Piedmont Office Realty Trust Inc,PDM,0.4129%
Sunstone Hotel Investors Inc,SHO,0.4053%
alstria office REIT AG,AOX,0.4008%
Nippon Accommodations Fund Inc,3226,0.392%
Kennedy-Wilson Holdings Inc,KW,0.3902%
Tritax Big Box Reit PLC,BBOX,0.3883%
First Capital Realty Inc,FCR.UN,0.3862%
Nomura Real Estate Holdings Inc,3231,0.3804%
CA Immobilien Anlagen AG,CAI,0.3793%
Iida Group Holdings Co Ltd,3291,0.3659%
Wihlborgs Fastigheter AB,WIHL,0.3631%
Retail Properties of America Inc,RPAI,0.3563%
Dexus,DXS,0.3552%
MGM Growth Properties LLC,MGP,0.3502%
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,0.3488%
