GREK: Global X FTSE Greece 20 ETF
Inception Date: 2011-12-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	300365
Shares Outstanding: 32150000
Expense Ratio: 0.59%
Tracks This Index: FTSE/Athex 20 Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GREK


Holding,Symbol,Weighting
Hellenic Telecommunications Organization SA,HTO,15.0805%
Alpha Bank SA,ALPHA,10.4338%
Eurobank Ergasias SA,EUROB,9.0828%
Jumbo SA,BELA,8.8363%
Greek Organisation of Football Prognostics SA,OPAP,5.4164%
Piraeus Bank SA,TPEIR,4.2946%
National Bank of Greece SA,ETE,4.2775%
Motor Oil Hellas Corinth Refineries SA,MOH,4.0341%
Mytilineos SA,MYTIL,3.9285%
Titan Cement International SA,TITC,3.5996%
GEK TERNA Holdings Real Estate Construction SA,GEKTERNA,3.3113%
Lamda Development SA,LAMDA,3.1916%
Public Power Corporation SA,PPC,2.6613%
Hellenic Petroleum SA,ELPE,2.5956%
Terna Energy SA,TENERGY,2.3656%
Dorian LPG Ltd,LPG,2.1109%
Athens Water and Sewerage Company SA,EYDAP,1.9103%
Gr Sarantis SA,SAR,1.8671%
Aegean Airlines SA,AEGN,1.8059%
Holding Company ADMIE IPTO SA,ADMIE,1.7836%
Hellenic Exchanges Athens Stock Exchange SA,EXAE,1.7423%
Ellaktor SA,ELLAKTOR,1.374%
GasLog Ltd,GLOG,1.2872%
Capital Product Partners LP,CPLP,1.2857%
Tsakos Energy Navigation Ltd,TNP,1.0859%
GasLog Partners LP,GLOP,0.8659%
Cash Component,CASH,-0.2283%
