GUNR: FlexShares Morningstar Global Upstream Natural Resources Index Fund
Inception Date: 2011-09-16
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	5067366
Shares Outstanding: 160450000
Expense Ratio: 0.46%
Tracks This Index: Morningstar Global Upstream Natural Resources Index
ETFdb.com Category: Commodity Producers Equities
Issuer: FlexShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/GUNR


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,4.5165%
BHP Group Ltd,BHP,4.2866%
Chevron Corp,CVX,4.1231%
Nutrien Ltd,NTR,3.6768%
Archer Daniels Midland Co,ADM,3.4484%
Corteva Inc,CTVA,3.3531%
Tyson Foods Inc,TSN,3.1531%
Rio Tinto PLC,RIO,2.9495%
BP PLC,BP.,2.5481%
Total SA,FP,2.5087%
Royal Dutch Shell PLC,RDSA,2.2321%
Vale SA,VALE3,2.1406%
Newmont Corporation,NEM,2.107%
Glencore PLC,GLEN,2.0657%
Anglo American PLC,AAL,2.0314%
Barrick Gold Corp,ABX,1.9152%
FMC Corp,FMC,1.8197%
Mowi ASA,MOWI,1.4766%
CF Industries Holdings Inc,CF,1.3394%
American Water Works Company Inc,AWK,1.2785%
Franco-Nevada Corp,FNV,1.2452%
Weyerhaeuser Co,WY,1.2031%
ConocoPhillips,COP,1.1507%
GMK Noril'skiy Nikel' PAO,MNOD,1.1319%
Mosaic Co,MOS,1.122%
Wilmar International Ltd,F34,1.1218%
Bunge Ltd,BG,1.0697%
Yara International ASA,YAR,1.0553%
Cash Component,CASH,1.0529%
Newcrest Mining Ltd,NCM,0.9712%
UPM-Kymmene Oyj,UPM,0.9348%
Gazprom PAO,OGZD,0.8968%
Veolia Environnement SA,VIE,0.8702%
A2 Milk Company Ltd,ATM,0.8681%
NK Lukoil PAO,LKOD,0.8601%
Suncor Energy Inc,SU,0.8527%
Agnico Eagle Mines Ltd,AEM,0.8319%
Occidental Petroleum Corp,OXY,0.81%
EOG Resources Inc,EOG,0.8013%
Freeport-McMoRan Inc,FCX,0.787%
Wheaton Precious Metals Corp,WPM,0.7668%
Eni SpA,ENI,0.7225%
Scotts Miracle-Gro Co,SMG,0.6703%
Fortescue Metals Group Ltd,FMG,0.643%
UPL Ltd,UPLL,0.6327%
Petroleo Brasileiro SA Petrobras,PETR4,0.5943%
Canadian Natural Resources Ltd,CNQ,0.5913%
Saudi Arabia Fertilizers Co SJSC,2020,0.5888%
Aqua America Inc,WTRG,0.5837%
Mitsui & Co Ltd,8031,0.5723%
Mondi PLC,MNDI,0.5621%
AngloGold Ashanti Ltd,ANG,0.5277%
Grupo Mexico SAB de CV,GMEXICOB,0.5091%
Sime Darby Plantation Bhd,SIMEPLT,0.5035%
CNOOC Ltd,883,0.5004%
South32 Ltd,S32,0.4962%
IOI Corporation Bhd,IOICORP,0.4685%
PPB Group Bhd,PPB,0.4576%
Kirkland Lake Gold Ltd,KL,0.4558%
Charoen Pokphand Foods PCL,CPF-R,0.4521%
Stora Enso Oyj,STERV,0.4499%
Charoen Pokphand Indonesia Tbk PT,CPIN,0.4405%
United Utilities Group PLC,UU.,0.4391%
Repsol SA,REP,0.423%
Israel Chemicals Ltd,ICL,0.4114%
Pioneer Natural Resources Co,PXD,0.4106%
Kinross Gold Corp,K,0.4099%
Royal Gold Inc,RGLD,0.4086%
Boliden AB,BOL,0.4023%
Woodside Petroleum Ltd,WPL,0.3995%
Kuala Lumpur Kepong Bhd,KLK,0.3975%
Severn Trent PLC,SVT,0.3973%
Teck Resources Ltd,TECK.B,0.3861%
Equinor ASA,EQNR,0.3849%
P/F Bakkafrost,BAKKA,0.3742%
Suez SA,SEV,0.3722%
Sumitomo Metal Mining Co Ltd,5713,0.3715%
Tatneft' PAO,TATN,0.3687%
Novatek PAO,NVTK,0.3634%
SalMar ASA,SALM,0.3582%
Svenska Cellulosa SCA AB,SCA.B,0.357%
Gold Fields Ltd,GFI,0.3502%
Impala Platinum Holdings Ltd,IMP,0.3423%
Northern Star Resources Ltd,NST,0.3382%
K&S AG,SDF,0.3194%
Hess Corp,HES,0.3058%
Korea Zinc Inc,010130,0.2995%
Pennon Group PLC,PNN,0.295%
First Quantum Minerals Ltd,FM,0.2857%
Oji Holdings Corp,3861,0.2833%
Saudi Arabian Mining Co SJSC,1211,0.2758%
Concho Resources Inc,CXO,0.2758%
China Petroleum & Chemical Corp,386,0.2749%
PTT PCL,PTT-R,0.2554%
Guangdong Investment Ltd,270,0.255%
Norsk Hydro ASA,NHY,0.2498%
Diamondback Energy Inc,FANG,0.2494%
Suzano SA,SUZB3,0.2209%
QL Resources Bhd,QL,0.1984%
Nufarm Ltd,NUF,0.1923%
American States Water Co,AWR,0.1889%
PhosAgro PAO,PHOR,0.188%
Inpex Corp,1605,0.1868%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,0.186%
Rayonier Inc,RYN,0.1771%
Sasol Ltd,SOL,0.1764%
Universal Forest Products Inc,UFPI,0.1748%
PetroChina Co Ltd,857,0.1714%
Holmen AB,HOLM.B,0.1629%
Maruha Nichiro Corp,1333,0.15%
California Water Service Group,CWT,0.148%
West Fraser Timber Co Ltd,WFT,0.1388%
Beijing Enterprises Water Group Ltd,371,0.1244%
Stella-Jones Inc,SJ,0.1016%
SJW Group,SJW,0.0965%
Interfor Corp,IFP,0.049%
Duratex SA,DTEX3,0.0453%
Canfor Corp,CFP,0.0354%
