HACK: ETFMG Prime Cyber Security ETF
Inception Date: 2014-11-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1528986
Shares Outstanding: 34750000
Expense Ratio: 0.6%
Tracks This Index: ISE Cyber Security Index
ETFdb.com Category: Technology Equities
Issuer: ETF Managers Group
Structure: ETF
ETF Home Page: https://etfdb.com/etf/HACK


Holding,Symbol,Weighting
Cisco Systems Inc,CSCO,3.9704%
Splunk Inc,SPLK,3.4282%
Palo Alto Networks Inc,PANW,3.2737%
Akamai Technologies Inc,AKAM,3.0888%
Ping Identity Holding Corp,PING,3.0669%
Fortinet Inc,FTNT,3.0394%
CACI International Inc,CACI,2.9795%
Proofpoint Inc,PFPT,2.9711%
Cyberark Software Ltd,CYBR,2.9483%
Science Applications International Corp,SAIC,2.8923%
ETFMG SIT Ultra Short ETF,VALT,2.8735%
Tenable Holdings Inc,TENB,2.8709%
Commvault Systems Inc,CVLT,2.8534%
SailPoint Technologies Holdings Inc,SAIL,2.8371%
Check Point Software Technologies Ltd,CHKP,2.7875%
Trend Micro Inc,4704,2.7569%
SolarWinds Corp,SWI,2.7531%
Qualys Inc,QLYS,2.7375%
Avast PLC,AVST,2.6933%
Parsons Corp,PSN,2.6915%
Juniper Networks Inc,JNPR,2.6783%
Sophos Group PLC,SOPH,2.6618%
Cloudflare Inc,NET,2.6552%
FireEye Inc,FEYE,2.471%
NortonLifeLock Inc,NLOK,2.1334%
Fingerprint Cards AB,FING.B,1.901%
Tufin Software Technologies Ltd,TUFN,1.5924%
Crowdstrike Holdings Inc,CRWD,1.3941%
Zscaler Inc,ZS,1.3428%
Okta Inc,OKTA,1.2916%
Leidos Holdings Inc,LDOS,1.1711%
Booz Allen Hamilton Holding Corp,BAH,1.1227%
Verisign Inc,VRSN,1.0999%
Mimecast Ltd,MIME,1.0968%
Varonis Systems Inc,VRNS,1.0834%
Everbridge Inc,EVBG,1.0726%
Netscout Systems Inc,NTCT,1.0627%
Verint Systems Inc,VRNT,1.0263%
BAE Systems PLC,BA.,1.0247%
SecureWorks Corp,SCWX,1.0025%
Radware Ltd,RDWR,0.9824%
Rapid7 Inc,RPD,0.9793%
ManTech International Corp,MANT,0.9418%
Qinetiq Group PLC,QQ.,0.9292%
Digital Arts Inc,2326,0.9263%
Ultra Electronics Holdings PLC,ULE,0.9166%
OneSpan Inc,OSPN,0.9129%
F5 Networks Inc,FFIV,0.8875%
ForeScout Technologies Inc,FSCT,0.8767%
Ahnlab Inc,053800,0.7007%
Zix Corp,ZIXI,0.6418%
MobileIron Inc,MOBL,0.6078%
A10 Networks Inc,ATEN,0.5133%
NCC Group PLC,NCC,0.4899%
FFRI Inc,3692,0.4312%
F-Secure Oyj,FSC1V,0.1438%
Cash Component,CASH,-2.2789%
