HAUZ: Xtrackers International Real Estate ETF
Inception Date: 2013-10-01
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	203871
Shares Outstanding: 6900000
Expense Ratio: 0.1%
Tracks This Index: iSTOXX Developed and Emerging Markets ex USA PK VN Real Estate Index
ETFdb.com Category: Global Real Estate
Issuer: DWS
Structure: 
ETF Home Page: https://etfdb.com/etf/HAUZ


Holding,Symbol,Weighting
Vonovia SE,VNA,2.6127%
Mitsubishi Estate Co Ltd,8802,2.4298%
Mitsui Fudosan Co Ltd,8801,2.4288%
Sun Hung Kai Properties Ltd,16,2.0466%
Link Real Estate Investment Trust,823,1.985%
WFD Unibail Rodamco NV,URW,1.6522%
Sumitomo Realty & Development Co Ltd,8830,1.5623%
CK Asset Holdings Ltd,1113,1.5544%
Goodman Group,GMG,1.5198%
Deutsche Wohnen SE,DWNI,1.255%
Scentre Group,SCG,1.2238%
China Overseas Land & Investment Ltd,688,1.1732%
SEGRO PLC,SGRO,1.1635%
China Resources Land Ltd,1109,1.1472%
SM Prime Holdings Inc,SMPH,1.1004%
Nippon Building Fund Inc,8951,1.0764%
Japan Real Estate Investment Corp,8952,0.975%
Dexus,DXS,0.8649%
Swiss Prime Site AG,SPSN,0.8498%
Gecina SA,GFC,0.811%
Mirvac Group,MGR,0.8107%
Daito Trust Construction Co Ltd,1878,0.8018%
Land Securities Group PLC,LAND,0.7705%
LEG Immobilien AG,LEG,0.7584%
Nomura Real Estate Master Fund Inc,3462,0.7416%
Aroundtown SA,AT1,0.7316%
Stockland Corporation Ltd,SGP,0.7122%
Klepierre SA,LI,0.7056%
New World Development Co Ltd,17,0.6781%
GPT Group,GPT,0.6441%
Capitaland Ltd,C31,0.6328%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,0.6221%
Ayala Land Inc,ALI,0.6065%
Central Pattana PCL,CPN-R,0.601%
Fibra Uno Administracion SA de CV,FUNO11,0.5978%
Ascendas Real Estate Investment Trust,A17U,0.596%
Orix JREIT Inc,8954,0.5954%
Hongkong Land Holdings Ltd,H78,0.5919%
Hulic Co Ltd,3003,0.5907%
British Land Company PLC,BLND,0.5867%
RioCan Real Estate Investment Trust,REI.UN,0.5801%
Nippon Prologis REIT Inc,3283,0.5688%
Henderson Land Development Co Ltd,12,0.5645%
Covivio SA,COV,0.5631%
Wharf Real Estate Investment Company Ltd,1997,0.5581%
Castellum AB,CAST,0.5454%
Unite Group PLC,UTG,0.5453%
Kenedix Office Investment Corp,8972,0.5444%
Derwent London PLC,DLN,0.5147%
