IAI: iShares US Broker-Dealers ETF
Inception Date: 2006-05-05
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	256581
Shares Outstanding: 3600000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Investment Services Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IAI


Holding,Symbol,Weighting
CME Group Inc,CME,17.3311%
Goldman Sachs Group Inc,GS,17.2047%
Morgan Stanley,MS,11.2781%
Nasdaq Inc,NDAQ,4.7062%
Cboe Global Markets Inc,CBOE,4.5293%
Raymond James Financial Inc,RJF,4.5024%
Intercontinental Exchange Inc,ICE,4.2913%
LPL Financial Holdings Inc,LPLA,4.2773%
E*TRADE Financial Corp,ETFC,4.1509%
Charles Schwab Corp,SCHW,4.0791%
TD Ameritrade Holding Corp,AMTD,4.0772%
Marketaxess Holdings Inc,MKTX,3.9074%
Lazard Ltd,LAZ,2.7483%
Stifel Financial Corp,SF,2.5869%
Interactive Brokers Group Inc,IBKR,2.2243%
Evercore Inc,EVR,1.7575%
Houlihan Lokey Inc,HLI,1.3174%
Moelis & Co,MC,1.0811%
BGC Partners Inc,BGCP,0.8361%
Piper Sandler Companies,PIPR,0.7593%
Virtu Financial Inc,VIRT,0.6987%
PJT Partners Inc,PJT,0.5748%
INTL FCStone Inc,INTL,0.4442%
Cowen Inc,COWN,0.2723%
Diamond Hill Investment Group Inc,DHIL,0.2503%
Cash Component,CASH,0.1137%
