IAT: iShares U.S. Regional Banks ETF
Inception Date: 2006-05-05
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	363409
Shares Outstanding: 7450000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Regional Banks Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IAT


Holding,Symbol,Weighting
U.S. Bancorp,USB,13.7907%
Truist Financial Corp,TFC,12.9289%
PNC Financial Services Group Inc,PNC,11.9367%
M&T Bank Corp,MTB,3.9839%
Fifth Third Bancorp,FITB,3.7177%
First Republic Bank,FRC,3.4431%
KeyCorp,KEY,3.4295%
Citizens Financial Group Inc,CFG,2.9671%
Regions Financial Corp,RF,2.7967%
Huntington Bancshares Inc,HBAN,2.5611%
SVB Financial Group,SIVB,2.356%
Comerica Inc,CMA,1.5892%
Zions Bancorporation NA,ZION,1.3999%
Signature Bank,SBNY,1.3705%
Commerce Bancshares Inc,CBSH,1.2836%
People's United Financial Inc,PBCT,1.2576%
East West Bancorp Inc,EWBC,1.2332%
Prosperity Bancshares Inc,PB,1.2143%
TCF Financial Corp,TCF,1.171%
Popular Inc,BPOP,0.9643%
Western Alliance Bancorp,WAL,0.9498%
Synovus Financial Corp,SNV,0.9468%
Cullen/Frost Bankers Inc,CFR,0.9285%
New York Community Bancorp Inc,NYCB,0.924%
First Horizon National Corp,FHN,0.9094%
First Financial Bankshares Inc,FFIN,0.8311%
First Citizens BancShares Inc (Delaware),FCNCA,0.8115%
CIT Group Inc,CIT,0.7923%
Pinnacle Financial Partners Inc,PNFP,0.7716%
Webster Financial Corp,WBS,0.7682%
Valley National Bancorp,VLY,0.7626%
PacWest Bancorp,PACW,0.7576%
Sterling Bancorp,STL,0.7311%
IBERIABANK Corp,IBKC,0.6946%
First Hawaiian Inc,FHB,0.6911%
Umpqua Holdings Corp,UMPQ,0.6854%
F.N.B. Corp,FNB,0.6846%
Glacier Bancorp Inc,GBCI,0.6644%
Wintrust Financial Corp,WTFC,0.6508%
Bank of Hawaii Corp,BOH,0.6437%
Hancock Whitney Corp,HWC,0.6276%
United Bankshares Inc,UBSI,0.6186%
Bank Ozk,OZK,0.598%
Associated Banc-Corp,ASB,0.5738%
BankUnited Inc,BKU,0.5586%
Home BancShares Inc,HOMB,0.5367%
UMB Financial Corp,UMBF,0.5216%
Texas Capital Bancshares Inc,TCBI,0.5046%
Cathay General Bancorp,CATY,0.4954%
BancorpSouth Bank,BXS,0.4917%
Fulton Financial Corp,FULT,0.4892%
Washington Federal Inc,WAFD,0.4795%
Investors Bancorp Inc,ISBC,0.4772%
BOK Financial Corp,BOKF,0.451%
International Bancshares Corp,IBOC,0.4116%
Trustmark Corp,TRMK,0.3665%
Capitol Federal Financial Inc,CFFN,0.3295%
Cash Component,CASH,0.2802%
TFS Financial Corp,TFSL,0.1944%
