IBUY: Amplify Online Retail ETF
Inception Date: 2016-04-20
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	245582
Shares Outstanding: 4650000
Expense Ratio: 0.65%
Tracks This Index: EQM Online Retail Index
ETFdb.com Category: Global Equities
Issuer: Amplify
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IBUY


Holding,Symbol,Weighting
Uber Technologies Inc,UBER,3.6052%
GrubHub Inc,GRUB,3.344%
Netflix Inc,NFLX,3.0357%
Copart Inc,CPRT,2.9945%
Chegg Inc,CHGG,2.9649%
Peloton Interactive Inc,PTON,2.8928%
1-800-Flowers.Com Inc,FLWS,2.8783%
Wayfair Inc,W,2.8324%
Chewy Inc,CHWY,2.819%
PayPal Holdings Inc,PYPL,2.8189%
Petmed Express Inc,PETS,2.7939%
Etsy Inc,ETSY,2.7835%
Lyft Inc,LYFT,2.7806%
Amazon.com Inc,AMZN,2.7132%
IAC/InterActiveCorp,IAC,2.7008%
Carvana Co,CVNA,2.6835%
Shutterstock Inc,SSTK,2.4858%
Stitch Fix Inc,SFIX,2.4616%
eBay Inc,EBAY,2.4442%
Lands End Inc,LE,2.4349%
Stamps.Com Inc,STMP,2.3218%
Booking Holdings Inc,BKNG,2.207%
Revolve Group Inc,RVLV,2.2018%
Qurate Retail Inc,QRTEA,2.1335%
Cash Component,CASH,2.0681%
Overstock.com Inc,OSTK,1.988%
Delivery Hero SE,DHER,1.9649%
Expedia Group Inc,EXPE,1.9496%
RealReal Inc,REAL,1.9059%
TripAdvisor Inc,TRIP,1.9026%
Shopify Inc,SHOP,1.8918%
IQIYI Inc,IQ,1.655%
Farfetch Ltd,FTCH,1.5829%
Mercadolibre Inc,MELI,1.5655%
Takeaway.com NV,TKWY,1.5604%
JD.com Inc,JD,1.4268%
Alibaba Group Holding Ltd,BABA,1.3724%
Vipshop Holdings Ltd,VIPS,1.3665%
Zalando SE,ZAL,1.3374%
Spotify Technology SA,SPOT,1.2216%
Trip.com Group Ltd,TCOM,1.134%
Ocado Group PLC,OCDO,1.0849%
MakeMyTrip Ltd,MMYT,1.025%
Cimpress PLC,CMPR,1.0078%
Jumia Technologies AG,JMIA,0.9833%
Rakuten Inc,4755,0.9503%
Pinduoduo Inc,PDD,0.9253%
ZOZO Inc,3092,0.7982%
