ICF: iShares Cohen & Steers REIT ETF
Inception Date: 2001-01-29
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2398731
Shares Outstanding: 19900000
Expense Ratio: 0.34%
Tracks This Index: Cohen & Steers Realty Majors Index
ETFdb.com Category: Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ICF


Holding,Symbol,Weighting
Prologis Inc,PLD,9.6673%
American Tower Corp,AMT,8.6036%
Equinix Inc,EQIX,7.691%
Simon Property Group Inc,SPG,6.4993%
Welltower Inc,WELL,5.1014%
Public Storage,PSA,5.0604%
AvalonBay Communities Inc,AVB,4.58%
Equity Residential,EQR,4.392%
SBA Communications Corp,SBAC,4.3803%
Digital Realty Trust Inc,DLR,3.8432%
Realty Income Corp,O,3.786%
Ventas Inc,VTR,3.2859%
Essex Property Trust Inc,ESS,3.0959%
Boston Properties Inc,BXP,3.0696%
Alexandria Real Estate Equities Inc,ARE,3.0274%
Invitation Homes Inc,INVH,2.5351%
UDR Inc,UDR,2.1396%
Extra Space Storage Inc,EXR,2.1193%
Equity LifeStyle Properties Inc,ELS,1.9849%
Duke Realty Corp,DRE,1.9811%
Host Hotels & Resorts Inc,HST,1.8239%
Regency Centers Corp,REG,1.5825%
Vornado Realty Trust,VNO,1.5721%
National Retail Properties Inc,NNN,1.46%
Federal Realty Investment Trust,FRT,1.3353%
Kilroy Realty Corp,KRC,1.185%
SL Green Realty Corp,SLG,1.1606%
Douglas Emmett Inc,DEI,1.055%
American Campus Communities Inc,ACC,0.9472%
Cousins Properties Inc,CUZ,0.9019%
Cash Component,CASH,0.1334%
