ICLN: iShares Global Clean Energy ETF
Inception Date: 2008-06-24
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	564844
Shares Outstanding: 44300000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Clean Energy Index
ETFdb.com Category: Alternative Energy Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ICLN


Holding,Symbol,Weighting
Enphase Energy Inc,ENPH,6.2508%
Vestas Wind Systems A/S,VWS,5.9692%
Siemens Gamesa Renewable Energy SA,SGRE,5.7533%
Xinyi Solar Holdings Ltd,968,5.6682%
Solaredge Technologies Inc,SEDG,5.149%
Ormat Technologies Inc,ORA,4.9928%
Meridian Energy Ltd,MEL,4.7058%
Companhia Energetica de Minas Gerais CEMIG,CIG,4.6022%
Pattern Energy Group Inc,PEGI,4.3618%
Verbund AG,VER,4.3151%
First Solar Inc,FSLR,4.0866%
Innergex Renewable Energy Inc,INE,4.0687%
Companhia Paranaense de Energia,ELP,3.5743%
Contact Energy Ltd,CEN,3.5596%
Atlantica Yield PLC,AY,3.5397%
Scatec Solar ASA,SSO,3.369%
Boralex Inc,BLX,3.1526%
Sunrun Inc,RUN,3.0478%
TerraForm Power Inc,TERP,2.9394%
Renewable Energy Group Inc,REGI,2.1674%
Plug Power Inc,PLUG,2.0413%
Canadian Solar Inc,CSIQ,2.0122%
Xinjiang Goldwind Science & Technology Co Ltd,2208,1.7522%
Nordex SE,NDX1,1.686%
Falck Renewables SpA,FKR,1.5092%
TPI Composites Inc,TPIC,1.4724%
JinkoSolar Holding Co Ltd,JKS,1.4012%
SunPower Corp,SPWR,1.237%
GCL-Poly Energy Holdings Ltd,3800,1.2239%
Cash Component,CASH,0.3913%
