IDU: iShares U.S. Utilities ETF
Inception Date: 2000-06-20
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1019602
Shares Outstanding: 5950000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Utilities Index
ETFdb.com Category: Utilities Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IDU


Holding,Symbol,Weighting
Nextera Energy Inc,NEE,12.5507%
Southern Co,SO,6.8317%
Duke Energy Corp,DUK,6.6861%
Dominion Energy Inc,D,6.6501%
American Electric Power Company Inc,AEP,4.7687%
Exelon Corp,EXC,4.4628%
Sempra Energy,SRE,4.2589%
Xcel Energy Inc,XEL,3.4325%
WEC Energy Group Inc,WEC,2.9975%
Consolidated Edison Inc,ED,2.9383%
Eversource Energy,ES,2.7938%
Public Service Enterprise Group Inc,PEG,2.7799%
FirstEnergy Corp,FE,2.6369%
Edison International,EIX,2.6305%
Entergy Corp,ETR,2.5026%
PPL Corp,PPL,2.4811%
DTE Energy Co,DTE,2.4452%
American Water Works Company Inc,AWK,2.3156%
Ameren Corp,AEE,1.9595%
CMS Energy Corp,CMS,1.8155%
Evergy Inc,EVRG,1.5387%
Atmos Energy Corp,ATO,1.3369%
Alliant Energy Corp,LNT,1.3356%
AES Corp,AES,1.2965%
CenterPoint Energy Inc,CNP,1.2784%
Aqua America Inc,WTRG,1.0943%
NiSource Inc,NI,1.0605%
Pinnacle West Capital Corp,PNW,1.05%
Vistra Energy Corp,VST,0.9526%
NRG Energy Inc,NRG,0.9079%
UGI Corp,UGI,0.8425%
MDU Resources Group Inc,MDU,0.5916%
Idacorp Inc,IDA,0.5263%
Portland General Electric Co,POR,0.5163%
Hawaiian Electric Industries Inc,HE,0.4997%
Black Hills Corp,BKH,0.4913%
ONE Gas Inc,OGS,0.4747%
Spire Inc,SR,0.4179%
PNM Resources Inc,PNM,0.4133%
ALLETE Inc,ALE,0.4045%
Southwest Gas Holdings Inc,SWX,0.4017%
New Jersey Resources Corp,NJR,0.3865%
Cash Component,CASH,0.3761%
NorthWestern Corp,NWE,0.3698%
National Fuel Gas Co,NFG,0.3504%
Avista Corp,AVA,0.3252%
Avangrid Inc,AGR,0.2794%
South Jersey Industries Inc,SJI,0.2785%
El Paso Electric Co,EE,0.2647%
