IEO: iShares U.S. Oil & Gas Exploration & Production ETF
Inception Date: 2006-05-05
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	194893
Shares Outstanding: 4050000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Oil Exploration & Production Index
ETFdb.com Category: Energy Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEO


Holding,Symbol,Weighting
ConocoPhillips,COP,15.7107%
EOG Resources Inc,EOG,10.6798%
Phillips 66,PSX,9.9105%
Valero Energy Corp,VLO,7.5813%
Pioneer Natural Resources Co,PXD,4.8704%
Marathon Petroleum Corp,MPC,4.6087%
Concho Resources Inc,CXO,4.4856%
Hess Corp,HES,4.0516%
Cheniere Energy Inc,LNG,3.7142%
Diamondback Energy Inc,FANG,3.3749%
Apache Corp,APA,2.982%
Noble Energy Inc,NBL,2.7054%
Marathon Oil Corp,MRO,2.6358%
Devon Energy Corp,DVN,2.5078%
Targa Resources Corp,TRGP,2.4482%
HollyFrontier Corp,HFC,1.8229%
Cabot Oil & Gas Corp,COG,1.6848%
Parsley Energy Inc,PE,1.4787%
WPX Energy Inc,WPX,1.4202%
Cimarex Energy Co,XEC,1.2368%
Murphy Oil Corp,MUR,0.9249%
PBF Energy Inc,PBF,0.7843%
World Fuel Services Corp,INT,0.726%
Continental Resources Inc,CLR,0.6473%
PDC Energy Inc,PDCE,0.609%
Delek US Holdings Inc,DK,0.5925%
Kosmos Energy Ltd,KOS,0.5423%
Matador Resources Co,MTDR,0.4225%
CNX Resources Corp,CNX,0.3901%
EQT Corp,EQT,0.3822%
Callon Petroleum Co,CPE,0.3316%
Magnolia Oil & Gas Corp,MGY,0.2922%
SM Energy Co,SM,0.2801%
CVR Energy Inc,CVI,0.279%
Cash Component,CASH,0.2557%
Southwestern Energy Co,SWN,0.2536%
Par Pacific Holdings Inc,PARR,0.2039%
QEP Resources Inc,QEP,0.1952%
Oasis Petroleum Inc,OAS,0.1933%
Range Resources Corp,RRC,0.1884%
Tellurian Inc,TELL,0.1784%
Chesapeake Energy Corp,CHK,0.1694%
Centennial Resource Development Inc,CDEV,0.1664%
Denbury Resources Inc,DNR,0.1371%
Northern Oil and Gas Inc,NOG,0.1083%
W&T Offshore Inc,WTI,0.1064%
Whiting Petroleum Corp,WLL,0.1056%
Talos Energy Inc,TALO,0.1055%
Antero Resources Corp,AR,0.1052%
Bonanza Creek Energy Inc,BCEI,0.0998%
California Resources Corp,CRC,0.0959%
Laredo Petroleum Inc,LPI,0.0864%
Penn Virginia Corp,PVAC,0.0752%
Gulfport Energy Corp,GPOR,0.0558%
