IEV: iShares Europe ETF
Inception Date: 2000-07-25
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1774266
Shares Outstanding: 38050000
Expense Ratio: 0.59%
Tracks This Index: S&P Europe 350 Index
ETFdb.com Category: Europe Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEV


Holding,Symbol,Weighting
Nestle SA,NESN,3.5854%
Novartis AG,NOVN,2.6444%
Roche Holding AG,ROG,2.6409%
Cash Component,CASH,1.8867%
HSBC Holdings PLC,HSBA,1.6732%
SAP SE,SAP,1.5806%
AstraZeneca PLC,AZN,1.41%
ASML Holding NV,ASML,1.4048%
Total SA,FP,1.3594%
BP PLC,BP.,1.3237%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.3209%
Sanofi SA,SAN,1.2692%
GlaxoSmithKline PLC,GSK,1.1826%
Royal Dutch Shell PLC,RDSA,1.1618%
Novo Nordisk A/S,NOVO.B,1.1326%
Allianz SE,ALV,1.1132%
British American Tobacco PLC,BATS,1.1003%
Royal Dutch Shell PLC,RDSB,1.0378%
Diageo PLC,DGE,1.0313%
Siemens AG,SIE,1.0286%
Airbus SE,AIR,0.977%
Unilever NV,UNA,0.9428%
Bayer AG,BAYN,0.9003%
L'Oreal SA,OR,0.7861%
Unilever PLC,ULVR,0.7706%
Air Liquide SA,AI,0.753%
Enel SpA,ENEL,0.7449%
Iberdrola SA,IBE,0.7429%
BNP Paribas SA,BNP,0.699%
Zurich Insurance Group AG,ZURN,0.6959%
Anheuser Busch Inbev NV,ABI,0.6874%
BASF SE,BAS,0.6736%
Reckitt Benckiser Group PLC,RB.,0.6681%
Adidas AG,ADS,0.6291%
Schneider Electric SE,SU,0.6231%
Vinci SA,DG,0.6163%
Safran SA,SAF,0.5994%
Relx PLC,REL,0.5856%
Rio Tinto PLC,RIO,0.5839%
Vodafone Group PLC,VOD,0.5721%
AXA SA,CS,0.5716%
Deutsche Telekom AG,DTE,0.5695%
Danone SA,BN,0.5601%
Lloyds Banking Group PLC,LLOY,0.5596%
National Grid PLC,NG.,0.5378%
UBS Group AG,UBSG,0.5292%
Prudential PLC,PRU,0.5281%
Abb Ltd,ABBN,0.5097%
Kering SA,KER,0.4947%
BHP Group PLC,BHP,0.4931%
ING Groep NV,INGA,0.4906%
EssilorLuxottica SA,EL,0.4731%
Koninklijke Philips NV,PHIA,0.4687%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,0.4684%
Intesa Sanpaolo SpA,ISP,0.4628%
Daimler AG,DAI,0.4515%
Compass Group PLC,CPG,0.434%
Compagnie Financiere Richemont SA,CFR,0.4222%
Pernod Ricard SA,RI,0.4172%
Banco Bilbao Vizcaya Argentaria SA,BBVA,0.4127%
Industria de Diseno Textil SA,ITX,0.3999%
Barclays PLC,BARC,0.3991%
Anglo American PLC,AAL,0.3931%
Eni SpA,ENI,0.3872%
Deutsche Post AG,DPW,0.3756%
Amadeus IT Group SA,AMS,0.3743%
Swiss Re AG,SREN,0.3645%
London Stock Exchange Group PLC,LSE,0.3611%
Volkswagen AG,VOW3,0.3604%
Glencore PLC,GLEN,0.3526%
Experian PLC,EXPN,0.3504%
UniCredit SpA,UCG,0.3485%
Tesco PLC,TSCO,0.3458%
Credit Suisse Group AG,CSGN,0.3441%
Deutsche Boerse AG,DB1,0.3435%
Prosus NV,PRX,0.3418%
Engie SA,ENGI,0.3396%
CRH PLC,CRG,0.3387%
Vonovia SE,VNA,0.338%
Telefonica SA,TEF,0.3358%
Lonza Group AG,LONN,0.3324%
Alcon AG,ALC,0.3246%
Infineon Technologies AG,IFX,0.3204%
Volvo AB,VOLV.B,0.3133%
Nordea Bank Abp,NDA.SE,0.308%
BAE Systems PLC,BA.,0.2918%
Koninklijke Ahold Delhaize NV,AD,0.2908%
Orange SA,ORA,0.2901%
Hermes International SCA,RMS,0.2876%
Societe Generale SA,GLE,0.2875%
Givaudan SA,GIVN,0.2865%
KBC Groep NV,KBC,0.2849%
Investor AB,INVE.B,0.2836%
Kone Oyj,KNEBV,0.2818%
E.ON SE,EOAN,0.2775%
Heineken NV,HEIA,0.2721%
Assicurazioni Generali SpA,G,0.2631%
LafargeHolcim Ltd,LHN,0.2623%
Nokia Oyj,NOKIA,0.2619%
Atlas Copco AB,ATCO.A,0.2607%
Assa Abloy AB,ASSA.B,0.2556%
Legal & General Group PLC,LGEN,0.2555%
DSV Panalpina A/S,DSV,0.2535%
Dassault Systemes SE,DSY,0.2507%
Sika AG,SIKA,0.2492%
Adyen NV,ADYEN,0.2469%
Telefonaktiebolaget LM Ericsson,ERIC.B,0.2465%
Sampo plc,SAMPO,0.2454%
Koninklijke DSM NV,DSM,0.2449%
Bayerische Motoren Werke AG,BMW,0.2424%
Vivendi SA,VIV,0.2419%
Imperial Brands PLC,IMB,0.2417%
Ferguson PLC,FERG,0.2415%
Standard Chartered PLC,STAN,0.2405%
Deutsche Bank AG,DBK,0.2331%
Ferrari NV,RACE,0.233%
Smith & Nephew PLC,SN.,0.2324%
Fresenius SE & Co KGaA,FRE,0.2308%
SSE PLC,SSE,0.2304%
Repsol SA,REP,0.2299%
Legrand SA,LR,0.2296%
Compagnie Generale des Etablissements Michelin SCA,ML,0.228%
Compagnie de Saint Gobain SA,SGO,0.2278%
Wolters Kluwer NV,WKL,0.2255%
Sandvik AB,SAND,0.2254%
Vestas Wind Systems A/S,VWS,0.225%
Aviva PLC,AV.,0.2247%
RWE AG,RWE,0.2201%
Capgemini SE,CAP,0.2191%
Geberit AG,GEBN,0.2146%
STMicroelectronics NV,STM,0.2119%
Akzo Nobel NV,AKZA,0.2113%
Essity AB (publ),ESSITY.B,0.2108%
Kerry Group PLC,KRZ,0.2106%
Credit Agricole SA,ACA,0.2029%
Equinor ASA,EQNR,0.2029%
Neste Oyj,NESTE,0.2025%
WFD Unibail Rodamco NV,URW,0.199%
Henkel AG & Co KGaA,HEN3,0.1982%
Orsted A/S,ORSTED,0.1919%
BT Group PLC,BT.A,0.1898%
Partners Group Holding AG,PGHN,0.1893%
Wirecard AG,WDI,0.1885%
Swiss Life Holding AG,SLHN,0.1862%
Ashtead Group PLC,AHT,0.1845%
UPM-Kymmene Oyj,UPM,0.1842%
Dnb ASA,DNB,0.1839%
Rolls-Royce Holdings PLC,RR.,0.1831%
Svenska Handelsbanken AB,SHB.A,0.1818%
Fresenius Medical Care AG & Co KGaA,FME,0.1812%
Veolia Environnement SA,VIE,0.1808%
Merck KGaA,MRK,0.1806%
Skandinaviska Enskilda Banken AB,SEB.A,0.1781%
H & M Hennes & Mauritz AB,HM.B,0.1777%
Hexagon AB,HEXA.B,0.1748%
Coloplast A/S,COLO.B,0.1744%
WPP PLC,WPP,0.1706%
Genmab A/S,GMAB,0.1701%
MTU Aero Engines AG,MTX,0.1686%
Carlsberg A/S,CARL.B,0.1672%
Melrose Industries PLC,MRO,0.1671%
Deutsche Wohnen SE,DWNI,0.1655%
Ferrovial SA,FER,0.1634%
Teleperformance SE,TEP,0.1624%
Swedbank AB,SWED.A,0.1601%
Fiat Chrysler Automobiles NV,FCA,0.159%
Swisscom AG,SCMN,0.1578%
3i Group PLC,III,0.1551%
Sonova Holding AG,SOON,0.1476%
Aena SME SA,AENA,0.1475%
SGS SA,SGSN,0.1468%
Cellnex Telecom SA,CLNX,0.1459%
Symrise AG,SY1,0.1453%
Royal Bank of Scotland Group PLC,RBS,0.1435%
Edenred SA,EDEN,0.1409%
Informa PLC,INF,0.14%
Atlas Copco AB,ATCO.B,0.1388%
SEGRO PLC,SGRO,0.1366%
