IFGL: iShares International Developed Real Estate ETF
Inception Date: 2007-11-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	388942
Shares Outstanding: 12800000
Expense Ratio: 0.48%
Tracks This Index: FTSE EPRA/NAREIT Developed Real Estate ex-U.S. Index
ETFdb.com Category: Global Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IFGL


Holding,Symbol,Weighting
Vonovia SE,VNA,3.9173%
Cash Component,CASH,3.469%
Mitsui Fudosan Co Ltd,8801,3.2532%
Mitsubishi Estate Co Ltd,8802,2.8971%
Link Real Estate Investment Trust,823,2.7543%
Sun Hung Kai Properties Ltd,16,2.6111%
WFD Unibail Rodamco NV,URW,2.253%
CK Asset Holdings Ltd,1113,2.2319%
Sumitomo Realty & Development Co Ltd,8830,1.9037%
Deutsche Wohnen SE,DWNI,1.8765%
Scentre Group,SCG,1.6982%
SEGRO PLC,SGRO,1.6042%
Nippon Building Fund Inc,8951,1.2601%
Gecina SA,GFC,1.2369%
Dexus,DXS,1.1951%
Japan Real Estate Investment Corp,8952,1.1755%
Swiss Prime Site AG,SPSN,1.1612%
Mirvac Group,MGR,1.1067%
Land Securities Group PLC,LAND,1.089%
LEG Immobilien AG,LEG,1.0643%
Aroundtown SA,AT1,1.0417%
GPT Group,GPT,1.0014%
Nomura Real Estate Master Fund Inc,3462,0.9919%
Stockland Corporation Ltd,SGP,0.9854%
New World Development Co Ltd,17,0.9461%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,0.8728%
Ascendas Real Estate Investment Trust,A17U,0.8504%
Castellum AB,CAST,0.8438%
British Land Company PLC,BLND,0.8411%
Capitaland Ltd,C31,0.8338%
RioCan Real Estate Investment Trust,REI.UN,0.8249%
Wharf Real Estate Investment Company Ltd,1997,0.8177%
Hongkong Land Holdings Ltd,H78,0.7971%
Klepierre SA,LI,0.7673%
PSP Swiss Property AG,PSPN,0.7389%
Orix JREIT Inc,8954,0.7282%
Nippon Prologis REIT Inc,3283,0.7127%
Japan Retail Fund Investment Corp,8953,0.7104%
Covivio SA,COV,0.6866%
Derwent London PLC,DLN,0.672%
Vicinity Centres,VCX,0.6605%
United Urban Investment Corp,8960,0.654%
Allied Properties Real Estate Investment Trust,AP.UN,0.6269%
Daiwa House Reit Investment Corp,8984,0.6256%
GLP J-REIT,3281,0.6195%
Fastighets AB Balder,BALD.B,0.5997%
Unite Group PLC,UTG,0.5949%
MERLIN Properties SOCIMI SA,MRL,0.5865%
Fabege AB,FABG,0.5831%
H&R Real Estate Investment Trust,HR.UN,0.5786%
Hang Lung Properties Ltd,101,0.5735%
Inmobiliaria Colonial SOCIMI SA,COL,0.5673%
Hulic Co Ltd,3003,0.5613%
Sino Land Co Ltd,83,0.557%
Capitaland Mall Trust,C38U,0.5303%
Cofinimmo SA,COFB,0.5233%
Advance Residence Investment Corp,3269,0.5025%
Japan Prime Realty Investment Corp,8955,0.4716%
City Developments Ltd,C09,0.4704%
Warehouses de Pauw Comm VA,WDP,0.4695%
CapitaLand Commercial Trust,C61U,0.4664%
Activia Properties Inc,3279,0.4504%
Mapletree Commercial Trust,N2IU,0.4492%
Icade SA,ICAD,0.4453%
Mapletree Logistics Trust,M44U,0.4365%
Aedifica SA,AED,0.4344%
TAG Immobilien AG,TEG,0.4226%
Sekisui House Reit Inc,3309,0.4221%
Swire Properties Ltd,1972,0.4183%
Tokyo Tatemono Co Ltd,8804,0.4068%
alstria office REIT AG,AOX,0.3932%
Tritax Big Box Reit PLC,BBOX,0.3925%
TLG Immobilien AG,TLGU,0.3874%
Mapletree Industrial Trust,ME8U,0.3849%
Great Portland Estates PLC,GPOR,0.3842%
SmartCentres Real Estate Investment Trust,SRU.UN,0.3827%
Allreal Holding AG,ALLN,0.3788%
Kenedix Office Investment Corp,8972,0.3788%
CA Immobilien Anlagen AG,CAI,0.3757%
Entra ASA,ENTRA,0.3732%
Japan Hotel Reit Investment Corp,8985,0.3724%
Granite Real Estate Investment Trust,GRT.UN,0.3711%
UOL Group Ltd,U14,0.3668%
Nippon Accommodations Fund Inc,3226,0.3644%
Azrieli Group Ltd,AZRG,0.361%
Choice Properties Real Estate Investment Trust,CHP.UN,0.3576%
Nomura Real Estate Holdings Inc,3231,0.3561%
Grand City Properties SA,GYC,0.3559%
Suntec Real Estate Investment Trust,T82U,0.3375%
Wihlborgs Fastigheter AB,WIHL,0.324%
Industrial & Infrastructure Fund Investment Corp,3249,0.3229%
Mori Hills Reit Investment Corp,3234,0.3221%
Samhallsbyggnadsbolaget I Norden AB,SBB.B,0.3173%
Shaftesbury PLC,SHB,0.3169%
Primary Health Properties PLC,PHP,0.3104%
Londonmetric Property PLC,LMP,0.3087%
Invincible Investment Corp,8963,0.3068%
Hysan Development Co Ltd,14,0.3047%
Assura PLC,AGR,0.3019%
Grainger PLC,GRI,0.2999%
Big Yellow Group PLC,BYG,0.2982%
Chartwell Retirement Residences,CSH.UN,0.2934%
Capital & Counties Properties PLC,CAPC,0.2881%
Japan Logistics Fund Inc,8967,0.2844%
LaSalle Logiport REIT,3466,0.2759%
Hammerson PLC,HMSO,0.2754%
First Capital Realty Inc,FCR.UN,0.2739%
Daiwa Office Investment Corp,8976,0.2731%
Hufvudstaden AB,HUFV.A,0.2728%
Japan Excellent Inc,8987,0.2693%
Workspace Group PLC,WKP,0.2682%
Hulic Reit Inc,3295,0.2672%
Wallenstam AB,WALL.B,0.2667%
Safestore Holdings PLC,SAFE,0.2663%
Aeon Reit Investment Corp,3292,0.2595%
Aeon Mall Co Ltd,8905,0.2583%
Kungsleden AB,KLED,0.258%
Cominar REIT,CUF.UN,0.2566%
Keppel DC REIT,AJBU,0.2535%
Pandox AB,PNDX.B,0.2515%
Mobimo Holding AG,MOBN,0.2514%
Cromwell Property Group,CMW,0.2441%
Nippon REIT Investment Corp,3296,0.2425%
Frontier Real Estate Investment Corp,8964,0.2395%
Shopping Centres Australasia Property Group Re Ltd,SCP,0.237%
Comforia Residential Reit Inc,3282,0.2345%
Premier Investment Corp,8956,0.2323%
Invesco Office J-Reit Inc,3298,0.2321%
Mori Trust Sogo Reit Inc,8961,0.2247%
Keppel REIT,K71U,0.2247%
MCUBS MidCity Investment Corp,3227,0.217%
Kenedix Residential Next Investment Corp,3278,0.2146%
Tokyu REIT Inc,8957,0.2106%
Kojamo Oyj,KOJAMO,0.2088%
Mitsui Fudosan Logistics Park Inc,3471,0.199%
Nyfosa AB,NYF,0.1965%
Charter Hall Long WALE REIT,CLW,0.1965%
Kiwi Property Group Ltd,KPG,0.1953%
Fortune Real Estate Investment Trust,778,0.1937%
Frasers Logistics & Industrial Trust,BUOU,0.1914%
Manulife US Real Estate Investment Trust,BTOU,0.1868%
InterRent Real Estate Investment Trust,IIP.UN,0.1848%
Frasers Centrepoint Trust,J69U,0.1841%
Japan Rental Housing Investments Inc,8986,0.1808%
Boardwalk Real Estate Investment Trust,BEI.UN,0.1755%
Deutsche Euroshop AG,DEQ,0.1737%
Befimmo SA,BEFB,0.1662%
Kenedix Retail Reit Corp,3453,0.1659%
Killam Apartment REIT,KMP.UN,0.1652%
BWP Trust,BWP,0.1634%
Montea Comm VA,MONT,0.1594%
Klovern AB,KLOV.B,0.1593%
Global One Real Estate Investment Corp,8958,0.1583%
Ichigo Office REIT Investment Corp,8975,0.1576%
Fukuoka REIT Corp,8968,0.1539%
Charter Hall Retail REIT,CQR,0.1521%
Champion Real Estate Investment Trust,2778,0.1516%
Eurocommercial Properties NV,ECMPA,0.1465%
