IGE: iShares North American Natural Resources ETF
Inception Date: 2001-10-26
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	481695
Shares Outstanding: 17300000
Expense Ratio: 0.46%
Tracks This Index: S&P North American Natural Resources Sector Index
ETFdb.com Category: Energy Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IGE


Holding,Symbol,Weighting
Chevron Corp,CVX,9.9514%
Exxon Mobil Corp,XOM,9.5744%
Enbridge Inc,ENB,4.6877%
ConocoPhillips,COP,4.0687%
TC Energy Corp,TRP,3.2903%
Schlumberger NV,SLB,3.0469%
Suncor Energy Inc,SU,2.8703%
EOG Resources Inc,EOG,2.7658%
Kinder Morgan Inc,KMI,2.6306%
Phillips 66,PSX,2.5666%
Occidental Petroleum Corp,OXY,2.3928%
Newmont Corporation,NEM,2.3077%
Marathon Petroleum Corp,MPC,2.2707%
Valero Energy Corp,VLO,2.2068%
Canadian Natural Resources Ltd,CNQ,2.1939%
Barrick Gold Corp,GOLD,2.0678%
ONEOK Inc,OKE,1.9905%
Williams Companies Inc,WMB,1.6322%
Ball Corp,BLL,1.609%
Pioneer Natural Resources Co,PXD,1.4598%
Franco-Nevada Corp,FNV,1.362%
Pembina Pipeline Corp,PBA,1.3073%
Vulcan Materials Co,VMC,1.2502%
Halliburton Co,HAL,1.2236%
Amcor PLC,AMCR,1.1209%
Martin Marietta Materials Inc,MLM,1.0956%
Freeport-McMoRan Inc,FCX,1.0948%
International Paper Co,IP,1.0922%
Concho Resources Inc,CXO,1.0166%
Baker Hughes Co,BKR,0.9329%
Hess Corp,HES,0.9184%
Agnico Eagle Mines Ltd,AEM,0.8913%
Cheniere Energy Inc,LNG,0.8418%
Wheaton Precious Metals Corp,WPM,0.8161%
Diamondback Energy Inc,FANG,0.765%
Avery Dennison Corp,AVY,0.7273%
Crown Holdings Inc,CCK,0.6811%
Westrock Co,WRK,0.6797%
Apache Corp,APA,0.6759%
Packaging Corp of America,PKG,0.6134%
Noble Energy Inc,NBL,0.6131%
Kirkland Lake Gold Ltd,KL,0.6017%
Marathon Oil Corp,MRO,0.5973%
National Oilwell Varco Inc,NOV,0.5963%
Cenovus Energy Inc,CVE,0.5822%
Devon Energy Corp,DVN,0.5682%
Targa Resources Corp,TRGP,0.5548%
Aptargroup Inc,ATR,0.4767%
TechnipFMC PLC,FTI,0.4517%
Royal Gold Inc,RGLD,0.4427%
Teck Resources Ltd,TECK,0.415%
HollyFrontier Corp,HFC,0.4128%
Kinross Gold Corp,KGC,0.3947%
Cabot Oil & Gas Corp,COG,0.3814%
Sonoco Products Co,SON,0.3703%
Sealed Air Corp,SEE,0.3644%
Berry Global Group Inc,BERY,0.3539%
Parsley Energy Inc,PE,0.3363%
WPX Energy Inc,WPX,0.3224%
Pan American Silver Corp,PAAS,0.2992%
Helmerich and Payne Inc,HP,0.2962%
Graphic Packaging Holding Co,GPK,0.2948%
Cimarex Energy Co,XEC,0.2808%
Ovintiv Inc,OVV,0.2804%
B2Gold Corp,BTG,0.2746%
Louisiana-Pacific Corp,LPX,0.2395%
Yamana Gold Inc,AUY,0.2337%
Eagle Materials Inc,EXP,0.2301%
Cameco Corp,CCJ,0.2172%
Murphy Oil Corp,MUR,0.2099%
Alcoa Corp,AA,0.1846%
PBF Energy Inc,PBF,0.1778%
Transocean Ltd,RIG,0.1747%
Summit Materials Inc,SUM,0.1731%
Cash Component,CASH,0.1727%
World Fuel Services Corp,INT,0.1644%
Silgan Holdings Inc,SLGN,0.1564%
Continental Resources Inc,CLR,0.1467%
Vermilion Energy Inc,VET,0.1418%
PDC Energy Inc,PDCE,0.1373%
O-I Glass Inc,OI,0.1343%
Delek US Holdings Inc,DK,0.1341%
Apergy Corp,APY,0.1314%
Compass Minerals International Inc,CMP,0.1279%
Domtar Corp,UFS,0.1243%
Equitrans Midstream Corp,ETRN,0.124%
Kosmos Energy Ltd,KOS,0.1233%
Crescent Point Energy Corp,CPG,0.1119%
Core Laboratories NV,CLB,0.0987%
Dril-Quip Inc,DRQ,0.0979%
Matador Resources Co,MTDR,0.096%
Patterson-UTI Energy Inc,PTEN,0.0914%
Norbord Inc,OSB,0.0912%
CNX Resources Corp,CNX,0.0879%
EQT Corp,EQT,0.087%
Oceaneering International Inc,OII,0.0811%
Enerplus Corp,ERF,0.0731%
Greif Inc,GEF,0.0689%
CVR Energy Inc,CVI,0.0629%
Tellurian Inc,TELL,0.0409%
