IHE: iShares U.S. Pharmaceuticals ETF
Inception Date: 2006-05-05
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	358452
Shares Outstanding: 2200000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Pharmaceuticals Index
ETFdb.com Category: Health & Biotech Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IHE


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,22.6904%
Merck & Co Inc,MRK,17.6085%
Eli Lilly and Co,LLY,5.106%
Elanco Animal Health Inc,ELAN,4.784%
Zoetis Inc,ZTS,4.735%
Mylan NV,MYL,4.5262%
Bristol-Myers Squibb Co,BMY,4.4713%
Allergan plc,AGN,4.447%
Pfizer Inc,PFE,4.1934%
Catalent Inc,CTLT,3.262%
Perrigo Company PLC,PRGO,3.1405%
Jazz Pharmaceuticals PLC,JAZZ,3.1057%
Horizon Therapeutics PLC,HZNP,2.5493%
Reata Pharmaceuticals Inc,RETA,2.2068%
MyoKardia Inc,MYOK,1.2528%
Amicus Therapeutics Inc,FOLD,1.0069%
Axsome Therapeutics Inc,AXSM,0.922%
Prestige Consumer Healthcare Inc,PBH,0.8892%
Pacira Biosciences Inc,PCRX,0.7607%
Ironwood Pharmaceuticals Inc,IRWD,0.7377%
Corcept Therapeutics Inc,CORT,0.5371%
Zogenix Inc,ZGNX,0.5146%
Theravance Biopharma Inc,TBPH,0.5092%
Endo International PLC,ENDP,0.4959%
Intra-Cellular Therapies Inc,ITCI,0.4454%
Revance Therapeutics Inc,RVNC,0.4355%
Tricida Inc,TCDA,0.3895%
Innoviva Inc,INVA,0.3705%
Dermira Inc,DERM,0.339%
Aerie Pharmaceuticals Inc,AERI,0.329%
Intersect Ent Inc,XENT,0.3276%
Madrigal Pharmaceuticals Inc,MDGL,0.3136%
Arvinas Inc,ARVN,0.2995%
Cara Therapeutics Inc,CARA,0.2775%
Vanda Pharmaceuticals Inc,VNDA,0.2732%
Amphastar Pharmaceuticals Inc,AMPH,0.2629%
Omeros Corp,OMER,0.2444%
Phibro Animal Health Corp,PAHC,0.2112%
Amneal Pharmaceuticals Inc,AMRX,0.2054%
TherapeuticsMD Inc,TXMD,0.2004%
Catalyst Pharmaceuticals Inc,CPRX,0.1622%
Spectrum Pharmaceuticals Inc,SPPI,0.1201%
AMAG Pharmaceuticals Inc,AMAG,0.1175%
Cash Component,CASH,0.108%
Akorn Inc,AKRX,0.0631%
WAVE Life Sciences Ltd,WVE,0.0522%
