IPAY: ETFMG Prime Mobile Payments ETF
Inception Date: 2015-07-16
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	729544
Shares Outstanding: 13750000
Expense Ratio: 0.75%
Tracks This Index: ISE Mobile Payments Index
ETFdb.com Category: Technology Equities
Issuer: ETF Managers Group
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IPAY


Holding,Symbol,Weighting
Mastercard Inc,MA,6.1144%
PayPal Holdings Inc,PYPL,6.1129%
Visa Inc,V,6.0609%
Global Payments Inc,GPN,5.9193%
Fidelity National Information Services Inc,FIS,5.8692%
American Express Co,AXP,5.854%
Fiserv Inc,FISV,5.7792%
Square Inc,SQ,4.2929%
Adyen NV,ADYEN,3.9147%
Fleetcor Technologies Inc,FLT,3.4578%
Wirecard AG,WDI,3.4249%
Discover Financial Services,DFS,3.0257%
ETFMG SIT Ultra Short ETF,VALT,2.9271%
Ingenico Group SA,ING,2.8837%
Worldline SA,WLN,2.8392%
Nexi SpA,NEXI,2.5527%
PagSeguro Digital Ltd,PAGS,2.4676%
StoneCo Ltd,STNE,2.4659%
Western Union Co,WU,2.4589%
WEX Inc,WEX,2.3378%
Green Dot Corp,GDOT,2.2859%
Euronet Worldwide Inc,EEFT,2.2714%
GMO Payment Gateway Inc,3769,2.0203%
EVO Payments Inc,EVOP,1.9632%
Evertec Inc,EVTC,1.9558%
NCR Corp,NCR,1.8912%
ACI Worldwide Inc,ACIW,1.8313%
Cielo SA,CIEL3,1.6252%
Qiwi PLC,QIWI,1.5615%
i3 Verticals Inc,IIIV,0.7452%
EML Payments Ltd,EML,0.6907%
PayPoint plc,PAY,0.5634%
JACCS Co Ltd,8584,0.5529%
Pax Global Technology Ltd,327,0.3795%
Net 1 UEPS Technologies Inc,UEPS,0.3528%
Huifu Ltd,1806,0.3182%
Paysign Inc,PAYS,0.2851%
International Money Express Inc,IMXI,0.2823%
Intelligent Wave Inc,4847,0.2128%
Cash Component,CASH,-2.5471%
