ITA: iShares U.S. Aerospace & Defense ETF
Inception Date: 2006-05-05
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	5814701
Shares Outstanding: 24500000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Aerospace & Defense Index
ETFdb.com Category: Industrials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ITA


Holding,Symbol,Weighting
Boeing Co,BA,20.6858%
United Technologies Corp,UTX,16.8434%
Lockheed Martin Corp,LMT,6.4615%
L3Harris Technologies Inc,LHX,4.9797%
TransDigm Group Inc,TDG,4.7863%
Raytheon Co,RTN,4.5524%
General Dynamics Corp,GD,4.479%
Northrop Grumman Corp,NOC,4.4566%
Teledyne Technologies Inc,TDY,3.8017%
Arconic Inc,ARNC,3.2893%
Textron Inc,TXT,3.1428%
Huntington Ingalls Industries Inc,HII,2.9864%
HEICO Corp,HEI.A,1.9814%
Spirit AeroSystems Holdings Inc,SPR,1.9459%
Curtiss-Wright Corp,CW,1.7065%
Hexcel Corp,HXL,1.6994%
BWX Technologies Inc,BWXT,1.6975%
HEICO Corp,HEI,1.4077%
Axon Enterprise Inc,AAXN,1.3342%
Mercury Systems Inc,MRCY,1.2352%
RBC Bearings Inc,ROLL,1.2219%
Aerojet Rocketdyne Holdings Inc,AJRD,1.06%
Moog Inc,MOG.A,0.8175%
Cubic Corp,CUB,0.5503%
Kratos Defense and Security Solutions Inc,KTOS,0.4749%
Cash Component,CASH,0.4185%
AeroVironment Inc,AVAV,0.3973%
AAR Corp,AIR,0.3959%
Triumph Group Inc,TGI,0.3089%
Sturm Ruger & Company Inc,RGR,0.2332%
Parsons Corp,PSN,0.2181%
Astronics Corp,ATRO,0.1604%
American Outdoor Brands Corp,AOBC,0.1472%
National Presto Industries Inc,NPK,0.1233%
