IXC: iShares Global Energy ETF
Inception Date: 2001-11-16
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	772330
Shares Outstanding: 27450000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Energy Sector Index
ETFdb.com Category: Energy Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IXC


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,12.6972%
Chevron Corp,CVX,10.0536%
Total SA,FP,6.1079%
BP PLC,BP.,5.9814%
Royal Dutch Shell PLC,RDSA,5.2438%
Royal Dutch Shell PLC,RDSB,4.6908%
Enbridge Inc,ENB,4.1709%
ConocoPhillips,COP,3.0949%
TC Energy Corp,TRP,2.5193%
Schlumberger NV,SLB,2.328%
Suncor Energy Inc,SU,2.1853%
EOG Resources Inc,EOG,2.1049%
Kinder Morgan Inc,KMI,1.9973%
Phillips 66,PSX,1.9612%
Occidental Petroleum Corp,OXY,1.8252%
Eni SpA,ENI,1.7492%
Marathon Petroleum Corp,MPC,1.738%
Valero Energy Corp,VLO,1.6866%
Canadian Natural Resources Ltd,CNQ,1.6675%
ONEOK Inc,OKE,1.5176%
Petroleo Brasileiro SA Petrobras,PBR.A,1.4708%
Williams Companies Inc,WMB,1.2461%
CNOOC Ltd,883,1.2443%
Pioneer Natural Resources Co,PXD,1.1117%
Woodside Petroleum Ltd,WPL,1.035%
Repsol SA,REP,1.0108%
Pembina Pipeline Corp,PPL,1.0053%
Petroleo Brasileiro SA Petrobras,PBR,0.9638%
Equinor ASA,EQNR,0.9399%
Halliburton Co,HAL,0.9373%
Neste Oyj,NESTE,0.9063%
Concho Resources Inc,CXO,0.7765%
Baker Hughes Co,BKR,0.711%
JXTG Holdings Inc,5020,0.7096%
Hess Corp,HES,0.6985%
China Petroleum & Chemical Corp,386,0.6817%
Diamondback Energy Inc,FANG,0.5837%
Inpex Corp,1605,0.5209%
Apache Corp,APA,0.5163%
Santos Ltd,STO,0.4753%
Noble Energy Inc,NBL,0.4701%
Marathon Oil Corp,MRO,0.4588%
National Oilwell Varco Inc,NOV,0.4539%
Devon Energy Corp,DVN,0.4484%
Cenovus Energy Inc,CVE,0.4481%
Origin Energy Ltd,ORG,0.4422%
OMV AG,OMV,0.3493%
TechnipFMC PLC,FTI,0.3454%
Galp Energia SGPS SA,GALP,0.3365%
Inter Pipeline Ltd,IPL,0.3321%
HollyFrontier Corp,HFC,0.3158%
Cabot Oil & Gas Corp,COG,0.2944%
Cash Component,CASH,0.2875%
Caltex Australia Ltd,CTX,0.2861%
Oil Search Ltd,OSH,0.277%
Imperial Oil Ltd,IMO,0.2764%
Tenaris SA,TEN,0.2436%
Ecopetrol SA,EC,0.2411%
Helmerich and Payne Inc,HP,0.226%
Ultrapar Participacoes SA,UGP,0.22%
Cimarex Energy Co,XEC,0.2155%
Cameco Corp,CCO,0.1662%
