IXG: iShares Global Financials ETF
Inception Date: 2001-11-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	503978
Shares Outstanding: 7350000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Financials Sector Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IXG


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,6.1826%
JPMorgan Chase & Co,JPM,5.9704%
Bank of America Corp,BAC,3.8882%
Wells Fargo & Co,WFC,2.5551%
Citigroup Inc,C,2.384%
HSBC Holdings PLC,HSBA,2.1314%
AIA Group Ltd,1299,1.725%
Cash Component,CASH,1.6521%
Royal Bank of Canada,RY,1.6085%
Toronto-Dominion Bank,TD,1.4392%
Allianz SE,ALV,1.4343%
Commonwealth Bank of Australia,CBA,1.3851%
American Express Co,AXP,1.2262%
China Construction Bank Corp,939,1.1307%
U.S. Bancorp,USB,1.0744%
Goldman Sachs Group Inc,GS,1.0652%
CME Group Inc,CME,1.0625%
Chubb Ltd,CB,1.0234%
S&P Global Inc,SPGI,1.0127%
Truist Financial Corp,TFC,1.0026%
Banco Santander SA,SAN,0.9944%
Bank of Nova Scotia,BNS,0.9507%
Morgan Stanley,MS,0.9394%
PNC Financial Services Group Inc,PNC,0.9364%
Mitsubishi UFJ Financial Group Inc,8306,0.9277%
BlackRock Inc,BLK,0.9181%
Zurich Insurance Group AG,ZURN,0.8982%
BNP Paribas SA,BNP,0.8935%
Ping An Insurance Group Co of China Ltd,2318,0.8679%
Brookfield Asset Management Inc,BAM.A,0.8372%
Westpac Banking Corp,WBC,0.8103%
Marsh & McLennan Companies Inc,MMC,0.8099%
Industrial and Commercial Bank of China Ltd,1398,0.7897%
Charles Schwab Corp,SCHW,0.7589%
Aon PLC,AON,0.7423%
Sumitomo Mitsui Financial Group Inc,8316,0.7265%
Intercontinental Exchange Inc,ICE,0.7256%
AXA SA,CS,0.7256%
Lloyds Banking Group PLC,LLOY,0.7084%
Australia and New Zealand Banking Group Ltd,ANZ,0.7058%
UBS Group AG,UBSG,0.7003%
National Australia Bank Ltd,NAB,0.6998%
Bank of Montreal,BMO,0.6788%
Progressive Corp,PGR,0.6727%
Prudential PLC,PRU,0.6674%
Itau Unibanco Holding SA,ITUB,0.6645%
Capital One Financial Corp,COF,0.6463%
American International Group Inc,AIG,0.6451%
ING Groep NV,INGA,0.625%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,0.6199%
Moody's Corp,MCO,0.6088%
Banco Bradesco SA,BBD,0.5886%
Hong Kong Exchanges and Clearing Ltd,388,0.5857%
Intesa Sanpaolo SpA,ISP,0.5828%
Tokio Marine Holdings Inc,8766,0.5736%
MetLife Inc,MET,0.5601%
Allstate Corp,ALL,0.5555%
Bank of New York Mellon Corp,BK,0.5503%
Manulife Financial Corp,MFC,0.5419%
Aflac Inc,AFL,0.5351%
Banco Bilbao Vizcaya Argentaria SA,BBVA,0.5319%
Mizuho Financial Group Inc,8411,0.5271%
Canadian Imperial Bank of Commerce,CM,0.512%
Barclays PLC,BARC,0.5021%
Travelers Companies Inc,TRV,0.4779%
DBS Group Holdings Ltd,D05,0.4722%
Swiss Re AG,SREN,0.4712%
London Stock Exchange Group PLC,LSE,0.4656%
T. Rowe Price Group Inc,TROW,0.4618%
Macquarie Group Ltd,MQG,0.4462%
Deutsche Boerse AG,DB1,0.4442%
Credit Suisse Group AG,CSGN,0.4336%
UniCredit SpA,UCG,0.4326%
Bank of China Ltd,3988,0.4298%
Oversea-Chinese Banking Corporation Ltd,O39,0.4264%
State Street Corp,STT,0.4103%
Sun Life Financial Inc,SLF,0.4022%
Investor AB,INVE.B,0.3967%
Nordea Bank Abp,NDA.SE,0.3788%
KBC Groep NV,KBC,0.368%
Willis Towers Watson PLC,WLTW,0.3651%
MSCI Inc,MSCI,0.3628%
United Overseas Bank Ltd,U11,0.3616%
Societe Generale SA,GLE,0.3611%
Assicurazioni Generali SpA,G,0.3575%
Orix Corp,8591,0.3357%
Legal & General Group PLC,LGEN,0.3345%
Discover Financial Services,DFS,0.3253%
Sampo plc,SAMPO,0.3251%
Ameriprise Financial Inc,AMP,0.3232%
M&T Bank Corp,MTB,0.3099%
Deutsche Bank AG,DBK,0.3057%
Standard Chartered PLC,STAN,0.3057%
Northern Trust Corp,NTRS,0.3036%
Fifth Third Bancorp,FITB,0.3008%
Hartford Financial Services Group Inc,HIG,0.298%
Arthur J Gallagher & Co,AJG,0.2947%
Aviva PLC,AV.,0.2928%
China Life Insurance Co Ltd,2628,0.2909%
China Merchants Bank Co Ltd,3968,0.29%
Synchrony Financial,SYF,0.2826%
National Bank of Canada,NA,0.282%
KeyCorp,KEY,0.2746%
First Republic Bank,FRC,0.274%
Dai-ichi Life Holdings Inc,8750,0.2735%
Partners Group Holding AG,PGHN,0.2707%
Credit Agricole SA,ACA,0.2677%
Dnb ASA,DNB,0.2667%
Swiss Life Holding AG,SLHN,0.2576%
