IYC: iShares US Consumer Services ETF
Inception Date: 2000-06-28
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	927961
Shares Outstanding: 4000000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Consumer Services Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYC


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,11.4026%
Walt Disney Co,DIS,7.1043%
Home Depot Inc,HD,5.0905%
Netflix Inc,NFLX,4.7337%
Comcast Corp,CMCSA,4.5896%
Mcdonald's Corp,MCD,4.5381%
Walmart Inc,WMT,4.2233%
Costco Wholesale Corp,COST,4.0802%
Starbucks Corp,SBUX,3.0059%
Lowe's Companies Inc,LOW,2.7422%
Charter Communications Inc,CHTR,2.4253%
Booking Holdings Inc,BKNG,2.3542%
TJX Companies Inc,TJX,2.1925%
Target Corp,TGT,1.7256%
Ross Stores Inc,ROST,1.2517%
Walgreens Boots Alliance Inc,WBA,1.1759%
Sysco Corp,SYY,1.1631%
Dollar General Corp,DG,1.1624%
Marriott International Inc,MAR,1.1517%
Delta Air Lines Inc,DAL,0.9822%
IHS Markit Ltd,INFO,0.9502%
Hilton Worldwide Holdings Inc,HLT,0.9216%
Yum! Brands Inc,YUM,0.9094%
O'Reilly Automotive Inc,ORLY,0.8642%
Southwest Airlines Co,LUV,0.7994%
Autozone Inc,AZO,0.7435%
Las Vegas Sands Corp,LVS,0.6655%
Kroger Co,KR,0.6612%
Chipotle Mexican Grill Inc,CMG,0.6514%
Copart Inc,CPRT,0.6186%
Dollar Tree Inc,DLTR,0.6079%
Liberty Broadband Corp,LBRDK,0.605%
Best Buy Co Inc,BBY,0.5842%
Royal Caribbean Cruises Ltd,RCL,0.5654%
ViacomCBS Inc,VIAC,0.5529%
United Airlines Holdings Inc,UAL,0.5099%
Cardinal Health Inc,CAH,0.5025%
Ulta Beauty Inc,ULTA,0.499%
Carnival Corp,CCL,0.4983%
Omnicom Group Inc,OMC,0.4863%
MGM Resorts International,MGM,0.4763%
Carmax Inc,KMX,0.4671%
Expedia Group Inc,EXPE,0.4538%
Burlington Stores Inc,BURL,0.4492%
Darden Restaurants Inc,DRI,0.4367%
Tiffany & Co,TIF,0.4272%
AmerisourceBergen Corp,ABC,0.4079%
Fox Corp,FOXA,0.3858%
Wynn Resorts Ltd,WYNN,0.3618%
Tractor Supply Co,TSCO,0.3373%
Roku Inc,ROKU,0.3358%
Domino's Pizza Inc,DPZ,0.3327%
Norwegian Cruise Line Holdings Ltd,NCLH,0.3317%
American Airlines Group Inc,AAL,0.3265%
Aramark,ARMK,0.3003%
Live Nation Entertainment Inc,LYV,0.3002%
Lyft Inc,LYFT,0.2997%
LKQ Corp,LKQ,0.2978%
Bright Horizons Family Solutions Inc,BFAM,0.2883%
Sirius XM Holdings Inc,SIRI,0.2878%
Vail Resorts Inc,MTN,0.2809%
Discovery Inc,DISCK,0.2806%
Liberty Media Corp,FWONK,0.2795%
DISH Network Corp,DISH,0.2782%
Advance Auto Parts Inc,AAP,0.2717%
Interpublic Group of Companies Inc,IPG,0.2635%
Service Corporation International,SCI,0.2538%
Altice USA Inc,ATUS,0.253%
Cable ONE Inc,CABO,0.2525%
Uber Technologies Inc,UBER,0.2458%
Liberty Global PLC,LBTYK,0.237%
Alaska Air Group Inc,ALK,0.2327%
Caesars Entertainment Corp,CZR,0.2295%
Liberty Media Corp,LSXMK,0.2124%
Kohls Corp,KSS,0.2026%
Planet Fitness Inc,PLNT,0.1997%
Wayfair Inc,W,0.1932%
IAA Inc,IAA,0.1878%
Five Below Inc,FIVE,0.1877%
Dunkin' Brands Group Inc,DNKN,0.1848%
Cash Component,CASH,0.1819%
Caseys General Stores Inc,CASY,0.179%
Fox Corp,FOX,0.1737%
JetBlue Airways Corp,JBLU,0.1704%
Nexstar Media Group Inc,NXST,0.1668%
Wyndham Hotels & Resorts Inc,WH,0.1656%
News Corp,NWSA,0.1631%
Williams-Sonoma Inc,WSM,0.1631%
Churchill Downs Inc,CHDN,0.1624%
L Brands Inc,LB,0.1622%
Rollins Inc,ROL,0.1609%
New York Times Co,NYT,0.1593%
Macy's Inc,M,0.15%
Madison Square Garden Co,MSG,0.1497%
Chegg Inc,CHGG,0.1455%
Servicemaster Global Holdings Inc,SERV,0.1409%
Discovery Inc,DISCA,0.1395%
Marriott Vacations Worldwide Corp,VAC,0.133%
Carvana Co,CVNA,0.1327%
H & R Block Inc,HRB,0.129%
Wyndham Destinations Inc,WYND,0.1286%
Foot Locker Inc,FL,0.1285%
Texas Roadhouse Inc,TXRH,0.1231%
Nordstrom Inc,JWN,0.1211%
Liberty Media Corp,LSXMA,0.1203%
Wendys Co,WEN,0.1198%
Grand Canyon Education Inc,LOPE,0.1152%
Cracker Barrel Old Country Store Inc,CBRL,0.1131%
Gap Inc,GPS,0.1127%
Aaron's Inc,AAN,0.1105%
Tegna Inc,TGNA,0.1102%
Frontdoor Inc,FTDR,0.1063%
Floor & Decor Holdings Inc,FND,0.1035%
Cinemark Holdings Inc,CNK,0.0997%
Liberty Global PLC,LBTYA,0.0989%
Choice Hotels International Inc,CHH,0.0975%
Qurate Retail Inc,QRTEA,0.0961%
Liberty Broadband Corp,LBRDA,0.0959%
Hyatt Hotels Corp,H,0.0957%
Murphy Usa Inc,MUSA,0.0912%
TripAdvisor Inc,TRIP,0.0902%
Spirit Airlines Inc,SAVE,0.09%
Lithia Motors Inc,LAD,0.0898%
Six Flags Entertainment Corp,SIX,0.0892%
KAR Auction Services Inc,KAR,0.084%
Dick's Sporting Goods Inc,DKS,0.0836%
Amerco,UHAL,0.0831%
Liveramp Holdings Inc,RAMP,0.0822%
Ollie's Bargain Outlet Holdings Inc,OLLI,0.0804%
Hilton Grand Vacations Inc,HGV,0.0793%
National Vision Holdings Inc,EYE,0.0783%
AutoNation Inc,AN,0.0761%
Boyd Gaming Corp,BYD,0.0757%
Graham Holdings Co,GHC,0.0711%
Extended Stay America Inc,STAY,0.0706%
Beacon Roofing Supply Inc,BECN,0.0692%
American Eagle Outfitters Inc,AEO,0.0675%
Pinterest Inc,PINS,0.0651%
Yelp Inc,YELP,0.0649%
Allegiant Travel Co,ALGT,0.0639%
World Wrestling Entertainment Inc,WWE,0.06%
Avis Budget Group Inc,CAR,0.0593%
Liberty Latin America Ltd,LILAK,0.0586%
Sinclair Broadcast Group Inc,SBGI,0.0585%
John Wiley & Sons Inc,JW.A,0.0572%
Adtalem Global Education Inc,ATGE,0.055%
Urban Outfitters Inc,URBN,0.0548%
Sprouts Farmers Market Inc,SFM,0.0527%
News Corp,NWS,0.0527%
Penske Automotive Group Inc,PAG,0.0508%
AMC Networks Inc,AMCX,0.0498%
Cheesecake Factory Inc,CAKE,0.0487%
Meredith Corp,MDP,0.0391%
Liberty Media Corp,FWONA,0.0344%
Lions Gate Entertainment Corp,LGF.B,0.0325%
Liberty Latin America Ltd,LILA,0.0241%
Lions Gate Entertainment Corp,LGF.A,0.0185%
