IYE: iShares U.S. Energy ETF
Inception Date: 2000-06-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	508141
Shares Outstanding: 17700000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Oil & Gas Index
ETFdb.com Category: Energy Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYE


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,23.2084%
Chevron Corp,CVX,18.3814%
ConocoPhillips,COP,5.678%
Schlumberger NV,SLB,4.2521%
EOG Resources Inc,EOG,3.8598%
Kinder Morgan Inc,KMI,3.671%
Phillips 66,PSX,3.5818%
Occidental Petroleum Corp,OXY,3.3392%
Marathon Petroleum Corp,MPC,3.1688%
Valero Energy Corp,VLO,3.0796%
ONEOK Inc,OKE,2.7779%
Williams Companies Inc,WMB,2.2777%
Pioneer Natural Resources Co,PXD,2.0372%
Halliburton Co,HAL,1.7076%
Concho Resources Inc,CXO,1.4187%
Baker Hughes Co,BKR,1.3019%
Hess Corp,HES,1.2815%
Cheniere Energy Inc,LNG,1.1748%
Diamondback Energy Inc,FANG,1.0676%
Apache Corp,APA,0.9432%
Noble Energy Inc,NBL,0.8557%
Marathon Oil Corp,MRO,0.8337%
National Oilwell Varco Inc,NOV,0.8325%
OGE Energy Corp,OGE,0.8208%
Devon Energy Corp,DVN,0.7932%
Targa Resources Corp,TRGP,0.7744%
TechnipFMC PLC,FTI,0.6308%
HollyFrontier Corp,HFC,0.5766%
Cabot Oil & Gas Corp,COG,0.5329%
Parsley Energy Inc,PE,0.469%
WPX Energy Inc,WPX,0.4492%
Helmerich and Payne Inc,HP,0.4127%
Ovintiv Inc,OVV,0.3924%
Cimarex Energy Co,XEC,0.3912%
First Solar Inc,FSLR,0.3553%
Murphy Oil Corp,MUR,0.2926%
PBF Energy Inc,PBF,0.2479%
Cash Component,CASH,0.2454%
Transocean Ltd,RIG,0.2436%
World Fuel Services Corp,INT,0.2294%
Continental Resources Inc,CLR,0.2048%
Delek US Holdings Inc,DK,0.188%
Apergy Corp,APY,0.1838%
Equitrans Midstream Corp,ETRN,0.1734%
Core Laboratories NV,CLB,0.1371%
Matador Resources Co,MTDR,0.1336%
Patterson-UTI Energy Inc,PTEN,0.1286%
EQT Corp,EQT,0.1213%
CVR Energy Inc,CVI,0.0882%
Chesapeake Energy Corp,CHK,0.0537%
